check_name,status,detail,current_sha256,replay_sha256
replay_region_measurements,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_region_measurements_20260712.csv,527f6e50663da1c3cf1cbe345c02b0dfb811077f9e91aa0db55da7e011a54e3e,527f6e50663da1c3cf1cbe345c02b0dfb811077f9e91aa0db55da7e011a54e3e
replay_region_factor_comparison,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_region_factor_comparison_20260712.csv,53897ad66584002694cf6a7435aba1f62884d77373ab12393205dc3bd59e1320,53897ad66584002694cf6a7435aba1f62884d77373ab12393205dc3bd59e1320
replay_edge_identifiability,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_edge_identifiability_20260712.csv,d4acac9b874877861eb020db841cbeed4966491eb5ae5c232ea14ed9126b1ab7,d4acac9b874877861eb020db841cbeed4966491eb5ae5c232ea14ed9126b1ab7
replay_rotation_identifiability,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_rotation_identifiability_20260712.csv,52cbfdb49236a7bf3b3be0945481ce083c47b862add7f78a14ae3ae71af5d970,52cbfdb49236a7bf3b3be0945481ce083c47b862add7f78a14ae3ae71af5d970
replay_axis_representation_ablation,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_axis_representation_ablation_20260712.csv,2550db31ed94c7a6c87309a88e6badfa3aba6a84eb71d44574f88ee86c22b826,2550db31ed94c7a6c87309a88e6badfa3aba6a84eb71d44574f88ee86c22b826
replay_matched_background_controls,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_matched_background_controls_20260712.csv,7e75f6be8d7c667bf64f8892c0863484c9b5b74ca3f53e73c82f51941829a27e,7e75f6be8d7c667bf64f8892c0863484c9b5b74ca3f53e73c82f51941829a27e
replay_mask_stratified_results,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_mask_stratified_results_20260712.csv,80eff71f053f035bd5389a7a4a653c077cc9f7eab112be80553bccd83cab250a,80eff71f053f035bd5389a7a4a653c077cc9f7eab112be80553bccd83cab250a
replay_gt_instance_summary,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_gt_instance_summary_20260712.csv,9e9674c4a3964be9ff3809e1323a0293964c41958d25394606c28ef045b97ff7,9e9674c4a3964be9ff3809e1323a0293964c41958d25394606c28ef045b97ff7
replay_vehicle_group_summary,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_vehicle_group_summary_20260712.csv,5855d6194bcd6ebc765f76a09a2ac81fe43f71684f88576c002dd47a32513727,5855d6194bcd6ebc765f76a09a2ac81fe43f71684f88576c002dd47a32513727
replay_failure_ledger,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_failure_ledger_20260712.csv,128bdd864783e738b1026ad3e87ed225b0064046ff2ef17dfd405eab87403632,128bdd864783e738b1026ad3e87ed225b0064046ff2ef17dfd405eab87403632
replay_visual_manifest,PASS,reports/oty2/samples/oty2_gm_rm019_s2a_visual_manifest_20260712.csv,6904fd08aef097b8b68bd25ce0f5a8be440671d2974fda9257a1f82d5c2edb4f,6904fd08aef097b8b68bd25ce0f5a8be440671d2974fda9257a1f82d5c2edb4f
