merge_candidate_id,scene_id,from_target_family_id,to_target_family_id,from_frame_end,to_frame_start,original_candidate_strength,sequence_reason_codes,from_contrast_status,to_contrast_status,from_competing_frame_count,to_competing_frame_count,multicar_merge_gate_status,multicar_gate_reason_codes,auto_merge_allowed,review_required,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV12M001,GM_RM011,GM_RM011_WGV12TF001,GM_RM011_WGV12TF002,4,8,review_only,endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M002,GM_RM011,GM_RM011_WGV12TF002,GM_RM011_WGV12TF003,9,10,blocked,endpoint_center_offset_too_large;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M003,GM_RM011,GM_RM011_WGV12TF003,GM_RM011_WGV12TF004,10,13,review_only,endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M004,GM_RM011,GM_RM011_WGV12TF004,GM_RM011_WGV12TF005,16,18,review_only,endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M005,GM_RM011,GM_RM011_WGV12TF005,GM_RM011_WGV12TF006,25,31,review_only,endpoint_center_offset_review;endpoint_spatial_bin_change;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M006,GM_RM011,GM_RM011_WGV12TF008,GM_RM011_WGV12TF009,161,164,review_only,endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M007,GM_RM011,GM_RM011_WGV12TF010,GM_RM011_WGV12TF011,232,233,blocked,endpoint_center_offset_too_large;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M008,GM_RM011,GM_RM011_WGV12TF011,GM_RM011_WGV12TF012,233,236,review_only,endpoint_review_required,contrast_missing_selected_manifest_only,partial_all_candidate_contrast_available,0,3,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M009,GM_RM011,GM_RM011_WGV12TF012,GM_RM011_WGV12TF013,239,242,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,partial_all_candidate_contrast_available,all_candidate_contrast_available,3,4,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M010,GM_RM011,GM_RM011_WGV12TF013,GM_RM011_WGV12TF014,249,250,blocked,endpoint_center_offset_too_large;endpoint_review_required,all_candidate_contrast_available,all_candidate_contrast_available,4,1,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M011,GM_RM011,GM_RM011_WGV12TF014,GM_RM011_WGV12TF015,250,251,blocked,endpoint_center_offset_too_large;endpoint_review_required,all_candidate_contrast_available,all_candidate_contrast_available,1,5,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M012,GM_RM011,GM_RM011_WGV12TF015,GM_RM011_WGV12TF016,259,260,blocked,endpoint_center_offset_too_large;endpoint_review_required,all_candidate_contrast_available,all_candidate_contrast_available,5,4,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M013,GM_RM011,GM_RM011_WGV12TF016,GM_RM011_WGV12TF017,264,265,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,all_candidate_contrast_available,all_candidate_contrast_available,4,1,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M014,GM_RM011,GM_RM011_WGV12TF017,GM_RM011_WGV12TF018,266,269,review_only,endpoint_review_required,all_candidate_contrast_available,all_candidate_contrast_available,1,1,review_only_competing_candidates_present,same_frame_competing_candidates_present,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM011_WGV12M015,GM_RM011,GM_RM011_WGV12TF018,GM_RM011_WGV12TF019,270,279,review_only,endpoint_spatial_bin_change;endpoint_review_required,all_candidate_contrast_available,contrast_missing_selected_manifest_only,1,0,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
