inventory_id,root,path,extension,size_bytes,source_role,evidence_terms,provenance_status
WGV34A_SRC_00001,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_gt_anchored_sar_vehicle_morphology_and_support_coverage_plan.md,.md,1842,other,range;sar,candidate_needs_manual_trace
WGV34A_SRC_00002,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_plan.md,.md,5032,other,sar,candidate_needs_manual_trace
WGV34A_SRC_00003,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_high_fps_optical_to_sar_alignment_design.md,.md,3170,other,range;window;sar,candidate_needs_manual_trace
WGV34A_SRC_00004,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_human_visual_review_notes_and_sar_morphology_insight_archive.md,.md,9597,other,range;azimuth;sar,candidate_needs_manual_trace
WGV34A_SRC_00005,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_object_sar_physical_mechanism_modeling_plan.md,.md,4770,other,fft;range;azimuth;sar,candidate_needs_manual_trace
WGV34A_SRC_00006,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_optical_to_sar_support_region_observation_probe_plan.md,.md,3279,other,range;azimuth;window;sar,candidate_needs_manual_trace
WGV34A_SRC_00007,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_physical_sar_vehicle_shell_grammar_and_temporal_drift_plan.md,.md,5689,other,range;sar,candidate_needs_manual_trace
WGV34A_SRC_00008,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_sar_physical_factor_modeling_idea_archive.md,.md,16810,other,fft;range;azimuth;window;pulse;chirp;sar,candidate_needs_manual_trace
WGV34A_SRC_00009,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_sar_structure_representation_and_association_provenance_plan.md,.md,4236,other,range;azimuth;sar,candidate_needs_manual_trace
WGV34A_SRC_00010,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_sar_vehicle_structure_mechanism_beyond_weighted_fusion_plan.md,.md,2374,other,sar,candidate_needs_manual_trace
WGV34A_SRC_00011,D:/profile/research/optical-sar-visual-diagnosis,D:/profile/research/optical-sar-visual-diagnosis/docs/oty2_support_region_range_narrowing_and_peak_competition_plan.md,.md,3141,other,range;window;sar,candidate_needs_manual_trace
