core_subgraph_id,sar_frame,member_atom_ids,core_role_summary,core_relation_type,core_bbox,core_bbox_width_px,core_bbox_height_px,core_support_span_long_px,core_support_span_short_px,core_bbox_width_m,core_bbox_height_m,core_max_boundary_gap_px,core_max_centroid_distance_px,core_occupancy_ratio,core_internal_blank_ratio,close_background_atom_count,has_core_track,generation_provenance
R2C0001,27,R1A0004,body_core_candidate,compact_partial_body,"1096,1209,1144,1233",48,24,48,24,1.44,0.72,0,0,0.157986,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0002,27,R1A0003;R1A0004,body_core_candidate;unresolved_atom,compact_partial_body,"1036,1131,1186,1233",150,102,150,102,4.5,3.06,6,57.819124,0.09817,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0003,28,R1A0009,body_core_candidate,compact_partial_body,"1096,1203,1150,1233",54,30,54,30,1.62,0.9,0,0,0.142593,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0004,28,R1A0008;R1A0009,body_core_candidate;unresolved_atom,compact_partial_body,"1036,1131,1192,1233",156,102,156,102,4.68,3.06,0,59.370618,0.092446,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0005,29,R1A0012,body_core_candidate,compact_partial_body,"1096,1203,1156,1245",60,42,60,42,1.8,1.26,0,0,0.122619,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0006,29,R1A0011;R1A0012,body_core_candidate;unresolved_atom,compact_partial_body,"1042,1131,1192,1245",150,114,150,114,4.5,3.42,6,58.612264,0.085673,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0007,30,R1A0015,body_core_candidate,compact_partial_body,"1096,1207,1162,1243",66,36,66,36,1.98,1.08,0,0,0.156145,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0008,30,R1A0014;R1A0015,body_core_candidate;unresolved_atom,compact_partial_body,"1042,1135,1193,1243",151,108,151,108,4.53,3.24,6,57.351397,0.078612,0.056659,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0009,31,R1A0020,endpoint_hotspot_candidate,weak_part_only,"1042,1225,1060,1243",18,18,18,18,0.54,0.54,0,0,0.123457,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0010,32,R1A0026,endpoint_hotspot_candidate,weak_part_only,"1048,1225,1060,1243",12,18,18,12,0.36,0.54,0,0,0.175926,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0011,34,R1A0030,body_core_candidate,compact_partial_body,"1108,1135,1193,1267",85,132,132,85,2.55,3.96,0,0,0.088235,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0012,34,R1A0029;R1A0030;R1A0034,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,core_to_endpoint,"1078,1135,1193,1267",115,132,132,115,3.45,3.96,72,90.016666,0.072925,0.124901,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0013,34,R1A0031;R1A0033,endpoint_hotspot_candidate;side_ridge_candidate,side_to_endpoint,"952,1153,1072,1243",120,90,120,90,3.6,2.7,67.882251,113.361615,0.016296,0.804444,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0014,39,R1A0038,body_core_candidate,compact_partial_body,"1108,1165,1192,1276",84,111,111,84,2.52,3.33,0,0,0.097919,0,1,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0015,39,R1A0038;R1A0040;R1A0041,body_core_candidate;endpoint_hotspot_candidate,core_to_endpoint,"1048,1165,1192,1276",144,111,144,111,4.32,3.33,30,88.949466,0.062563,0.249249,2,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0016,39,R1A0035;R1A0040,endpoint_hotspot_candidate;side_ridge_candidate,side_to_endpoint,"982,1141,1078,1225",96,84,96,84,2.88,2.52,56.920998,90.054567,0.013889,0.833333,1,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0017,40,R1A0045,body_core_candidate,compact_partial_body,"1114,1171,1193,1261",79,90,90,79,2.37,2.7,0,0,0.111674,0,1,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0018,40,R1A0042;R1A0045;R1A0046,body_core_candidate;endpoint_hotspot_candidate;side_ridge_candidate,core_to_endpoint,"994,1135,1193,1261",199,126,199,126,5.97,3.78,48,128.243908,0.044468,0.46638,1,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0019,40,R1A0042;R1A0046,endpoint_hotspot_candidate;side_ridge_candidate,side_to_endpoint,"994,1135,1108,1231",114,96,114,96,3.42,2.88,48,86.085765,0.029331,0.648026,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0020,46,R1A0047,side_ridge_candidate,weak_part_only,"1030,1135,1114,1153",84,18,84,18,2.52,0.54,0,0,0.187831,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0021,52,R1A0054,body_core_candidate,compact_partial_body,"1114,1213,1180,1243",66,30,66,30,1.98,0.9,0,0,0.208586,0,2,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0022,60,R1A0060,body_core_candidate,compact_partial_body,"1146,1205,1188,1247",42,42,42,42,1.26,1.26,0,0,0.189342,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0023,60,R1A0059;R1A0060;R1A0061,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,core_to_endpoint,"1146,1163,1218,1247",72,84,84,72,2.16,2.52,6,54.682978,0.108796,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0024,77,R1A0069,body_core_candidate,compact_partial_body,"1146,1187,1248,1271",102,84,102,84,3.06,2.52,0,0,0.056606,0.320728,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0025,77,R1A0066;R1A0067;R1A0069,body_core_candidate;side_ridge_candidate;unresolved_atom,core_to_side,"1146,1151,1284,1271",138,120,138,120,4.14,3.6,12,81.494582,0.036957,0.556522,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
