background_association_id,sar_frame,background_track_id,component_id,association_result,match_distance_px,support_observation_count_after,support_unique_frame_count_after,track_component_count_this_frame,component_track_count_this_frame,background_state_after,vehicle_motion_conflict,conflict_reason
BGASSOC_000361_BG_D1_R1_0001,361,BG_D1_R1_0001,D1R1OBS_000361_0001,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0002,361,BG_D1_R1_0002,D1R1OBS_000361_0002,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0003,361,BG_D1_R1_0003,D1R1OBS_000361_0003,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0004,361,BG_D1_R1_0004,D1R1OBS_000361_0004,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0005,361,BG_D1_R1_0005,D1R1OBS_000361_0005,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0006,361,BG_D1_R1_0006,D1R1OBS_000361_0006,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0007,361,BG_D1_R1_0007,D1R1OBS_000361_0007,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0008,361,BG_D1_R1_0008,D1R1OBS_000361_0008,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0009,361,BG_D1_R1_0009,D1R1OBS_000361_0009,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0010,361,BG_D1_R1_0010,D1R1OBS_000361_0010,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0011,361,BG_D1_R1_0011,D1R1OBS_000361_0011,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0012,361,BG_D1_R1_0012,D1R1OBS_000361_0012,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0013,361,BG_D1_R1_0013,D1R1OBS_000361_0013,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0014,361,BG_D1_R1_0014,D1R1OBS_000361_0014,new_track,0,1,1,1,1,unresolved_response,false,
