visual_case_id,review_label,gt_pair_id,gt_instance_id,sar_frame,visual_relpath,opened_for_review,review_observation_cn
S2AVR00,contact_sheet,ALL_PRIMARY_AND_REVIEW_EXAMPLES,,,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/00_s2a_visual_contact_sheet.png,true,contact sheet 汇总全部主 GT 综合卡与 pairing-review 代表卡，实际打开检查排版与覆盖内容。
S2AVR01,rotation_90_or_interval_focus,WGV35A_PAIR_0204,316,27,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/01_rotation_90_or_interval_focus_WGV35A_PAIR_0204.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR02,rotation_90_or_interval_focus,WGV35A_PAIR_0205,317,31,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/02_rotation_90_or_interval_focus_WGV35A_PAIR_0205.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR03,background_control_focus,WGV35A_PAIR_0206,319,77,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/03_background_control_focus_WGV35A_PAIR_0206.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR04,rotation_90_or_interval_focus,WGV35A_PAIR_0207,320,81,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/04_rotation_90_or_interval_focus_WGV35A_PAIR_0207.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR05,background_control_focus,WGV35A_PAIR_0208,323,212,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/05_background_control_focus_WGV35A_PAIR_0208.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR06,rotation_90_or_interval_focus,WGV35A_PAIR_0209,324,238,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/06_rotation_90_or_interval_focus_WGV35A_PAIR_0209.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR07,rotation_90_or_interval_focus,WGV35A_PAIR_0210,325,269,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/07_rotation_90_or_interval_focus_WGV35A_PAIR_0210.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR08,rotation_90_or_interval_focus,WGV35A_PAIR_0211,326,273,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/08_rotation_90_or_interval_focus_WGV35A_PAIR_0211.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR09,rotation_90_or_interval_focus,WGV35A_PAIR_0212,327,288,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/09_rotation_90_or_interval_focus_WGV35A_PAIR_0212.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR10,rotation_90_or_interval_focus,WGV35A_PAIR_0213,328,290,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/10_rotation_90_or_interval_focus_WGV35A_PAIR_0213.png,true,综合卡显示 GT、反事实、matched background、轴向和状态；已作为重点样本打开或纳入打开的 contact sheet。
S2AVR11,pairing_unresolved_s1_mask,WGV35A_PAIR_0201,311,4,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/11_pairing_unresolved_s1_mask_WGV35A_PAIR_0201.png,true,pairing-review 样本仅用于失败账本和 MASK 敏感性，不进入主统计。
S2AVR12,pairing_unresolved_s2_mask,WGV35A_PAIR_0200,309,0,outputs/oty2_gm_rm019_s2a_gt_region_counterfactual_identifiability_20260712/visual_review/12_pairing_unresolved_s2_mask_WGV35A_PAIR_0200.png,true,pairing-review 样本仅用于失败账本和 MASK 敏感性，不进入主统计。
