core_subgraph_id,G_core_scale,G_core_compact,G_core_relation,G_core_temporal,G_core_background,box_status,gate_reason
R2C0001,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0002,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=6; close_background=0; isolated_atoms_do_not_veto_core
R2C0003,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0004,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0005,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0006,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=6; close_background=0; isolated_atoms_do_not_veto_core
R2C0007,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0008,true,true,true,true,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=6; close_background=0; isolated_atoms_do_not_veto_core
R2C0009,true,true,false,false,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0010,true,true,false,false,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0011,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0012,true,true,true,false,true,vehicle_response_box_possible,relation=core_to_endpoint; core_only_gap=72; close_background=0; isolated_atoms_do_not_veto_core
R2C0013,true,true,true,false,true,vehicle_response_box_possible,relation=side_to_endpoint; core_only_gap=67.882251; close_background=0; isolated_atoms_do_not_veto_core
R2C0014,true,true,true,true,false,unresolved_box,relation=compact_partial_body; core_only_gap=0; close_background=1; isolated_atoms_do_not_veto_core
R2C0015,true,true,true,true,false,unresolved_box,relation=core_to_endpoint; core_only_gap=30; close_background=2; isolated_atoms_do_not_veto_core
