gate_name,status,detail,source_file,sha256,row_count
PLAN_STAGE_DOES_NOT_READ_SAR_INTENSITY,PASS,plan seal records intensity_read=false,reports/oty2/samples/oty2_gm_rm019_s2a_plan_seal_20260712.csv,e780d6e1579bbe39cca00c684f23724cc11877a8367284339f3feb9e92192adc,21
PLAN_STAGE_DOES_NOT_READ_S1_R1_MEASUREMENT_OUTCOMES,PASS,plan seal records s1_r1_measurement_outcomes_read=false,reports/oty2/samples/oty2_gm_rm019_s2a_plan_seal_20260712.csv,e780d6e1579bbe39cca00c684f23724cc11877a8367284339f3feb9e92192adc,21
PLAN_STAGE_GT_ACCESS_EXPLICIT,PASS,GT access is explicit in plan seal,reports/oty2/samples/oty2_gm_rm019_s2a_plan_seal_20260712.csv,e780d6e1579bbe39cca00c684f23724cc11877a8367284339f3feb9e92192adc,21
PROJECT_CONFIRMED_CALIBRATION_APPLIED,PASS,PROJECT_CONFIRMED constants carried into S2-A,reports/oty2/samples/oty2_gm_rm019_s2a_plan_seal_20260712.csv,e780d6e1579bbe39cca00c684f23724cc11877a8367284339f3feb9e92192adc,21
PLAN_SOURCE_HASH_VALID,PASS,current plan script matches plan seal,tools/diagnostics/run_oty2_gm_rm019_gt_region_s2a_plan.py,2063082bcc34c746b6c4536b73e8f006bbb439704cf3ca3912fd3a3520a512c0,
S1_R1_HASH_VALID_input_hash_paired_annotations,PASS,hash check for reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,54c558f1308629f4be349dedf9618803b8b3d99eed845dffa370c47d7ec9203d,204
S1_R1_HASH_VALID_input_hash_response_unit_gt_matrix,PASS,hash check for reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_response_unit_gt_instance_matrix_20260711.csv,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_response_unit_gt_instance_matrix_20260711.csv,cdbe1efbc5e36a31c3341eba32da9fff182c8c7b670155f08a3cdbeda9e02873,63
S1_R1_HASH_VALID_input_hash_mask_observation_audit,PASS,hash check for reports/oty2/samples/oty2_wgv3_5a_r2c_gm019_mask_observation_audit_20260711.csv,reports/oty2/samples/oty2_wgv3_5a_r2c_gm019_mask_observation_audit_20260711.csv,738c723f2ec03d53fdf67155ae8378ad204a61316eb5c9065cbcfe6a2110c22a,16
S1_R1_HASH_VALID_input_hash_gt_mask_visible_geometry,PASS,hash check for reports/oty2/samples/oty2_gm_rm019_gt_mask_visible_geometry_20260712.csv,reports/oty2/samples/oty2_gm_rm019_gt_mask_visible_geometry_20260712.csv,0b5ddb1a7f777f4542a57c01015af2b81daaaadfa644bf72655931c790387fe0,16
S1_R1_HASH_VALID_input_hash_local_response_units,PASS,hash check for reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_local_response_units_20260711.csv,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_local_response_units_20260711.csv,83a62fb7ca01e91270c5c64ea63997b5676259ccfb5d22c3e8e789d37bdcaf64,250
S1_R1_HASH_VALID_input_hash_s1_r1_independent_geometry_map,PASS,hash check for reports/oty2/samples/oty2_gm_rm019_s1_r1_independent_geometry_map_20260712.csv,reports/oty2/samples/oty2_gm_rm019_s1_r1_independent_geometry_map_20260712.csv,2d3c876d3c708a1bb50234328935fcb4a38fddb1115e37803838c184ba2a4497,215
