accepted_family_id,alternative_object_id,same_frame,accepted_visible_structure,alternative_visible_structure,accepted_core_relation,alternative_relation,accepted_lineage,alternative_lineage,accepted_bbox_membership,alternative_exclusion_reason,why_accepted_is_vehicle_response_cn,why_alternative_is_not_vehicle_response_cn,remaining_uncertainty_cn
R21F00001,R21A00004,27,"family bbox 1006,1131,1018,1137 contains local core/member responses","isolated_small_atom at 1006,1131,1018,1137",unresolved:5;vehicle_response_box_possible:1,nearby_noncore_response,R21A00001;R21A00002;R21A00003;R21A00004;R21A00005,single_frame_or_no_shared_lineage,R21B00001;R21B00002;R21B00003;R21B00004;R21B00005;R21B00006,no whole-core membership evidence,27帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00004 位于同帧邻近区域，但角色为 isolated_small_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00002,R21A00009,28,"family bbox 1006,1131,1024,1143 contains local core/member responses","isolated_small_atom at 1006,1131,1024,1143",unresolved:4;vehicle_response_box_possible:1,nearby_noncore_response,R21A00006;R21A00007;R21A00008;R21A00009,single_frame_or_no_shared_lineage,R21B00007;R21B00008;R21B00009;R21B00010;R21B00011,no whole-core membership evidence,28帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00009 位于同帧邻近区域，但角色为 isolated_small_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00003,R21A00010,29,"family bbox 1042,1131,1192,1197 contains local core/member responses","unresolved_atom at 1042,1131,1192,1197",unresolved:3;vehicle_response_box_possible:1,nearby_noncore_response,R21A00010;R21A00011;R21A00012,R21PT0001,R21B00012;R21B00013;R21B00014;R21B00015,no whole-core membership evidence,29帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00010 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00004,R21A00013,30,"family bbox 1042,1131,1193,1197 contains local core/member responses","unresolved_atom at 1042,1131,1193,1197",unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,nearby_noncore_response,R21A00013;R21A00014;R21A00015;R21A00016;R21A00017,R21PT0002,R21B00016;R21B00017;R21B00018;R21B00019;R21B00020;R21B00021;R21B00022;R21B00023,no whole-core membership evidence,30帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00013 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00005,R21A00019,31,"family bbox 1042,1135,1114,1243 contains local core/member responses","unresolved_atom at 1090,1135,1114,1147",unresolved:3;vehicle_part_box_only:2;vehicle_response_box_possible:1;vehicle_response_box_supported:2,nearby_noncore_response,R21A00018;R21A00019;R21A00020;R21A00021,single_frame_or_no_shared_lineage,R21B00024;R21B00025;R21B00026;R21B00027;R21B00028;R21B00029;R21B00030;R21B00031,no whole-core membership evidence,31帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00019 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00006,R21A00023,32,"family bbox 1048,1165,1072,1177 contains local core/member responses","unresolved_atom at 1072,1159,1096,1189",unresolved:5;vehicle_part_box_only:2;vehicle_response_box_possible:1,nearby_noncore_response,R21A00022;R21A00023;R21A00024;R21A00025;R21A00026;R21A00027,R21PT0002,R21B00032;R21B00033;R21B00034;R21B00035;R21B00036;R21B00037;R21B00038;R21B00039,no whole-core membership evidence,32帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00023 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00007,R21A00034,34,"family bbox 1018,1141,1042,1159 contains local core/member responses","unresolved_atom at 1018,1141,1042,1159",unresolved:3;vehicle_part_box_only:3;vehicle_response_box_possible:1;vehicle_response_box_supported:1,nearby_noncore_response,R21A00028;R21A00029;R21A00030;R21A00031;R21A00032;R21A00033;R21A00034,R21PT0006,R21B00040;R21B00041;R21B00042;R21B00043;R21B00044;R21B00045;R21B00046;R21B00047,no whole-core membership evidence,34帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00034 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00008,R21A00036,39,"family bbox 1048,1165,1192,1276 contains local core/member responses","background_arc_candidate at 1042,1135,1084,1159",unresolved:2;vehicle_part_box_only:3;vehicle_response_box_possible:3,nearby_background,R21A00035;R21A00038;R21A00039;R21A00040;R21A00041,single_frame_or_no_shared_lineage,R21B00048;R21B00049;R21B00050;R21B00051;R21B00052;R21B00053;R21B00054;R21B00055,background arc excluded,39帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00036 位于同帧邻近区域，但角色为 background_arc_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00009,R21A00046,40,"family bbox 1054,1207,1108,1237 contains local core/member responses","isolated_small_atom at 1090,1171,1114,1183",unresolved:3;vehicle_response_box_possible:2,nearby_noncore_response,R21A00042;R21A00044;R21A00045;R21A00046,single_frame_or_no_shared_lineage,R21B00056;R21B00058;R21B00059;R21B00060;R21B00061,no whole-core membership evidence,40帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00046 位于同帧邻近区域，但角色为 isolated_small_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00010,R21A00043,40,"family bbox 994,1135,1090,1159 contains local core/member responses","side_ridge_candidate at 994,1135,1090,1159",vehicle_part_box_only:1,nearby_noncore_response,R21A00043,R21PT0006,R21B00057,no whole-core membership evidence,40帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00043 位于同帧邻近区域，但角色为 side_ridge_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
