hidden_sample_id,physical_vehicle_id,pair_id,frame,truth_bbox,truth_depth,truth_sar_azimuth,truth_sar_radial
GM17_HIDDEN_0000,PV_GM17_WHITE_SUV,WGV35A_PAIR_0041,163,"37.368,300.604,255.798,393.916",3.68904,-28.4833,440.519
GM17_HIDDEN_0001,PV_GM17_WHITE_SUV,WGV35A_PAIR_0044,163,"37.360,300.601,255.807,393.916",3.689034,-27.8471,434.99
GM17_HIDDEN_0002,PV_GM17_WHITE_SUV,WGV35A_PAIR_0048,164,"53.175,301.474,270.711,391.754",3.686456,-27.1677,437.573
GM17_HIDDEN_0003,PV_GM17_WHITE_SUV,WGV35A_PAIR_0051,164,"53.175,301.474,270.722,391.752",3.686452,-26.4261,434.358
GM17_HIDDEN_0004,PV_GM17_WHITE_SUV,WGV35A_PAIR_0053,165,"69.705,300.639,289.575,394.105",3.689488,-25.2556,430.919
GM17_HIDDEN_0005,PV_GM17_WHITE_SUV,WGV35A_PAIR_0056,165,"69.698,300.639,289.576,394.104",3.689486,-24.4147,427.999
GM17_HIDDEN_0006,PV_GM17_WHITE_SUV,WGV35A_PAIR_0060,166,"86.414,298.794,308.147,391.412",3.680412,-23.9951,427.422
GM17_HIDDEN_0007,PV_GM17_WHITE_SUV,WGV35A_PAIR_0063,166,"86.415,298.791,308.149,391.418",3.680418,-22.8495,423.692
GM17_HIDDEN_0008,PV_GM17_WHITE_SUV,WGV35A_PAIR_0065,167,"101.353,297.246,325.641,389.341",3.673174,-22.0569,420.957
GM17_HIDDEN_0009,PV_GM17_WHITE_SUV,WGV35A_PAIR_0068,167,"101.348,297.244,325.642,389.345",3.673178,-21.6622,416.516
GM17_HIDDEN_0010,PV_GM17_WHITE_SUV,WGV35A_PAIR_0073,168,"117.927,296.958,343.083,390.025",3.673966,-20.8499,413.397
GM17_HIDDEN_0011,PV_GM17_WHITE_SUV,WGV35A_PAIR_0076,168,"117.921,296.958,343.087,390.029",3.673974,-19.1179,412.524
GM17_HIDDEN_0012,PV_GM17_WHITE_SUV,WGV35A_PAIR_0079,168,"117.927,296.958,343.083,390.025",3.673966,-19.3273,412.344
GM17_HIDDEN_0013,PV_GM17_WHITE_SUV,WGV35A_PAIR_0082,169,"134.721,294.698,361.770,387.350",3.664096,-18.2516,404.36
GM17_HIDDEN_0014,PV_GM17_WHITE_SUV,WGV35A_PAIR_0085,169,"134.730,294.698,361.766,387.351",3.664098,-17.3911,404.841
GM17_HIDDEN_0015,PV_GM17_WHITE_SUV,WGV35A_PAIR_0087,170,"158.816,292.146,381.395,389.143",3.662578,-16.4005,402.16
GM17_HIDDEN_0016,PV_GM17_WHITE_SUV,WGV35A_PAIR_0090,170,"158.829,292.142,381.395,389.144",3.662572,-15.5829,403.309
