response_thread_id,scene,extraction_profile,start_sar_frame,end_sar_frame,duration_frames,component_count,branch_count,gap_count,azimuth_center_start,azimuth_center_end,radial_center_start,radial_center_end,azimuth_drift,radial_drift_px,mean_local_contrast,max_local_contrast,integrated_excess,shape_stability,temporal_continuity,static_clutter_likelihood,matched_control_available_ratio,mean_spatial_control_ratio,mean_temporal_control_ratio,dynamic_response_status,component_ids
WGV33D_THREAD_000001,GM_RM011,main,0,2,3,2,2,1,-49.4727,-46.0202,202,198,3.4525,-4,4.741655,5.373047,7808.499878,0.681818,0.5,0.007017,1,1.923504,2.160017,transient_unlinked,WGV33D_MAIN_F0000_C000001;WGV33D_MAIN_F0002_C000047
WGV33D_THREAD_000002,GM_RM011,main,0,0,1,1,0,0,-46.0146,-46.0146,70,70,0,0,4.068848,4.068848,671.499989,1,0,0.05483,1,0.902065,0.742807,transient_unlinked,WGV33D_MAIN_F0000_C000002
WGV33D_THREAD_000003,GM_RM011,main,0,0,1,1,0,0,-38.9839,-38.9839,162,162,0,0,3.558594,3.558594,975.999989,1,0,0.008486,1,1.441056,2.377419,transient_unlinked,WGV33D_MAIN_F0000_C000003
WGV33D_THREAD_000004,GM_RM011,main,0,0,1,1,0,0,-37.4839,-37.4839,186,186,0,0,2.751563,2.751563,2264.000038,1,0,0.024543,1,1.275432,1.746596,transient_unlinked,WGV33D_MAIN_F0000_C000004
WGV33D_THREAD_000005,GM_RM011,main,0,1,2,2,1,0,-29.9895,-24.0542,66.2773,63.4399,5.9353,-2.8374,3.033775,3.143164,4437.000011,0.85,1,0.090251,1,1.258319,0.705446,transient_unlinked,WGV33D_MAIN_F0000_C000005;WGV33D_MAIN_F0001_C000033
WGV33D_THREAD_000006,GM_RM011,main,0,0,1,1,0,0,-32.704,-32.704,117.5681,117.5681,0,0,2.589844,2.589844,2019.499966,1,0,0.037279,1,1.489319,1.196202,transient_unlinked,WGV33D_MAIN_F0000_C000006
WGV33D_THREAD_000007,GM_RM011,main,0,0,1,1,0,0,-32.5429,-32.5429,186,186,0,0,2.992188,2.992188,1123.999977,1,0,0.082681,1,0.968489,2.121564,transient_unlinked,WGV33D_MAIN_F0000_C000007
WGV33D_THREAD_000008,GM_RM011,main,0,0,1,1,0,0,-23.0287,-23.0287,178,178,0,0,2.482422,2.482422,1964.999985,1,0,0.099434,1,1.255052,1.8,transient_unlinked,WGV33D_MAIN_F0000_C000008
WGV33D_THREAD_000009,GM_RM011,main,0,2,3,2,2,1,-16.2995,-19.7202,106.4557,113.6214,-3.4207,7.1657,2.881281,3.009375,8289.000023,0.763158,0.5,0.038656,1,1.342834,1.125289,transient_unlinked,WGV33D_MAIN_F0000_C000009;WGV33D_MAIN_F0002_C000049
WGV33D_THREAD_000010,GM_RM011,main,0,4,5,3,3,2,-13.2926,-12.1515,62.1566,63.1024,1.1411,0.9458,3.102086,3.246419,6427.000004,0.715414,0.5,0.075825,1,1.492212,0.762831,dynamic_local_response_mixed,WGV33D_MAIN_F0000_C000010;WGV33D_MAIN_F0002_C000050;WGV33D_MAIN_F0004_C000103
