wgv1_4_fragment_id,scene_id,wgv1_4_thread_id,target_family_id,old_wgv1_3_thread_id,source_fragment_id,frame_start,frame_end,frame_count,wgv1_4_fragment_status,class_sequence,x_bin_sequence,visual_evidence_paths,sar_ready,not_final_box_flag,not_gt_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV14F001,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF001,GM_RM011_WGV13T001,GM_RM011_WG11F001,0,4,5,accepted,car car car car car,left left left left mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF001_000000_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF001_000001_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF001_000002_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF001_000003_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F002,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF002,GM_RM011_WGV13T001,GM_RM011_WG11F002,8,9,2,accepted,car car,mid mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF002_000008_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T001_GM_RM011_WGV12TF002_000009_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F003,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF003,GM_RM011_WGV13T002,GM_RM011_WG11F002,10,10,1,accepted,car,mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF003_000010_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F004,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF004,GM_RM011_WGV13T002,GM_RM011_WG11F003,13,16,4,accepted,car car car car,mid mid mid mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF004_000013_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF004_000014_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF004_000015_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF004_000016_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F005,GM_RM011,GM_RM011_WGV14T001,GM_RM011_WGV12TF005,GM_RM011_WGV13T002,GM_RM011_WG11F004,18,25,8,accepted,car car car car car car car car,mid mid mid right right right right right,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000018_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000019_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000020_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review/frames_yolo/GM_RM011_WGV13T002_GM_RM011_WGV12TF005_000021_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F006,GM_RM011,GM_RM011_WGV14T002,GM_RM011_WGV12TF006,GM_RM011_WGV13T003,GM_RM011_WG11F006,31,35,5,accepted,car car car car car,left left left left left,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/frames_yolo/GM_RM011_WGV13T003_GM_RM011_WGV12TF006_000031_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/frames_yolo/GM_RM011_WGV13T003_GM_RM011_WGV12TF006_000032_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/frames_yolo/GM_RM011_WGV13T003_GM_RM011_WGV12TF006_000033_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split/frames_yolo/GM_RM011_WGV13T003_GM_RM011_WGV12TF006_000034_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F007,GM_RM011,GM_RM011_WGV14T003,GM_RM011_WGV12TF007,GM_RM011_WGV13T004,GM_RM011_WG11F007,135,137,3,accepted,car car car,left left left,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/04_GM_RM011_GM_RM011_WGV13T004_standalone_split/frames_yolo/GM_RM011_WGV13T004_GM_RM011_WGV12TF007_000135_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/04_GM_RM011_GM_RM011_WGV13T004_standalone_split/frames_yolo/GM_RM011_WGV13T004_GM_RM011_WGV12TF007_000136_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/04_GM_RM011_GM_RM011_WGV13T004_standalone_split/frames_yolo/GM_RM011_WGV13T004_GM_RM011_WGV12TF007_000137_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F008,GM_RM011,GM_RM011_WGV14T004,GM_RM011_WGV12TF008,GM_RM011_WGV13T005,GM_RM011_WG11F009,151,161,11,accepted,car car car car car car car car car car car,right right right right right right right right right right right,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF008_000151_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF008_000152_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF008_000153_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF008_000154_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F009,GM_RM011,GM_RM011_WGV14T004,GM_RM011_WGV12TF009,GM_RM011_WGV13T005,GM_RM011_WG11F010,164,166,3,accepted,car car car,right right right,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF009_000164_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF009_000165_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T005_GM_RM011_WGV12TF009_000166_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F010,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF010,GM_RM011_WGV13T006,GM_RM011_WG11F011,231,232,2,accepted,car car,mid mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/06_GM_RM011_GM_RM011_WGV13T006_standalone_split/frames_yolo/GM_RM011_WGV13T006_GM_RM011_WGV12TF010_000231_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/06_GM_RM011_GM_RM011_WGV13T006_standalone_split/frames_yolo/GM_RM011_WGV13T006_GM_RM011_WGV12TF010_000232_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F011,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF011,GM_RM011_WGV13T007,GM_RM011_WG11F011,233,233,1,accepted,car,mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF011_000233_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F012,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF012,GM_RM011_WGV13T007,GM_RM011_WG11F012,236,239,4,accepted,car car car car,mid right right right,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF012_000236_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF012_000237_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF012_000238_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T007_GM_RM011_WGV12TF012_000239_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F013,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF013,GM_RM011_WGV13T008,GM_RM011_WG11F013,242,249,8,accepted,car car car car car car car car,left left left left left mid left mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000242_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000243_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000244_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split/frames_yolo/GM_RM011_WGV13T008_GM_RM011_WGV12TF013_000245_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F014,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF014,GM_RM011_WGV13T009,GM_RM011_WG11F013,250,250,1,accepted,car,mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/09_GM_RM011_GM_RM011_WGV13T009_standalone_split/frames_yolo/GM_RM011_WGV13T009_GM_RM011_WGV12TF014_000250_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F015,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF015,GM_RM011_WGV13T010,GM_RM011_WG11F013,251,259,9,accepted,car car car car car car car car car,mid mid mid mid mid mid mid mid mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split/frames_yolo/GM_RM011_WGV13T010_GM_RM011_WGV12TF015_000251_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split/frames_yolo/GM_RM011_WGV13T010_GM_RM011_WGV12TF015_000252_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split/frames_yolo/GM_RM011_WGV13T010_GM_RM011_WGV12TF015_000253_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split/frames_yolo/GM_RM011_WGV13T010_GM_RM011_WGV12TF015_000254_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
