template_id,response_unit_id,sar_frame,template_family,template_axis,template_operation,delta_m,delta_px,region_pixel_count,energy_delta,inner_density_delta,outer_band_density_delta,component_count_delta,principal_axis_change_deg,scale_yaw_feasible_change,template_scope
R21B00001_T01,R21B00001,27,center_shift,range,shift,-0.15,-5,17606,-1472.901082,-0.077931,0.019483,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T02,R21B00001,27,center_shift,range,shift,0.15,5,17606,-1472.901082,-0.077931,0.019483,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T03,R21B00001,27,center_shift,azimuth,shift,-0.15,-5,17606,-1472.901082,-0.077931,0.019483,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T04,R21B00001,27,center_shift,azimuth,shift,0.15,5,17606,-1472.901082,-0.077931,0.019483,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T05,R21B00001,27,center_shift,range,shift,-0.3,-10,17606,-2945.802164,-0.155863,0.038966,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T06,R21B00001,27,center_shift,range,shift,0.3,10,17606,-2945.802164,-0.155863,0.038966,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T07,R21B00001,27,center_shift,azimuth,shift,-0.3,-10,17606,-2945.802164,-0.155863,0.038966,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T08,R21B00001,27,center_shift,azimuth,shift,0.3,10,17606,-2945.802164,-0.155863,0.038966,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T09,R21B00001,27,center_shift,range,shift,-0.45,-15,17606,-4418.703246,-0.233794,0.058448,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T10,R21B00001,27,center_shift,range,shift,0.45,15,17606,-4418.703246,-0.233794,0.058448,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T11,R21B00001,27,center_shift,azimuth,shift,-0.45,-15,17606,-4418.703246,-0.233794,0.058448,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T12,R21B00001,27,center_shift,azimuth,shift,0.45,15,17606,-4418.703246,-0.233794,0.058448,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T13,R21B00001,27,single_boundary_shift,range_min,move,-0.15,-5,18423,97056.318333,-0.636602,0.15915,0,0.306044,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T14,R21B00001,27,single_boundary_shift,range_min,move,0.15,5,16789,76252.169815,0.636602,-0.15915,0,0.306044,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T15,R21B00001,27,single_boundary_shift,range_max,move,-0.15,-5,16789,76252.169815,-0.636602,0.15915,0,0.306044,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T16,R21B00001,27,single_boundary_shift,range_max,move,0.15,5,18423,97056.318333,0.636602,-0.15915,0,0.306044,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T17,R21B00001,27,single_boundary_shift,azimuth_min,move,-0.15,-5,18145,93516.812037,-0.636602,0.15915,0,0.306044,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T18,R21B00001,27,single_boundary_shift,azimuth_min,move,0.15,5,17067,79791.676111,0.636602,-0.15915,0,0.306044,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T19,R21B00001,27,single_boundary_shift,azimuth_max,move,-0.15,-5,17067,79791.676111,-0.636602,0.15915,0,0.306044,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T20,R21B00001,27,single_boundary_shift,azimuth_max,move,0.15,5,18145,93516.812037,0.636602,-0.15915,0,0.306044,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T21,R21B00001,27,single_boundary_shift,range_min,move,-0.3,-10,19240,107458.392593,-0.636602,0.15915,0,0.612088,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T22,R21B00001,27,single_boundary_shift,range_min,move,0.3,10,15972,65850.095556,0.636602,-0.15915,0,0.612088,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T23,R21B00001,27,single_boundary_shift,range_max,move,-0.3,-10,15972,65850.095556,-0.636602,0.15915,0,0.612088,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T24,R21B00001,27,single_boundary_shift,range_max,move,0.3,10,19240,107458.392593,0.636602,-0.15915,0,0.612088,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T25,R21B00001,27,single_boundary_shift,azimuth_min,move,-0.3,-10,18684,100379.38,-0.636602,0.15915,0,0.612088,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T26,R21B00001,27,single_boundary_shift,azimuth_min,move,0.3,10,16529,72941.840185,0.636602,-0.15915,0,0.612088,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T27,R21B00001,27,single_boundary_shift,azimuth_max,move,-0.3,-10,16529,72941.840185,-0.636602,0.15915,0,0.612088,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T28,R21B00001,27,single_boundary_shift,azimuth_max,move,0.3,10,18684,100379.38,0.636602,-0.15915,0,0.612088,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T29,R21B00001,27,scale_resize,range,resize,-0.15,-5,16789,76252.169815,-1.018563,0.254641,0,0.244835,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T30,R21B00001,27,scale_resize,range,resize,0.15,5,18423,97056.318333,1.018563,-0.254641,0,0.244835,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T31,R21B00001,27,scale_resize,azimuth,resize,-0.15,-5,17067,79791.676111,-1.018563,0.254641,0,0.244835,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T32,R21B00001,27,scale_resize,azimuth,resize,0.15,5,18145,93516.812037,1.018563,-0.254641,0,0.244835,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T33,R21B00001,27,scale_resize,range,resize,-0.3,-10,15972,65850.095556,-1.018563,0.254641,0,0.48967,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T34,R21B00001,27,scale_resize,range,resize,0.3,10,19240,107458.392593,1.018563,-0.254641,0,0.48967,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T35,R21B00001,27,scale_resize,azimuth,resize,-0.3,-10,16529,72941.840185,-1.018563,0.254641,0,0.48967,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00001_T36,R21B00001,27,scale_resize,azimuth,resize,0.3,10,18684,100379.38,1.018563,-0.254641,0,0.48967,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T01,R21B00002,27,center_shift,range,shift,-0.15,-5,1967,-599.794198,-0.297517,0.074379,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T02,R21B00002,27,center_shift,range,shift,0.15,5,1967,-599.794198,-0.297517,0.074379,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T03,R21B00002,27,center_shift,azimuth,shift,-0.15,-5,1967,-599.794198,-0.297517,0.074379,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
