gate_id,status,evidence,notes
WORKTREE_BRANCH_VALID,PASS,branch=feature/oty2-gm017-physical-factor-discovery;head=76029c558a7706bd6c460b8eb31749cce75406af,
START_COMMIT_ANCESTRY_VALID,PASS,76029c558a7706bd6c460b8eb31749cce75406af,
P0_D1_D1_R1_E0_E0_R1_FROZEN_UNCHANGED,PASS,P0=unchanged_since_start; D1=unchanged_since_start; D1_R1=unchanged_since_start; E0=unchanged_since_start; E0_R1=unchanged_since_start,
PRE_EVAL_SEAL_VALID,PASS,seal ok,
FROZEN_REPLAY_IDENTICAL,PASS,replay_check=True,
GT_CENTER_IDENTITY_AUDIT_COMPLETE,PASS,frames=71;sar336_audited=true,
DUPLICATE_FRAME_CONFLICTS_RESOLVED_OR_EXCLUDED,PASS,SAR336 weak correspondence excluded; no unresolved selected centers,
FRAME_GAP_AWARE_VELOCITY_VALID,PASS,delta_frame recorded and velocity normalized per SAR frame,
AXIAL_180_DEGREE_SEMANTICS_VALID,PASS,"body_axis_proxy_deg in [0,180); axial differences in [0,90]",
HEADING_PROXY_REAUDITED,PASS,high_total=33;high_diag=0,
HIGH_CONFIDENCE_DIAGNOSIS_HEADING_SUFFICIENT,NOT_READY,high_diag=0;diag_total=24,
SYMMETRIC_GATE_DEFINITIONS_VALID,PASS,10 Gate definitions recorded with same fields/rules for all subjects,
NO_LABEL_DEPENDENT_GATE_LOGIC,PASS,label_fields_used_for_status_false=True,
VEHICLE_AND_NEGATIVE_SAME_GATE_RULES,PASS,same gate_definition_version=e0_r1_r1_symmetric_gate_v1,
SUBJECT_SPECIFIC_TRANSLATION_SURFACES_COMPLETE,PASS,subject_frames=497;surfaces=14910,
SUBJECT_SPECIFIC_TEMPORAL_GATES_COMPLETE,PASS,subjects=7;matched_controls_marked_not_evaluable_no_track,
BACKGROUND_FIXEDNESS_GATE_VALID,PASS,G10 uses subject_center_motion_px and image_coordinate_fixedness_sufficient,
WORST_HARD_NEGATIVE_EVALUATED,PASS,worst=WORST_CONTROL source=matched_strong_scatterer_background,
OBSERVABLE_STRUCTURE_CONFUSION_AUDITED,PASS,observable_confusion_count=42,
FULL_PHYSICAL_CONFUSION_AUDITED,PASS,full_physical_confusion_count=0,
VEHICLE_METRIC_SCALE_PATTERN_SUPPORTED,SUPPORTED,vehicle_scale_gate_fraction=0.961268,
VEHICLE_SPATIAL_CONCENTRATION_SUPPORTED,SUPPORTED,vehicle_G7_fraction=0.619718;worst_fraction_vehicle_higher=0.577465,
VEHICLE_DIRECTIONAL_STRUCTURE_SUPPORTED,NOT_READY,direction_interval_ready=True;cal_q90=4.515809;high_diag=0;vehicle_G8_fraction=0.450704,
VEHICLE_HARD_NEGATIVE_REJECTION_SUPPORTED,NOT_READY,full_confusions=0;matched_strong_observable_rate=0.69697;direction_supported=False,
E0_R1_R1_PHYSICAL_SEPARABILITY_SUPPORTED,NOT_READY,requires metric scale + spatial concentration + direction + temporal + hard-negative rejection,
E0_R1_R1_READY_FOR_CROSS_SCENE_VALIDATION,NOT_READY,same-scene GT-conditioned posthoc correction; no cross-scene validation package,
