sample_id,sample_kind,source_pair_id,physical_vehicle_id,frame,local_bbox,recovered_center_x,recovered_center_y,recovered_width,recovered_height,recovered_depth,recovery_mode,previous_anchor_frame,next_anchor_frame,recovery_confidence,visible_boundary_consistency,recovery_blocked_reason
R1_SIM_0001,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"81.054,300.604,255.798,393.916",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
R1_SIM_0002,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"124.74,300.604,255.798,393.916",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
R1_SIM_0003,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"168.426,300.604,255.798,393.916",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
R1_SIM_0004,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"37.368,300.604,212.112,393.916",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
R1_SIM_0005,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"37.368,300.604,168.426,393.916",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
R1_SIM_0006,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"37.368,300.604,124.74,393.916",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
R1_SIM_0007,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"37.368,300.604,255.798,375.254",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
R1_SIM_0008,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"37.368,300.604,255.798,356.591",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
R1_SIM_0009,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"146.583,300.604,255.798,393.916",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
R1_SIM_0010,simulated_truncation,WGV35A_PAIR_0041,PV_GM17_WHITE_SUV,163,"37.368,300.604,146.583,393.916",146.583,347.26,218.43,93.312,10.967053,synthetic_complete_state_known,163,163,1,synthetic_full_state,
