summary_id,measurement_region_type,group_name,metric,sample_count,valid_count,invalid_count,missing_count,median,q1,q3,iqr,min,max,low_energy_count,too_few_pixels_count,boundary_censored_count,mask_censored_count,background_contaminated_count
GS0001,core_region,all_local_response_units,range_p80_width,250,250,0,0,30.713167,14.10147,82.91377,68.812299,3.17338,117.960428,0,0,142,0,14
GS0002,core_region,all_local_response_units,azimuth_p80_width,250,250,0,0,39.227619,17.171601,91.046669,73.875068,3.280664,128.131846,0,0,142,0,14
GS0003,core_region,all_local_response_units,range_to_azimuth_p80_ratio,250,250,0,0,0.841092,0.671272,1.055281,0.38401,0.24384,2.571239,0,0,142,0,14
GS0004,core_region,all_local_response_units,principal_axis_ratio,250,250,0,0,1.469447,1.232344,1.824669,0.592325,1.004836,5.098624,0,0,142,0,14
GS0005,core_region,all_local_response_units,principal_axis_angle_to_range_deg,250,250,0,0,60.856832,38.065895,76.153052,38.087157,0.073472,89.877486,0,0,142,0,14
GS0006,core_region,all_local_response_units,background_subtracted_energy,250,250,0,0,35875.5,4985,171667.5,166682.5,540,313613,0,0,142,0,14
GS0007,core_region,all_local_response_units,energy_centroid_offset_px,250,250,0,0,3.151924,1.266591,7.844569,6.577978,0.049082,25.723163,0,0,142,0,14
GS0008,core_region,gt_local_positive_control,range_p80_width,47,47,0,0,65.580182,19.205185,84.29691,65.091725,5.736653,117.960428,0,0,47,0,4
GS0009,core_region,gt_local_positive_control,azimuth_p80_width,47,47,0,0,61.408864,20.909183,100.826191,79.917008,6.662681,115.889093,0,0,47,0,4
GS0010,core_region,gt_local_positive_control,range_to_azimuth_p80_ratio,47,47,0,0,0.882698,0.70204,1.067505,0.365465,0.35064,1.481192,0,0,47,0,4
GS0011,core_region,gt_local_positive_control,principal_axis_ratio,47,47,0,0,1.388032,1.149301,1.667502,0.518201,1.017918,3.207544,0,0,47,0,4
GS0012,core_region,gt_local_positive_control,principal_axis_angle_to_range_deg,47,47,0,0,59.097068,36.009918,74.407112,38.397194,9.107767,89.843145,0,0,47,0,4
GS0013,core_region,gt_local_positive_control,background_subtracted_energy,47,47,0,0,66262,7911.5,175949,168037.5,2264,275985,0,0,47,0,4
GS0014,core_region,gt_local_positive_control,energy_centroid_offset_px,47,47,0,0,5.961049,1.370578,7.591465,6.220886,0.096432,16.690784,0,0,47,0,4
GS0015,core_region,registered_background_counterexample,range_p80_width,129,129,0,0,70.722766,11.107006,86.477684,75.370678,3.17338,117.960428,0,0,78,0,5
GS0016,core_region,registered_background_counterexample,azimuth_p80_width,129,129,0,0,84.020608,15.487743,100.928977,85.441234,3.280664,128.131846,0,0,78,0,5
GS0017,core_region,registered_background_counterexample,range_to_azimuth_p80_ratio,129,129,0,0,0.854057,0.678859,1.022388,0.343529,0.24384,2.571239,0,0,78,0,5
