pair_id,physical_vehicle_id,frame,method,scene_anchor_plan,used_for_scene_anchor,predicted_azimuth,predicted_radial,sar_azimuth,sar_radial,azimuth_error,radial_error,center_covered_95,state_source,state_confidence,blocked_reason
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,Z0_local_detection_box,A0,false,1.848631,-41.923381,10.0062,134.597,8.157569,176.520381,false,paired_row_local_box,1,
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,Z1A_full_stream_optical_anchor_recovery,A0,false,,,,,,,,optical_recovery_anchor,0,no_full_stream_optical_anchor_for_vehicle
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,Z1B_anchorless_track_level_completion,A0,false,-0.549822,-1.323695,10.0062,134.597,10.556022,135.920695,false,anchorless_track_level_completion,0.66,
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,Z0_local_detection_box,A0,false,5.944334,50.320687,13.7107,138.554,7.766366,88.233313,false,paired_row_local_box,1,
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,Z1A_full_stream_optical_anchor_recovery,A0,false,,,,,,,,optical_recovery_anchor,0,no_full_stream_optical_anchor_for_vehicle
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,Z1B_anchorless_track_level_completion,A0,false,6.453784,4.304736,13.7107,138.554,7.256916,134.249264,false,anchorless_track_level_completion,0.66,
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,Z0_local_detection_box,A0,false,10.079631,144.517479,17.5007,142.1,7.421069,2.417479,false,paired_row_local_box,1,
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,Z1A_full_stream_optical_anchor_recovery,A0,false,,,,,,,,optical_recovery_anchor,0,no_full_stream_optical_anchor_for_vehicle
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,Z1B_anchorless_track_level_completion,A0,false,15.040081,10.290211,17.5007,142.1,2.460619,131.809789,false,anchorless_track_level_completion,0.5,
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,Z0_local_detection_box,A0,false,27.783447,563.7736,44.7612,202.905,16.977753,360.8686,false,paired_row_local_box,1,
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,Z1A_full_stream_optical_anchor_recovery,A0,false,,,,,,,,optical_recovery_anchor,0,no_full_stream_optical_anchor_for_vehicle
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,Z1B_anchorless_track_level_completion,A0,false,,,,,,,,anchorless_track_level_completion,0,insufficient_temporal_extent
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,Z0_local_detection_box,A0,false,-25.124316,220.525063,-35.451,155.671,10.326684,64.854063,false,paired_row_local_box,1,
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,Z1A_full_stream_optical_anchor_recovery,A0,false,-16.601015,183.086928,-35.451,155.671,18.849985,27.415928,false,optical_recovery_anchor,0.611111,
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,Z1B_anchorless_track_level_completion,A0,false,-26.889762,158.930652,-35.451,155.671,8.561238,3.259652,false,anchorless_track_level_completion,0.48,
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,Z0_local_detection_box,A0,false,-20.071322,175.831631,-33.2059,149.63,13.134578,26.201631,false,paired_row_local_box,1,
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,Z1A_full_stream_optical_anchor_recovery,A0,false,-16.601015,183.086928,-33.2059,149.63,16.604885,33.456928,false,optical_recovery_anchor,0.722222,
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,Z1B_anchorless_track_level_completion,A0,false,-22.515963,169.781251,-33.2059,149.63,10.689937,20.151251,false,anchorless_track_level_completion,0.4,
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,Z0_local_detection_box,A0,false,22.550107,333.7858,42.8808,169.247,20.330693,164.5388,false,paired_row_local_box,1,
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,Z1A_full_stream_optical_anchor_recovery,A0,false,11.755755,97.391593,42.8808,169.247,31.125045,71.855407,false,optical_recovery_anchor,0.48,
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,Z1B_anchorless_track_level_completion,A0,false,23.227452,182.191215,42.8808,169.247,19.653348,12.944215,false,anchorless_track_level_completion,0.5,
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,Z0_local_detection_box,A0,false,26.075821,445.848455,46.8998,170.951,20.823979,274.897455,false,paired_row_local_box,1,
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,Z1A_full_stream_optical_anchor_recovery,A0,false,11.755755,97.391593,46.8998,170.951,35.144045,73.559407,false,optical_recovery_anchor,0.4,
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,Z1B_anchorless_track_level_completion,A0,false,27.988489,191.378984,46.8998,170.951,18.911311,20.427984,false,anchorless_track_level_completion,0.35,
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,Z0_local_detection_box,A0,false,-34.946063,399.109718,-47.6792,189.034,12.733137,210.075718,false,paired_row_local_box,1,
