sar_frame,split,physical_vehicle_id,constant_vehicle_envelope,body_long_p80_width_m,body_short_p80_width_m,required_missing_support_m,required_extra_spread_m,vehicle_projection_envelope_status,view_dependent_response_support
315,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.262986,1.066762,0,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
317,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.348367,0.988069,0,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
319,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.139218,1.149894,0,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
321,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.472263,0.994686,0,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
323,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.118063,0.714435,0.012742,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
325,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.983442,0.784806,0,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
327,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.149898,0.570474,0.156703,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
331,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.354274,0.556574,0.170603,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
332,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.823743,0.81689,0.08223,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
333,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.907363,1.236213,0,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
334,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.925352,0.965889,0,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
335,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.799905,0.660085,0.173161,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
336,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.182061,3.180424,0,0.583364,VEHICLE_ENVELOPE_STRESS,allowed_to_change_with_relative_aspect
337,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.153539,0.451499,0.275677,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
338,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.153203,0.447705,0.279472,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
339,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.270137,0.509375,0.217802,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
340,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.918672,0.629947,0.09723,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
341,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.918734,0.679894,0.047282,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
342,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.966792,0.520015,0.207162,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
343,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.650883,0.524881,0.202295,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
344,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.487009,0.569057,0.15812,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
345,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.055861,0.580749,0.146428,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
346,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.899209,0.615093,0.112084,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
347,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.47795,0.49122,0.235957,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
348,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.357343,0.510194,0.216983,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
349,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.287738,0.54075,0.186427,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
350,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.765616,0.722232,0.145302,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
