family_id,response_box_id,core_subgraph_id,sar_frame,member_relation_to_family,box_state
R21F00001,R21B00001,R21C00001,27,distinct_core_same_response,unresolved
R21F00001,R21B00002,R21C00002,27,distinct_core_same_response,vehicle_response_box_possible
R21F00001,R21B00003,R21C00003,27,distinct_core_same_response,unresolved
R21F00001,R21B00004,R21C00004,27,distinct_core_same_response,unresolved
R21F00001,R21B00005,R21C00005,27,distinct_core_same_response,unresolved
R21F00001,R21B00006,R21C00006,27,distinct_core_same_response,unresolved
R21F00002,R21B00007,R21C00007,28,nested_boundary_variant,unresolved
R21F00002,R21B00008,R21C00008,28,nested_boundary_variant,vehicle_response_box_possible
R21F00002,R21B00009,R21C00009,28,nested_boundary_variant,unresolved
R21F00002,R21B00010,R21C00010,28,nested_boundary_variant,unresolved
R21F00002,R21B00011,R21C00011,28,nested_boundary_variant,unresolved
R21F00003,R21B00012,R21C00012,29,nested_boundary_variant,unresolved
R21F00003,R21B00013,R21C00013,29,nested_boundary_variant,vehicle_response_box_possible
R21F00003,R21B00014,R21C00014,29,nested_boundary_variant,unresolved
R21F00003,R21B00015,R21C00015,29,nested_boundary_variant,unresolved
R21F00004,R21B00016,R21C00016,30,nested_boundary_variant,unresolved
R21F00004,R21B00017,R21C00017,30,nested_boundary_variant,vehicle_response_box_possible
R21F00004,R21B00018,R21C00018,30,nested_boundary_variant,unresolved
R21F00004,R21B00019,R21C00019,30,nested_boundary_variant,vehicle_part_box_only
R21F00004,R21B00020,R21C00020,30,nested_boundary_variant,unresolved
R21F00004,R21B00021,R21C00021,30,nested_boundary_variant,unresolved
R21F00004,R21B00022,R21C00022,30,nested_boundary_variant,unresolved
R21F00004,R21B00023,R21C00023,30,nested_boundary_variant,vehicle_response_box_supported
R21F00005,R21B00024,R21C00024,31,nested_boundary_variant,vehicle_response_box_possible
R21F00005,R21B00025,R21C00025,31,nested_boundary_variant,unresolved
R21F00005,R21B00026,R21C00026,31,nested_boundary_variant,vehicle_part_box_only
R21F00005,R21B00027,R21C00027,31,nested_boundary_variant,vehicle_part_box_only
R21F00005,R21B00028,R21C00028,31,nested_boundary_variant,unresolved
R21F00005,R21B00029,R21C00029,31,nested_boundary_variant,vehicle_response_box_supported
R21F00005,R21B00030,R21C00030,31,nested_boundary_variant,vehicle_response_box_supported
R21F00005,R21B00031,R21C00031,31,nested_boundary_variant,unresolved
R21F00006,R21B00032,R21C00032,32,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00006,R21B00033,R21C00033,32,spatially_distinct_hypothesis,unresolved
R21F00006,R21B00034,R21C00034,32,spatially_distinct_hypothesis,unresolved
R21F00006,R21B00035,R21C00035,32,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00006,R21B00036,R21C00036,32,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00006,R21B00037,R21C00037,32,spatially_distinct_hypothesis,unresolved
R21F00006,R21B00038,R21C00038,32,spatially_distinct_hypothesis,unresolved
R21F00006,R21B00039,R21C00039,32,spatially_distinct_hypothesis,unresolved
R21F00007,R21B00040,R21C00040,34,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00007,R21B00041,R21C00041,34,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00007,R21B00042,R21C00042,34,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00007,R21B00043,R21C00043,34,spatially_distinct_hypothesis,unresolved
R21F00007,R21B00044,R21C00044,34,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00007,R21B00045,R21C00045,34,spatially_distinct_hypothesis,unresolved
R21F00007,R21B00046,R21C00046,34,spatially_distinct_hypothesis,unresolved
R21F00007,R21B00047,R21C00047,34,spatially_distinct_hypothesis,vehicle_response_box_supported
R21F00008,R21B00048,R21C00048,39,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00008,R21B00049,R21C00049,39,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00008,R21B00050,R21C00050,39,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00008,R21B00051,R21C00051,39,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00008,R21B00052,R21C00052,39,spatially_distinct_hypothesis,unresolved
R21F00008,R21B00053,R21C00053,39,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00008,R21B00054,R21C00054,39,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00008,R21B00055,R21C00055,39,spatially_distinct_hypothesis,unresolved
R21F00009,R21B00056,R21C00056,40,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00009,R21B00058,R21C00058,40,spatially_distinct_hypothesis,unresolved
R21F00009,R21B00059,R21C00059,40,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00009,R21B00060,R21C00060,40,spatially_distinct_hypothesis,unresolved
R21F00009,R21B00061,R21C00061,40,spatially_distinct_hypothesis,unresolved
R21F00010,R21B00057,R21C00057,40,single_member_family,vehicle_part_box_only
R21F00011,R21B00062,R21C00062,46,single_member_family,vehicle_response_box_possible
R21F00012,R21B00063,R21C00063,52,nested_boundary_variant,vehicle_part_box_only
R21F00012,R21B00064,R21C00064,52,nested_boundary_variant,unresolved
R21F00012,R21B00065,R21C00065,52,nested_boundary_variant,unresolved
R21F00012,R21B00066,R21C00066,52,nested_boundary_variant,unresolved
R21F00013,R21B00067,R21C00067,60,single_member_family,vehicle_response_box_possible
R21F00014,R21B00068,R21C00068,60,single_member_family,unresolved
R21F00015,R21B00069,R21C00069,77,distinct_core_same_response,unresolved
R21F00015,R21B00070,R21C00070,77,distinct_core_same_response,vehicle_response_box_possible
R21F00015,R21B00071,R21C00071,77,distinct_core_same_response,vehicle_part_box_only
R21F00015,R21B00072,R21C00072,77,distinct_core_same_response,unresolved
R21F00015,R21B00073,R21C00073,77,distinct_core_same_response,unresolved
R21F00015,R21B00074,R21C00074,77,distinct_core_same_response,unresolved
R21F00015,R21B00075,R21C00075,77,distinct_core_same_response,unresolved
R21F00015,R21B00076,R21C00076,77,distinct_core_same_response,unresolved
R21F00016,R21B00077,R21C00077,78,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00016,R21B00078,R21C00078,78,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00016,R21B00079,R21C00079,78,spatially_distinct_hypothesis,unresolved
R21F00016,R21B00080,R21C00080,78,spatially_distinct_hypothesis,unresolved
R21F00016,R21B00081,R21C00081,78,spatially_distinct_hypothesis,unresolved
R21F00016,R21B00082,R21C00082,78,spatially_distinct_hypothesis,unresolved
R21F00016,R21B00083,R21C00083,78,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00017,R21B00084,R21C00084,79,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00017,R21B00085,R21C00085,79,spatially_distinct_hypothesis,unresolved
R21F00017,R21B00086,R21C00086,79,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00017,R21B00087,R21C00087,79,spatially_distinct_hypothesis,unresolved
R21F00017,R21B00088,R21C00088,79,spatially_distinct_hypothesis,unresolved
R21F00017,R21B00089,R21C00089,79,spatially_distinct_hypothesis,unresolved
R21F00017,R21B00090,R21C00090,79,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00017,R21B00091,R21C00091,79,spatially_distinct_hypothesis,unresolved
R21F00018,R21B00092,R21C00092,80,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00018,R21B00093,R21C00093,80,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00018,R21B00094,R21C00094,80,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00018,R21B00095,R21C00095,80,spatially_distinct_hypothesis,unresolved
R21F00018,R21B00096,R21C00096,80,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00018,R21B00097,R21C00097,80,spatially_distinct_hypothesis,unresolved
R21F00018,R21B00098,R21C00098,80,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00018,R21B00099,R21C00099,80,spatially_distinct_hypothesis,unresolved
R21F00019,R21B00100,R21C00100,81,distinct_core_same_response,vehicle_response_box_possible
R21F00019,R21B00101,R21C00101,81,distinct_core_same_response,unresolved
R21F00019,R21B00102,R21C00102,81,distinct_core_same_response,unresolved
R21F00019,R21B00103,R21C00103,81,distinct_core_same_response,unresolved
R21F00019,R21B00104,R21C00104,81,distinct_core_same_response,unresolved
R21F00020,R21B00105,R21C00105,212,nested_boundary_variant,unresolved
R21F00020,R21B00106,R21C00106,212,nested_boundary_variant,vehicle_part_box_only
R21F00020,R21B00107,R21C00107,212,nested_boundary_variant,unresolved
R21F00021,R21B00108,R21C00108,213,distinct_core_same_response,unresolved
R21F00021,R21B00109,R21C00109,213,distinct_core_same_response,unresolved
R21F00021,R21B00110,R21C00110,213,distinct_core_same_response,vehicle_part_box_only
R21F00021,R21B00111,R21C00111,213,distinct_core_same_response,unresolved
R21F00022,R21B00112,R21C00112,216,nested_boundary_variant,unresolved
R21F00022,R21B00113,R21C00113,216,nested_boundary_variant,vehicle_part_box_only
R21F00022,R21B00114,R21C00114,216,nested_boundary_variant,unresolved
R21F00023,R21B00115,R21C00115,220,distinct_core_same_response,unresolved
R21F00023,R21B00116,R21C00116,220,distinct_core_same_response,unresolved
R21F00024,R21B00117,R21C00117,224,nested_boundary_variant,unresolved
R21F00024,R21B00118,R21C00118,224,nested_boundary_variant,vehicle_part_box_only
R21F00024,R21B00119,R21C00119,224,nested_boundary_variant,vehicle_part_box_only
R21F00024,R21B00120,R21C00120,224,nested_boundary_variant,unresolved
R21F00024,R21B00121,R21C00121,224,nested_boundary_variant,unresolved
R21F00024,R21B00122,R21C00122,224,nested_boundary_variant,unresolved
R21F00024,R21B00123,R21C00123,224,nested_boundary_variant,unresolved
R21F00025,R21B00124,R21C00124,227,spatially_distinct_hypothesis,unresolved
R21F00025,R21B00125,R21C00125,227,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00025,R21B00126,R21C00126,227,spatially_distinct_hypothesis,unresolved
R21F00025,R21B00127,R21C00127,227,spatially_distinct_hypothesis,unresolved
R21F00026,R21B00128,R21C00128,228,nested_boundary_variant,unresolved
