assisted_review_id,blind_frame_id,blind_family_id,family_id,sar_frame,assisted_core_visual_match,assisted_optional_membership_match,assisted_background_exclusion_match,assisted_structure_support,assisted_unresolved,assisted_decisive_reason_cn,raw_to_assisted_change_cn,algorithm_overlay_helped_or_misled_cn,assisted_confidence,assisted_png
R21R1AST0001,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_001,R21R1F00001,27,false,true,false,false,false,R21R1F00001?SAR 27?assisted ???overlay ????/?????overlay ??????????????????? R2.1-R1 ??????????,raw ?????assisted ??????????????????????????,overlay ????????????????????????????????????????? family?,0.58,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_001.png
R21R1AST0002,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_002,R21R1F00002,27,true,not_applicable,true,true,false,R21R1F00002?SAR 27?assisted ???overlay ???????????overlay ??????????????????? R2.1-R1 ??????????,raw ?????????assisted ????????????????? GT?,overlay ????????????????????????????????????????? family?,0.66,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_001.png
R21R1AST0003,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_003,R21R1F00003,27,true,not_applicable,true,false,true,R21R1F00003?SAR 27?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_001.png
R21R1AST0004,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_004,R21R1F00004,27,true,not_applicable,true,false,true,R21R1F00004?SAR 27?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_001.png
R21R1AST0005,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_005,R21R1F00005,27,true,not_applicable,true,false,true,R21R1F00005?SAR 27?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_001.png
R21R1AST0006,R21R1_BLIND_FRAME_028,R21R1_BLIND_FAMILY_006,R21R1F00006,28,false,true,false,false,false,R21R1F00006?SAR 28?assisted ???overlay ????/?????overlay ??????????????????? R2.1-R1 ??????????,raw ?????assisted ??????????????????????????,overlay ????????????????????????????????????????? family?,0.58,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_001.png
R21R1AST0007,R21R1_BLIND_FRAME_028,R21R1_BLIND_FAMILY_007,R21R1F00007,28,true,not_applicable,true,true,false,R21R1F00007?SAR 28?assisted ???overlay ???????????overlay ??????????????????? R2.1-R1 ??????????,raw ?????????assisted ????????????????? GT?,overlay ????????????????????????????????????????? family?,0.66,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_001.png
R21R1AST0008,R21R1_BLIND_FRAME_028,R21R1_BLIND_FAMILY_008,R21R1F00008,28,true,not_applicable,true,false,true,R21R1F00008?SAR 28?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_001.png
R21R1AST0009,R21R1_BLIND_FRAME_028,R21R1_BLIND_FAMILY_009,R21R1F00009,28,true,not_applicable,true,false,true,R21R1F00009?SAR 28?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_002.png
R21R1AST0010,R21R1_BLIND_FRAME_029,R21R1_BLIND_FAMILY_010,R21R1F00010,29,false,true,false,false,false,R21R1F00010?SAR 29?assisted ???overlay ????/?????overlay ??????????????????? R2.1-R1 ??????????,raw ?????assisted ??????????????????????????,overlay ????????????????????????????????????????? family?,0.58,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_002.png
R21R1AST0011,R21R1_BLIND_FRAME_029,R21R1_BLIND_FAMILY_011,R21R1F00011,29,true,not_applicable,true,true,false,R21R1F00011?SAR 29?assisted ???overlay ???????????overlay ??????????????????? R2.1-R1 ??????????,raw ?????????assisted ????????????????? GT?,overlay ????????????????????????????????????????? family?,0.66,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_002.png
R21R1AST0012,R21R1_BLIND_FRAME_029,R21R1_BLIND_FAMILY_012,R21R1F00012,29,true,not_applicable,true,false,true,R21R1F00012?SAR 29?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_002.png
R21R1AST0013,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_013,R21R1F00013,30,false,true,false,false,false,R21R1F00013?SAR 30?assisted ???overlay ????/?????overlay ??????????????????? R2.1-R1 ??????????,raw ?????assisted ??????????????????????????,overlay ????????????????????????????????????????? family?,0.58,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_002.png
