fragment_id,scene_id,frame_start,frame_end,detector_source,source_candidate_node_ids,vehicle_description,body_coverage_summary,identity_safety_status,accepted_status,review_required,split_reason,not_final_box_flag,not_SAR_ready_flag,note
GM_RM011_WG11F001,GM_RM011,0,4,yolo26l,GM_RM011_Y26N001;GM_RM011_WGF001,nearfield white SUV lower-body observation,large_lower_vehicle_body_proxy=5/5;multi_box_competition=yes,identity_safe_local_observation,accepted,no,none,yes,yes,V1.1 keeps as low-risk diagnostic fragment only;not final identity;not SAR-ready
GM_RM011_WG11F002,GM_RM011,8,10,yolo26l,GM_RM011_Y26N002;GM_RM011_WGF002,nearfield white SUV body-visible transition fragment,large_lower_vehicle_body_proxy=3/3;multi_box_competition=yes,identity_safe_local_candidate,weak,yes,part_state_transition_after_gap_5_7,yes,yes,status tightened from review_required to weak diagnostic fragment;same-vehicle edge still needs review
GM_RM011_WG11F003,GM_RM011,13,16,yolo26l,GM_RM011_Y26N003;GM_RM011_WGF003,white vehicle front or windshield local fragment,large_lower_vehicle_body_proxy=4/4;multi_box_competition=yes,identity_safe_local_observation,accepted,no,none,yes,yes,short local fragment can be used in diagnostic working graph only
GM_RM011_WG11F004,GM_RM011,18,25,yolo26l,GM_RM011_Y26N004;GM_RM011_WGF004,white vehicle local continuation before large jump zone,large_lower_vehicle_body_proxy=8/8;split_from_Y26N004,identity_safe_local_observation,accepted,no,split_before_26_30_center_jump_zone,yes,yes,V1.1 formally rejects old Y26N004 unsplit and accepts only 18-25 local fragment
GM_RM011_WG11F005,GM_RM011,26,30,yolo26l,GM_RM011_Y26N004;GM_RM011_WGF005,ambiguous switching zone inside old Y26N004,large_jump_zone=26_30;max_center_jump_over_497px,identity_switch_zone,blocked,yes,center_jumps_26_27_27_28_29_30,yes,yes,blocked diagnostic item;no same-vehicle edge allowed through this zone
GM_RM011_WG11F006,GM_RM011,31,35,yolo26l,GM_RM011_Y26N004;GM_RM011_WGF006,post-switch nearfield white vehicle fragment candidate,large_lower_vehicle_body_proxy=5/5;split_from_Y26N004,identity_safe_local_candidate,review_required,yes,possible_independent_vehicle_or_pose_change_after_jump,yes,yes,kept review_required;do not connect back across 26-30 without human confirmation
GM_RM011_WG11F007,GM_RM011,135,137,yolo26l,GM_RM011_Y26N005;GM_RM011_WGF007,left or near-side white vehicle fragment before occlusion switch,large_lower_vehicle_body_proxy=3/3;multi_box_competition=yes,identity_safe_local_candidate,review_required,yes,split_before_137_138_center_jump,yes,yes,local fragment before clear subject switch;no outgoing same-vehicle edge
GM_RM011_WG11F008,GM_RM011,138,150,yolo26l,GM_RM011_Y26N005;GM_RM011_WGF008,occlusion or competing-subject middle fragment,large_lower_vehicle_body_proxy=13/13;multi_box_competition=yes,occlusion_switch_risk,blocked,yes,137_138_center_jump_and_white_black_subject_switch_risk,yes,yes,blocked as same-vehicle identity;kept only as occlusion context evidence
GM_RM011_WG11F009,GM_RM011,151,161,yolo26l,GM_RM011_Y26N005;GM_RM011_WGF009,right-edge white vehicle reappearance or thin subject fragment,large_lower_vehicle_body_proxy=6/11;multi_box_competition=yes,identity_safe_local_candidate,review_required,yes,split_after_150_151_area_ratio_jump,yes,yes,review_required after occlusion switch;no automatic reconnect
GM_RM011_WG11F010,GM_RM011,164,166,yolo26l,GM_RM011_Y26N006;GM_RM011_WGF010,thin right-edge crop fragment,large_lower_vehicle_body_proxy=0/3;thin_crop=yes,thin_crop_review,review_required,yes,thin_edge_crop_not_identity_safe,yes,yes,kept for diagnostic review only;not same-vehicle evidence by itself
GM_RM011_WG11F011,GM_RM011,231,233,yolo26l,GM_RM011_Y26N007;GM_RM011_WGF011,early white body fragment in multi-vehicle encounter,large_lower_vehicle_body_proxy=3/3;multi_box_competition=yes,identity_safe_local_candidate,review_required,yes,multi_vehicle_encounter_start,yes,yes,V1.1 removes weak same-vehicle edge from this fragment to 236-239;context only unless human confirms
