control_point_id,sar_frame,gt_instance_id,bbox,bbox_center,bbox_scale,manually_supported_vehicle_response_ids,manually_rejected_background_ids,optical_state,provenance,confidence
CP_GM017_0010_0001,315,99,"718.884,905.423,862.866,975.635","790.875,940.529",143.982x70.212,COMP_CAL_000315_002;COMP_CAL_000315_004;COMP_CAL_000315_006;COMP_CAL_000315_007;COMP_CAL_000315_008;COMP_CAL_000315_010;COMP_CAL_000315_018;COMP_CAL_000315_019;COMP_CAL_000315_027;COMP_CAL_000315_034;COMP_CAL_000315_040;COMP_CAL_000315_045;COMP_CAL_000315_051,COMP_CAL_000315_001;COMP_CAL_000315_003;COMP_CAL_000315_005;COMP_CAL_000315_009;COMP_CAL_000315_011;COMP_CAL_000315_012;COMP_CAL_000315_013;COMP_CAL_000315_014;COMP_CAL_000315_017;COMP_CAL_000315_020;COMP_CAL_000315_021;COMP_CAL_000315_022;COMP_CAL_000315_023;COMP_CAL_000315_024;COMP_CAL_000315_025;COMP_CAL_000315_026;COMP_CAL_000315_028;COMP_CAL_000315_029;COMP_CAL_000315_030;COMP_CAL_000315_031;COMP_CAL_000315_032;COMP_CAL_000315_033;COMP_CAL_000315_035;COMP_CAL_000315_036;COMP_CAL_000315_038;COMP_CAL_000315_039;COMP_CAL_000315_041;COMP_CAL_000315_042;COMP_CAL_000315_043;COMP_CAL_000315_044;COMP_CAL_000315_046;COMP_CAL_000315_047;COMP_CAL_000315_048;COMP_CAL_000315_049;COMP_CAL_000315_050;COMP_CAL_000315_052;COMP_CAL_000315_053;COMP_CAL_000315_054;COMP_CAL_000315_055;COMP_CAL_000315_056;COMP_CAL_000315_057;COMP_CAL_000315_058;COMP_CAL_000315_059;COMP_CAL_000315_060,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0002,317,102,"714.559,906.892,878.406,975.536","796.4825,941.214",163.847x68.644,COMP_CAL_000317_001;COMP_CAL_000317_005;COMP_CAL_000317_006;COMP_CAL_000317_008;COMP_CAL_000317_009;COMP_CAL_000317_012;COMP_CAL_000317_016;COMP_CAL_000317_017;COMP_CAL_000317_018;COMP_CAL_000317_035;COMP_CAL_000317_042;COMP_CAL_000317_047,COMP_CAL_000317_002;COMP_CAL_000317_003;COMP_CAL_000317_004;COMP_CAL_000317_007;COMP_CAL_000317_010;COMP_CAL_000317_011;COMP_CAL_000317_013;COMP_CAL_000317_014;COMP_CAL_000317_015;COMP_CAL_000317_019;COMP_CAL_000317_020;COMP_CAL_000317_021;COMP_CAL_000317_022;COMP_CAL_000317_023;COMP_CAL_000317_024;COMP_CAL_000317_025;COMP_CAL_000317_026;COMP_CAL_000317_027;COMP_CAL_000317_028;COMP_CAL_000317_030;COMP_CAL_000317_031;COMP_CAL_000317_032;COMP_CAL_000317_033;COMP_CAL_000317_034;COMP_CAL_000317_036;COMP_CAL_000317_037;COMP_CAL_000317_038;COMP_CAL_000317_039;COMP_CAL_000317_040;COMP_CAL_000317_041;COMP_CAL_000317_043;COMP_CAL_000317_044;COMP_CAL_000317_045;COMP_CAL_000317_046;COMP_CAL_000317_048;COMP_CAL_000317_049,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0003,319,103,"738.3,902.987,889.3,975.809","813.8,939.398",151x72.822,COMP_CAL_000319_001;COMP_CAL_000319_005;COMP_CAL_000319_006;COMP_CAL_000319_011;COMP_CAL_000319_015;COMP_CAL_000319_020;COMP_CAL_000319_021;COMP_CAL_000319_038;COMP_CAL_000319_044;COMP_CAL_000319_052;COMP_CAL_000319_058,COMP_CAL_000319_002;COMP_CAL_000319_003;COMP_CAL_000319_004;COMP_CAL_000319_007;COMP_CAL_000319_008;COMP_CAL_000319_009;COMP_CAL_000319_010;COMP_CAL_000319_012;COMP_CAL_000319_013;COMP_CAL_000319_014;COMP_CAL_000319_016;COMP_CAL_000319_017;COMP_CAL_000319_018;COMP_CAL_000319_019;COMP_CAL_000319_022;COMP_CAL_000319_023;COMP_CAL_000319_024;COMP_CAL_000319_025;COMP_CAL_000319_026;COMP_CAL_000319_027;COMP_CAL_000319_028;COMP_CAL_000319_029;COMP_CAL_000319_030;COMP_CAL_000319_031;COMP_CAL_000319_032;COMP_CAL_000319_033;COMP_CAL_000319_034;COMP_CAL_000319_035;COMP_CAL_000319_037;COMP_CAL_000319_039;COMP_CAL_000319_040;COMP_CAL_000319_041;COMP_CAL_000319_042;COMP_CAL_000319_043;COMP_CAL_000319_045;COMP_CAL_000319_046;COMP_CAL_000319_047;COMP_CAL_000319_048;COMP_CAL_000319_049;COMP_CAL_000319_050;COMP_CAL_000319_051;COMP_CAL_000319_053;COMP_CAL_000319_054;COMP_CAL_000319_055;COMP_CAL_000319_057,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0004,321,106,"752.836,911.12,901.133,977.016","826.9845,944.068",148.297x65.896,COMP_CAL_000321_001;COMP_CAL_000321_004;COMP_CAL_000321_005;COMP_CAL_000321_006;COMP_CAL_000321_008;COMP_CAL_000321_009;COMP_CAL_000321_013;COMP_CAL_000321_015;COMP_CAL_000321_024;COMP_CAL_000321_034;COMP_CAL_000321_040;COMP_CAL_000321_041;COMP_CAL_000321_043,COMP_CAL_000321_002;COMP_CAL_000321_003;COMP_CAL_000321_007;COMP_CAL_000321_010;COMP_CAL_000321_011;COMP_CAL_000321_012;COMP_CAL_000321_014;COMP_CAL_000321_016;COMP_CAL_000321_017;COMP_CAL_000321_018;COMP_CAL_000321_019;COMP_CAL_000321_020;COMP_CAL_000321_021;COMP_CAL_000321_022;COMP_CAL_000321_023;COMP_CAL_000321_025;COMP_CAL_000321_026;COMP_CAL_000321_027;COMP_CAL_000321_028;COMP_CAL_000321_029;COMP_CAL_000321_030;COMP_CAL_000321_031;COMP_CAL_000321_032;COMP_CAL_000321_033;COMP_CAL_000321_035;COMP_CAL_000321_036;COMP_CAL_000321_037;COMP_CAL_000321_038;COMP_CAL_000321_039;COMP_CAL_000321_042,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0005,323,108,"753.929,909.897,917.659,977.6","835.794,943.7485",163.73x67.703,COMP_CAL_000323_001;COMP_CAL_000323_005;COMP_CAL_000323_006;COMP_CAL_000323_008;COMP_CAL_000323_011;COMP_CAL_000323_012;COMP_CAL_000323_017;COMP_CAL_000323_027;COMP_CAL_000323_034;COMP_CAL_000323_037;COMP_CAL_000323_043;COMP_CAL_000323_047,COMP_CAL_000323_002;COMP_CAL_000323_003;COMP_CAL_000323_004;COMP_CAL_000323_007;COMP_CAL_000323_009;COMP_CAL_000323_010;COMP_CAL_000323_013;COMP_CAL_000323_014;COMP_CAL_000323_015;COMP_CAL_000323_016;COMP_CAL_000323_018;COMP_CAL_000323_019;COMP_CAL_000323_020;COMP_CAL_000323_021;COMP_CAL_000323_022;COMP_CAL_000323_023;COMP_CAL_000323_024;COMP_CAL_000323_025;COMP_CAL_000323_026;COMP_CAL_000323_028;COMP_CAL_000323_030;COMP_CAL_000323_031;COMP_CAL_000323_032;COMP_CAL_000323_033;COMP_CAL_000323_035;COMP_CAL_000323_036;COMP_CAL_000323_038;COMP_CAL_000323_039;COMP_CAL_000323_040;COMP_CAL_000323_041;COMP_CAL_000323_042;COMP_CAL_000323_044;COMP_CAL_000323_045;COMP_CAL_000323_046;COMP_CAL_000323_048;COMP_CAL_000323_049;COMP_CAL_000323_050;COMP_CAL_000323_051;COMP_CAL_000323_052;COMP_CAL_000323_054;COMP_CAL_000323_055;COMP_CAL_000323_056,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0006,325,110,"767.088,899.899,939.101,978.839","853.0945,939.369",172.013x78.94,COMP_CAL_000325_001;COMP_CAL_000325_009;COMP_CAL_000325_010;COMP_CAL_000325_012;COMP_CAL_000325_014;COMP_CAL_000325_018;COMP_CAL_000325_045;COMP_CAL_000325_046,COMP_CAL_000325_002;COMP_CAL_000325_003;COMP_CAL_000325_004;COMP_CAL_000325_005;COMP_CAL_000325_006;COMP_CAL_000325_007;COMP_CAL_000325_008;COMP_CAL_000325_011;COMP_CAL_000325_013;COMP_CAL_000325_015;COMP_CAL_000325_016;COMP_CAL_000325_017;COMP_CAL_000325_019;COMP_CAL_000325_020;COMP_CAL_000325_021;COMP_CAL_000325_022;COMP_CAL_000325_023;COMP_CAL_000325_024;COMP_CAL_000325_026;COMP_CAL_000325_027;COMP_CAL_000325_028;COMP_CAL_000325_029;COMP_CAL_000325_030;COMP_CAL_000325_031;COMP_CAL_000325_032;COMP_CAL_000325_033;COMP_CAL_000325_034;COMP_CAL_000325_035;COMP_CAL_000325_036;COMP_CAL_000325_038;COMP_CAL_000325_039;COMP_CAL_000325_040;COMP_CAL_000325_041;COMP_CAL_000325_042;COMP_CAL_000325_043;COMP_CAL_000325_044;COMP_CAL_000325_047;COMP_CAL_000325_048;COMP_CAL_000325_049;COMP_CAL_000325_050;COMP_CAL_000325_051;COMP_CAL_000325_052;COMP_CAL_000325_053,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0007,327,112,"776.63,908.967,943.549,980.322","860.0895,944.6445",166.919x71.355,COMP_CAL_000327_001;COMP_CAL_000327_009;COMP_CAL_000327_011;COMP_CAL_000327_013;COMP_CAL_000327_017;COMP_CAL_000327_024;COMP_CAL_000327_026;COMP_CAL_000327_032;COMP_CAL_000327_033;COMP_CAL_000327_037;COMP_CAL_000327_040;COMP_CAL_000327_044,COMP_CAL_000327_002;COMP_CAL_000327_003;COMP_CAL_000327_004;COMP_CAL_000327_005;COMP_CAL_000327_006;COMP_CAL_000327_007;COMP_CAL_000327_008;COMP_CAL_000327_010;COMP_CAL_000327_012;COMP_CAL_000327_014;COMP_CAL_000327_015;COMP_CAL_000327_016;COMP_CAL_000327_018;COMP_CAL_000327_019;COMP_CAL_000327_020;COMP_CAL_000327_021;COMP_CAL_000327_022;COMP_CAL_000327_023;COMP_CAL_000327_027;COMP_CAL_000327_029;COMP_CAL_000327_031;COMP_CAL_000327_034;COMP_CAL_000327_035;COMP_CAL_000327_036;COMP_CAL_000327_038;COMP_CAL_000327_039;COMP_CAL_000327_041;COMP_CAL_000327_042;COMP_CAL_000327_043;COMP_CAL_000327_045;COMP_CAL_000327_046,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0008,331,117,"808.546,903.106,971.5,979.258","890.023,941.182",162.954x76.152,COMP_CAL_000331_001;COMP_CAL_000331_006;COMP_CAL_000331_008;COMP_CAL_000331_010;COMP_CAL_000331_012;COMP_CAL_000331_013;COMP_CAL_000331_027;COMP_CAL_000331_031;COMP_CAL_000331_033;COMP_CAL_000331_044,COMP_CAL_000331_002;COMP_CAL_000331_003;COMP_CAL_000331_004;COMP_CAL_000331_005;COMP_CAL_000331_007;COMP_CAL_000331_009;COMP_CAL_000331_011;COMP_CAL_000331_014;COMP_CAL_000331_015;COMP_CAL_000331_016;COMP_CAL_000331_017;COMP_CAL_000331_018;COMP_CAL_000331_019;COMP_CAL_000331_020;COMP_CAL_000331_021;COMP_CAL_000331_022;COMP_CAL_000331_023;COMP_CAL_000331_024;COMP_CAL_000331_025;COMP_CAL_000331_026;COMP_CAL_000331_028;COMP_CAL_000331_029;COMP_CAL_000331_030;COMP_CAL_000331_032;COMP_CAL_000331_034;COMP_CAL_000331_035;COMP_CAL_000331_036;COMP_CAL_000331_037;COMP_CAL_000331_038;COMP_CAL_000331_040;COMP_CAL_000331_041;COMP_CAL_000331_042;COMP_CAL_000331_043;COMP_CAL_000331_045;COMP_CAL_000331_046,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0009,332,119,"820.8,910.651,977.052,978.064","898.926,944.3575",156.252x67.413,COMP_CAL_000332_001;COMP_CAL_000332_005;COMP_CAL_000332_007;COMP_CAL_000332_008;COMP_CAL_000332_009;COMP_CAL_000332_016;COMP_CAL_000332_020;COMP_CAL_000332_023,COMP_CAL_000332_002;COMP_CAL_000332_003;COMP_CAL_000332_004;COMP_CAL_000332_006;COMP_CAL_000332_010;COMP_CAL_000332_011;COMP_CAL_000332_012;COMP_CAL_000332_013;COMP_CAL_000332_014;COMP_CAL_000332_015;COMP_CAL_000332_017;COMP_CAL_000332_018;COMP_CAL_000332_019;COMP_CAL_000332_021;COMP_CAL_000332_022;COMP_CAL_000332_024;COMP_CAL_000332_025;COMP_CAL_000332_026;COMP_CAL_000332_027;COMP_CAL_000332_028;COMP_CAL_000332_029;COMP_CAL_000332_030;COMP_CAL_000332_031;COMP_CAL_000332_032;COMP_CAL_000332_033;COMP_CAL_000332_034;COMP_CAL_000332_035;COMP_CAL_000332_036;COMP_CAL_000332_037;COMP_CAL_000332_038;COMP_CAL_000332_039;COMP_CAL_000332_040;COMP_CAL_000332_041;COMP_CAL_000332_042;COMP_CAL_000332_043,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0010,333,121,"816.812,901,989.81,978.878","903.311,939.939",172.998x77.878,COMP_CAL_000333_001;COMP_CAL_000333_004;COMP_CAL_000333_005;COMP_CAL_000333_010;COMP_CAL_000333_022;COMP_CAL_000333_047,COMP_CAL_000333_002;COMP_CAL_000333_003;COMP_CAL_000333_006;COMP_CAL_000333_007;COMP_CAL_000333_008;COMP_CAL_000333_009;COMP_CAL_000333_011;COMP_CAL_000333_012;COMP_CAL_000333_013;COMP_CAL_000333_014;COMP_CAL_000333_015;COMP_CAL_000333_016;COMP_CAL_000333_017;COMP_CAL_000333_018;COMP_CAL_000333_019;COMP_CAL_000333_020;COMP_CAL_000333_021;COMP_CAL_000333_023;COMP_CAL_000333_024;COMP_CAL_000333_025;COMP_CAL_000333_026;COMP_CAL_000333_027;COMP_CAL_000333_028;COMP_CAL_000333_029;COMP_CAL_000333_030;COMP_CAL_000333_032;COMP_CAL_000333_033;COMP_CAL_000333_034;COMP_CAL_000333_035;COMP_CAL_000333_036;COMP_CAL_000333_037;COMP_CAL_000333_038;COMP_CAL_000333_039;COMP_CAL_000333_040;COMP_CAL_000333_041;COMP_CAL_000333_042;COMP_CAL_000333_043;COMP_CAL_000333_044;COMP_CAL_000333_045;COMP_CAL_000333_046;COMP_CAL_000333_048;COMP_CAL_000333_049,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
