scene,tracker_name,input_variant,tracker_real_run,dependency_status,adapter_status,input_detection_rows,suppressed_rows_excluded,tracked_rows,unmatched_rows,unmatched_rate,duplicate_overlap_unmatched_detections,track_count,stable_hypothesis_count,fragmented_hypothesis_count,ambiguous_hypothesis_count,short_hypothesis_count,duplicate_overlap_hypothesis_count,duplicate_track_overlap_count,possible_id_switch_count,lost_event_count,reactivated_event_count,ambiguous_association_count,mean_track_length,median_track_length,longest_track_span,max_track_detection_count,largest_blocker,output_dir
GM_RM011,bytetrack,raw,true,available,detection_table_replay_adapter,422,0,331,91,0.21564,14,28,11,5,5,2,5,4,5,39,11,5,11.821,5.5,45,40,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM011_yolo11l_baseline_bytetrack_raw
GM_RM011,bytetrack,normalized_active,true,available,detection_table_replay_adapter,413,9,327,86,0.208232,8,25,10,8,5,2,0,0,4,38,13,1,13.08,8,45,40,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM011_yolo11l_baseline_bytetrack_normalized_active
GM_RM011,botsort,raw,true,available,detection_table_replay_adapter,422,0,347,75,0.177725,14,20,7,8,0,3,2,4,1,33,13,6,17.35,18.5,47,40,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM011_yolo11l_baseline_botsort_raw
GM_RM011,botsort,normalized_active,true,available,detection_table_replay_adapter,413,9,344,69,0.16707,9,17,8,9,0,0,0,0,0,29,12,2,20.235,22,47,40,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM011_yolo11l_baseline_botsort_normalized_active
GM_RM019,bytetrack,raw,true,available,detection_table_replay_adapter,334,0,207,127,0.38024,34,21,3,1,0,9,8,8,6,29,8,16,9.857,3,43,39,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM019_yolo11l_baseline_bytetrack_raw
GM_RM019,bytetrack,normalized_active,true,available,detection_table_replay_adapter,330,4,206,124,0.375758,32,21,3,1,0,10,7,7,6,29,8,15,9.81,3,43,39,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM019_yolo11l_baseline_bytetrack_normalized_active
GM_RM019,botsort,raw,true,available,detection_table_replay_adapter,334,0,222,112,0.335329,41,19,3,2,0,6,8,8,4,28,9,16,11.684,6,44,41,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM019_yolo11l_baseline_botsort_raw
GM_RM019,botsort,normalized_active,true,available,detection_table_replay_adapter,330,4,221,109,0.330303,39,19,3,2,0,7,7,7,4,28,9,15,11.632,6,44,41,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM019_yolo11l_baseline_botsort_normalized_active
GM_RM017,bytetrack,raw,true,available,detection_table_replay_adapter,215,0,196,19,0.088372,6,6,4,0,2,0,0,0,1,8,2,9,32.667,42.5,49,49,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM017_yolo11l_baseline_bytetrack_raw
GM_RM017,bytetrack,normalized_active,true,available,detection_table_replay_adapter,215,0,196,19,0.088372,6,6,4,0,2,0,0,0,1,8,2,9,32.667,42.5,49,49,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM017_yolo11l_baseline_bytetrack_normalized_active
GM_RM017,botsort,raw,true,available,detection_table_replay_adapter,215,0,200,15,0.069767,6,5,5,0,0,0,0,0,0,5,0,9,40,47,53,53,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM017_yolo11l_baseline_botsort_raw
GM_RM017,botsort,normalized_active,true,available,detection_table_replay_adapter,215,0,200,15,0.069767,6,5,5,0,0,0,0,0,0,5,0,9,40,47,53,53,none_tracker_ids_remain_hypotheses_only,outputs\oty1t_standard_mot_backbone_closure_20260705_110947\GM_RM017_yolo11l_baseline_botsort_normalized_active
