"factor_type","count_total","count_supports","count_weak_support","count_ambiguous","count_blocked","main_role_cn","typical_windows","failure_mode_prevented_cn","notes"
"boundary_preservation_factor","2","2","0","0","0","把已知不同车辆边界作为正向约束传播。","GM_RM011_M005;GM_RM011_M016","防止颜色相似或后验弱支持跨边合并。","Both boundary factors support preservation."
"competitor_risk_factor","7","0","0","4","3","显式记录同色车、多目标、背景或桥接竞争风险。","GM_RM011_WGV14T005;GM_RM011_M016;GM_RM017_WGV14T001-WGV14T003;GM_RM017_WGV14V004","防止弱线程或长窗因重叠被升级。","Ambiguous or blocked by design."
"contradiction_or_blocking_factor","3","0","0","0","3","把边界冲突和identity risk作为一等图结果。","GM_RM011_M005;GM_RM011_M016;GM_RM017_WGV14V004","防止把冲突隐藏在弱支持中。","All contradiction/blocking factors block."
"evidence_permission_factor","9","0","0","0","9","为每个window或edge传播allowed和forbidden use。","all nine WGV2.1 windows","防止posthoc证据进入SAR消费、身份声明或标注生成。","Hard permission gate on every row."
"geometry_feasibility_factor","9","0","0","3","3","表达可行域和映射缺口，而不是选择位置。","GM_RM011_WGV14T001-WGV14T005;GM_RM017_WGV14T001-WGV14V004","防止把feasible domain误当作定位或候选选择。","Three additional rows are insufficient_evidence."
"mechanism_explanation_factor","6","1","4","1","0","连接光学状态和SAR形态词汇，生成保守机制解释。","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM011_WGV14T005;GM_RM017_WGV14T001-WGV14T003","防止机制支持被误读为标注许可。","Supports or weakly supports posthoc explanation only."
"optical_continuity_factor","7","2","4","0","1","传播光学内连续性强弱和blocked状态。","GM_RM011_WGV14T001;GM_RM011_WGV14T004;GM_RM017_WGV14V004","防止把context_only或blocked桥接当作同车连续。","Accepted optical continuity remains optical only."
"optical_state_factor","7","3","3","0","1","记录截断、主框修复、dropout和桥接风险等状态。","GM_RM011_WGV14T001;GM_RM011_WGV14T005;GM_RM017_WGV14T003;GM_RM017_WGV14V004","防止状态解释被升级为身份确认。","One blocked state belongs to V004."
"sar_morphology_factor","9","1","3","4","0","提供SAR形态机制词汇并保留质量和背景风险。","GM_RM011_WGV14T001;GM_RM011_M016;GM_RM017_WGV14T001-WGV14V004","防止vehicle-like scatter单独变成SAR确认。","One additional row is insufficient_evidence."
"sar_temporal_drift_factor","5","0","0","3","1","记录SAR侧时间漂移证据的模糊、阻断或缺失。","GM_RM011_WGV14T001;GM_RM017_WGV14T001-WGV14V004","防止光学时间稳定替代SAR内部连续证据。","One additional row is insufficient_evidence."
