atom_id,sar_frame,source_type,selected_source_frame,support_pixel_count,support_bbox,pixel_centroid_x,pixel_centroid_y,integrated_energy,mean_energy,peak_energy,relative_energy_within_shell,azimuth_deg,radial_px,axis1_px,axis2_px,orientation_deg,shell_boundary_contact,extraction_threshold,generation_provenance
R21A00001,27,historical_source_shell,27,1320,"1036,1131,1186,1203",1122.665152,1163.459848,110034,83.359091,132,0.073324,-10.695696,173.073135,132.450212,65.342252,-14.249884,true,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00002,27,historical_source_shell,27,182,"1096,1209,1144,1233",1125.82967,1221.192308,16477,90.532967,140,0.01098,-14.32885,113.285553,36.211269,12.29618,6.647621,false,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00003,27,historical_source_shell,27,86,"1084,1131,1108,1149",1093.255814,1137.430233,7331,85.244186,128,0.004885,-17.456318,202.533005,15.695248,10.163538,-17.181813,true,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00004,27,historical_source_shell,27,17,"1006,1131,1018,1137",1011.882353,1133.411765,1370,80.588235,88,0.000913,-35.780136,243.078476,10.657314,2.510781,-26.80383,true,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00005,27,historical_source_shell,27,15,"1030,1221,1042,1233",1036.733333,1223.933333,1211,80.733333,93,0.000807,-47.711479,158.546921,11.667449,4.106229,-52.781648,false,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00006,28,historical_source_shell,27,1240,"1036,1131,1192,1203",1122.905645,1162.921774,103020,83.080645,138,0.068654,-10.542934,173.499954,130.867627,67.238747,-12.507104,true,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00007,28,historical_source_shell,27,231,"1096,1203,1150,1233",1128.52381,1222.025974,21356,92.450216,158,0.014232,-13.104463,111.844467,36.370698,15.589997,6.647953,false,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00008,28,historical_source_shell,27,118,"1084,1131,1114,1149",1096.805085,1137.838983,10099,85.584746,123,0.00673,-16.527601,201.139801,21.736859,10.055348,-18.329245,true,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00009,28,historical_source_shell,27,19,"1006,1131,1024,1143",1015.105263,1134.105263,1571,82.684211,91,0.001047,-35.255325,240.643845,11.282722,3.035589,-37.585469,true,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00010,29,historical_source_shell,27,1156,"1042,1131,1192,1197",1123.829585,1164.555363,104713,90.58218,145,0.063094,-10.387217,171.64679,128.431529,67.12426,-14.435025,true,81,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00011,29,historical_source_shell,27,309,"1096,1203,1156,1245",1131.718447,1222.634304,32127,103.970874,193,0.019358,-11.550279,110.661636,40.744613,19.405186,5.852113,false,81,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00012,29,historical_source_shell,27,103,"1090,1131,1114,1149",1099.262136,1137.912621,9802,95.165049,130,0.005906,-15.859108,200.377563,20.721061,9.022418,-16.610156,true,81,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00013,30,historical_source_shell,27,1023,"1042,1131,1193,1197",1126.229717,1165.714565,102661,100.352884,156,0.055949,-9.731282,170.284363,132.8053,64.856364,-16.561947,true,90,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00014,30,historical_source_shell,27,390,"1096,1203,1162,1245",1134.494872,1223.371795,45776,117.374359,208,0.024947,-10.228896,109.460213,41.875411,21.489419,1.434999,false,90,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00015,30,historical_source_shell,27,75,"1090,1131,1120,1149",1098.746667,1139.493333,7697,102.626667,135,0.004195,-16.125816,198.9767,16.661798,10.613216,-15.687587,true,90,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00016,30,historical_source_shell,27,26,"1066,1221,1084,1239",1071.423077,1228.384615,2537,97.576923,116,0.001383,-38.933819,131.431412,17.336603,10.994644,50.524886,false,90,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00017,30,historical_source_shell,27,23,"1042,1221,1054,1239",1045,1229.565217,2257,98.130435,110,0.00123,-47.173248,148.645172,10.383823,4.623613,-53.223155,false,90,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00018,31,historical_source_shell,31,1426,"1042,1135,1193,1249",1125.902525,1188.638149,123698,86.744741,186,0.086773,-11.52614,147.967896,137.03242,110.904083,-49.032106,true,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00019,31,historical_source_shell,31,65,"1090,1135,1114,1147",1100.738462,1140.892308,5596,86.092308,126,0.003926,-15.676775,197.070374,14.891632,9.588498,19.60959,true,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00020,31,historical_source_shell,31,42,"1042,1225,1060,1243",1048.738095,1231.809524,3560,84.761905,114,0.002497,-46.820965,144.401779,14.34609,5.900189,-56.014884,false,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00021,31,historical_source_shell,31,34,"1066,1219,1084,1237",1075.911765,1227.882353,2790,82.058824,104,0.001957,-37.248837,129.063751,15.559871,11.711971,67.453203,false,74,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00022,32,historical_source_shell,31,1120,"1102,1135,1192,1249",1137.466071,1196.117857,95838,85.569643,204,0.071471,-7.692379,136.606949,130.69766,65.272129,-79.117201,true,71,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00023,32,historical_source_shell,31,74,"1072,1159,1096,1189",1084.527027,1178.297297,5640,76.216216,93,0.004206,-24.547531,167.488281,29.300446,18.449044,-82.95912,false,71,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
