pair_id,physical_vehicle_id,method,primary_failure,no_full_anchor_in_paired_rows,no_full_anchor_in_full_optical_stream,anchorless_completion_failure,identity_unresolved,insufficient_temporal_extent,one_sided_observation_only,local_center_bias,depth_background_contamination,relative_depth_scale_shift,scene_azimuth_residual,scene_radial_residual,near_field_parallax,SAR_pairing_suspect,notes
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,Z2_A0_best_recovered_state,scene_radial_residual,true,true,false,true,false,true,true,true,true,true,true,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,Z2_A0_best_recovered_state,scene_radial_residual,true,true,false,true,false,true,true,true,true,true,true,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,Z2_A0_best_recovered_state,scene_radial_residual,true,true,false,true,false,true,true,true,true,true,true,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,Z2_A0_best_recovered_state,identity_unresolved,true,true,true,true,true,true,true,true,true,false,false,true,true,missing_state
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_azimuth_residual,true,false,false,false,false,false,true,true,true,true,false,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_radial_residual,true,false,false,false,false,false,true,true,true,true,true,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_azimuth_residual,true,false,false,false,false,false,true,true,true,true,false,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_azimuth_residual,true,false,false,false,false,false,true,true,true,true,false,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_radial_residual,true,false,false,false,false,false,true,true,true,true,true,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_radial_residual,true,false,false,false,false,false,true,true,true,false,true,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_radial_residual,true,false,false,false,false,false,true,true,true,true,true,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_radial_residual,true,false,false,false,false,false,true,true,true,true,true,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_azimuth_residual,true,false,false,false,false,false,true,true,true,true,false,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,Z2_A0_best_recovered_state,scene_azimuth_residual,true,false,false,false,false,false,true,true,true,true,false,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,Z2_A0_best_recovered_state,scene_radial_residual,true,false,false,false,false,false,true,true,true,true,true,true,false,failure source split after full-stream recovery
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,Z2_A0_best_recovered_state,scene_radial_residual,true,false,false,false,false,false,true,true,true,true,true,true,false,failure source split after full-stream recovery
