event_id,event_type,from_frame,to_frame,from_component_frame_id,to_component_frame_id,motion_compensated_distance_m,body_relative_displacement_m,energy_fraction_change,association_basis,association_scope
315_317_COMPONENT_CONTINUED_58_1,COMPONENT_CONTINUED,315,317,SAR000315_C01,SAR000317_C01,0.035398,0.035398,0.085296,nearest_body_relative_component_with_energy_fraction_check,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_2,COMPONENT_SPLIT,315,317,SAR000315_C02,SAR000317_C02,0.22458,0.22458,-0.004954,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_2,COMPONENT_SPLIT,315,317,SAR000315_C02,SAR000317_C08,0.434392,0.434392,-0.021985,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_3,COMPONENT_SPLIT,315,317,SAR000315_C03,SAR000317_C08,0.203501,0.203501,-0.014518,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_3,COMPONENT_SPLIT,315,317,SAR000315_C03,SAR000317_C02,0.261668,0.261668,0.002513,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_3,COMPONENT_SPLIT,315,317,SAR000315_C03,SAR000317_C05,0.532383,0.532383,-0.005069,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_4,COMPONENT_SPLIT,315,317,SAR000315_C04,SAR000317_C03,0.130604,0.130604,0.002069,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_4,COMPONENT_SPLIT,315,317,SAR000315_C04,SAR000317_C07,0.186372,0.186372,-0.008115,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_4,COMPONENT_SPLIT,315,317,SAR000315_C04,SAR000317_C06,0.594472,0.594472,-0.008826,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_5,COMPONENT_SPLIT,315,317,SAR000315_C05,SAR000317_C09,0.07057,0.07057,-0.009433,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_5,COMPONENT_SPLIT,315,317,SAR000315_C05,SAR000317_C06,0.292302,0.292302,-0.00403,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_5,COMPONENT_SPLIT,315,317,SAR000315_C05,SAR000317_C07,0.739399,0.739399,-0.003319,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_6,COMPONENT_SPLIT,315,317,SAR000315_C06,SAR000317_C10,0.118361,0.118361,-0.006944,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_6,COMPONENT_SPLIT,315,317,SAR000315_C06,SAR000317_C05,0.261145,0.261145,0.003928,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_6,COMPONENT_SPLIT,315,317,SAR000315_C06,SAR000317_C03,0.547908,0.547908,0.010132,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_7,COMPONENT_SPLIT,315,317,SAR000315_C07,SAR000317_C04,0.205353,0.205353,0.015028,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_7,COMPONENT_SPLIT,315,317,SAR000315_C07,SAR000317_C01,0.60426,0.60426,0.181072,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_8,COMPONENT_SPLIT,315,317,SAR000315_C08,SAR000317_C04,0.379448,0.379448,0.016869,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_8,COMPONENT_SPLIT,315,317,SAR000315_C08,SAR000317_C01,0.503585,0.503585,0.182913,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_9,COMPONENT_SPLIT,315,317,SAR000315_C09,SAR000317_C07,0.231819,0.231819,0.005393,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_9,COMPONENT_SPLIT,315,317,SAR000315_C09,SAR000317_C06,0.251745,0.251745,0.004682,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_SPLIT_41_9,COMPONENT_SPLIT,315,317,SAR000315_C09,SAR000317_C03,0.474696,0.474696,0.015577,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_1,COMPONENT_MERGE,315,317,SAR000315_C01,SAR000317_C01,0.035398,0.035398,0.085296,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_8,COMPONENT_MERGE,315,317,SAR000315_C08,SAR000317_C01,0.503585,0.503585,0.182913,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_7,COMPONENT_MERGE,315,317,SAR000315_C07,SAR000317_C01,0.60426,0.60426,0.181072,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_2,COMPONENT_MERGE,315,317,SAR000315_C02,SAR000317_C02,0.22458,0.22458,-0.004954,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
