target_dimension,model_id,model_name,training_sample_count,candidate_input_rows,holdout_fold_count,failed_fold_count,baseline_error,candidate_model_error,absolute_improvement,relative_improvement,MAE_m,median_absolute_error_m,p90_absolute_error_m,relative_error,signed_bias_m,run_status,blocked_reason
range_p80_width_m,M0,constant_baseline,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
range_p80_width_m,M1,absolute_position_model,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
range_p80_width_m,M2,visible_gt_size_model,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
range_p80_width_m,M3,visible_gt_size_plus_mask_model,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
range_p80_width_m,M4,convolution_resolution_inspired_model,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
range_p80_width_m,M5,full_gt_error_baseline,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
cross_range_p80_width_m,M0,constant_baseline,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
cross_range_p80_width_m,M1,absolute_position_model,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
cross_range_p80_width_m,M2,visible_gt_size_model,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
cross_range_p80_width_m,M3,visible_gt_size_plus_mask_model,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
cross_range_p80_width_m,M4,convolution_resolution_inspired_model,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
cross_range_p80_width_m,M5,full_gt_error_baseline,0,57,0,0,,,,,,,,,,not_run_absolute_scale_unresolved,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
