sar_frame,pair_id,sar_gt_id,center_x,center_y,weak_correspondence,frame_selection_status,candidate_decision,identity_consistency_status,visual_review_required
315,WGV35A_PAIR_0003,99,790.875,940.529,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
317,WGV35A_PAIR_0006,102,796.4825,941.214,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
319,WGV35A_PAIR_0007,103,813.8,939.398,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
321,WGV35A_PAIR_0010,106,826.9845,944.068,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
323,WGV35A_PAIR_0012,108,835.794,943.7485,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
325,WGV35A_PAIR_0014,110,853.0945,939.369,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
327,WGV35A_PAIR_0016,112,860.0895,944.6445,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
331,WGV35A_PAIR_0021,117,890.023,941.182,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
332,WGV35A_PAIR_0023,119,898.926,944.3575,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
333,WGV35A_PAIR_0025,121,903.311,939.939,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
334,WGV35A_PAIR_0027,123,907.7895,942.629,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
335,WGV35A_PAIR_0030,126,922.34,938.917,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
336,WGV35A_PAIR_0033,129,921.75,940.5815,false,WEAK_CORRESPONDENCE_EXCLUDED,SELECTED,duplicate_frame_primary_thread_selected_weak_correspondence_excluded,true
336,WGV35A_PAIR_0034,130,767.177,873.5815,true,WEAK_CORRESPONDENCE_EXCLUDED,EXCLUDED_WEAK_CORRESPONDENCE,duplicate_frame_primary_thread_selected_weak_correspondence_excluded,true
337,WGV35A_PAIR_0035,334,931.1845,941.426,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
338,WGV35A_PAIR_0038,131,939.9,941.11,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
339,WGV35A_PAIR_0041,134,943.9145,943.403,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
