event_id,sar_frame,response_track_id,reappearance_state,missing_frames_before,predicted_response_x,predicted_response_y,observed_response_x,observed_response_y,background_conflict,temporal_causality
REAPP_000362_RT_D1_0011,362,RT_D1_0011,reappearance_candidate,1,1110.610794,929.640682,1091.405246,924.614426,false,current_frame_after_track_specific_missing_state
REAPP_000363_RT_D1_0009,363,RT_D1_0009,reappeared_supported,1,1189.036961,965.852658,1194.043389,997.477284,false,current_frame_after_track_specific_missing_state
REAPP_000364_RT_D1_0008,364,RT_D1_0008,reappeared_supported,1,1148.129531,926.699627,1124.732044,923.100829,false,current_frame_after_track_specific_missing_state
REAPP_000364_RT_D1_0011,364,RT_D1_0011,reappeared_supported,1,1134.365777,933.87058,1119.887133,928.837472,false,current_frame_after_track_specific_missing_state
REAPP_000366_RT_D1_0007,366,RT_D1_0007,reappeared_supported,1,1165.522902,987.918191,1142.216339,983.71407,false,current_frame_after_track_specific_missing_state
REAPP_000366_RT_D1_0012,366,RT_D1_0012,reappearance_candidate,1,1127.574435,932.298136,1131.627781,928.704399,false,current_frame_after_track_specific_missing_state
REAPP_000369_RT_D1_0007,369,RT_D1_0007,reappeared_supported,1,1189.420762,982.349719,1215.034642,975.687452,false,current_frame_after_track_specific_missing_state
REAPP_000369_RT_D1_0013,369,RT_D1_0013,reappeared_supported,1,1142.120295,920.636563,1117.136719,919.813802,false,current_frame_after_track_specific_missing_state
REAPP_000373_RT_D1_0009,373,RT_D1_0009,reappeared_supported,1,1270.854904,1012.874141,1298.070513,1029.840812,false,current_frame_after_track_specific_missing_state
REAPP_000374_RT_D1_0003,374,RT_D1_0003,reappeared_supported,2,1269.05171,988.642779,1278.311496,1015.545117,false,current_frame_after_track_specific_missing_state
REAPP_000374_RT_D1_0004,374,RT_D1_0004,reappeared_supported,1,1198.4934,928.366818,1200.959361,919.531205,false,current_frame_after_track_specific_missing_state
REAPP_000374_RT_D1_0011,374,RT_D1_0011,reappeared_supported,1,1172.380121,931.00152,1142.928013,931.411581,false,current_frame_after_track_specific_missing_state
REAPP_000375_RT_D1_0005,375,RT_D1_0005,reappeared_supported,1,1282.792094,1010.691276,1293.910384,1011.71835,false,current_frame_after_track_specific_missing_state
REAPP_000375_RT_D1_0007,375,RT_D1_0007,reappeared_supported,2,1219.389645,976.545465,1186.901639,974.977049,false,current_frame_after_track_specific_missing_state
REAPP_000375_RT_D1_0008,375,RT_D1_0008,reappeared_supported,2,1222.811263,931.935288,1227.021422,919.349614,false,current_frame_after_track_specific_missing_state
REAPP_000375_RT_D1_0012,375,RT_D1_0012,reappeared_supported,2,1166.87311,943.13447,1143.396934,946.238501,false,current_frame_after_track_specific_missing_state
REAPP_000375_RT_D1_0014,375,RT_D1_0014,reappeared_supported,4,1252.546866,962.1655,1281.994048,959.462798,false,current_frame_after_track_specific_missing_state
REAPP_000376_RT_D1_0009,376,RT_D1_0009,reappeared_supported,2,1289.001624,1018.546723,1292.921668,1028.866854,false,current_frame_after_track_specific_missing_state
REAPP_000377_RT_D1_0012,377,RT_D1_0012,reappeared_supported,1,1178.662878,940.975322,1173.876655,924.236237,false,current_frame_after_track_specific_missing_state
REAPP_000377_RT_D1_0013,377,RT_D1_0013,reappeared_supported,5,1179.940226,932.686529,1160.11219,956.0863,false,current_frame_after_track_specific_missing_state
REAPP_000378_RT_D1_0007,378,RT_D1_0007,reappeared_supported,1,1231.979011,973.227424,1212.82699,956.700692,false,current_frame_after_track_specific_missing_state
REAPP_000379_RT_D1_0013,379,RT_D1_0013,reappeared_supported,1,1184.81131,934.325024,1154.636663,951.807903,false,current_frame_after_track_specific_missing_state
REAPP_000380_RT_D1_0005,380,RT_D1_0005,reappeared_supported,1,1303.074094,1013.490207,1299.55293,1012.931002,false,current_frame_after_track_specific_missing_state
REAPP_000380_RT_D1_0007,380,RT_D1_0007,reappeared_supported,1,1236.777635,973.406083,1236.773641,957.181878,false,current_frame_after_track_specific_missing_state
REAPP_000380_RT_D1_0009,380,RT_D1_0009,reappeared_supported,1,1304.998124,1022.606654,1297.671695,1023.436063,false,current_frame_after_track_specific_missing_state
REAPP_000380_RT_D1_0014,380,RT_D1_0014,reappeared_supported,2,1288.840997,962.870834,1310.403448,969.758621,false,current_frame_after_track_specific_missing_state
REAPP_000381_RT_D1_0012,381,RT_D1_0012,reappeared_supported,1,1178.05956,942.938231,1145.353508,931.940853,false,current_frame_after_track_specific_missing_state
REAPP_000382_RT_D1_0007,382,RT_D1_0007,reappeared_supported,1,1252.075516,963.649165,1283.181935,947.264516,false,current_frame_after_track_specific_missing_state
REAPP_000382_RT_D1_0013,382,RT_D1_0013,reappeared_supported,2,1187.046462,932.586684,1154.103789,931.436573,false,current_frame_after_track_specific_missing_state
REAPP_000382_RT_D1_0015,382,RT_D1_0015,reappearance_candidate,5,1217.264407,973.994009,1200.898305,975.800598,false,current_frame_after_track_specific_missing_state
REAPP_000383_RT_D1_0005,383,RT_D1_0005,reappeared_supported,2,1318.917296,1006.419584,1325.469356,1009.938712,false,current_frame_after_track_specific_missing_state
REAPP_000383_RT_D1_0009,383,RT_D1_0009,reappeared_supported,2,1322.170281,1015.163682,1334.776471,1016.986555,false,current_frame_after_track_specific_missing_state
REAPP_000384_RT_D1_0007,384,RT_D1_0007,reappeared_supported,1,1263.558914,959.492272,1263.931902,957.572393,false,current_frame_after_track_specific_missing_state
REAPP_000384_RT_D1_0015,384,RT_D1_0015,reappeared_supported,1,1224.843724,967.465149,1207.431456,954.739639,false,current_frame_after_track_specific_missing_state
REAPP_000386_RT_D1_0005,386,RT_D1_0005,reappeared_supported,1,1341.558944,998.556019,1343.167656,1003.562315,false,current_frame_after_track_specific_missing_state
REAPP_000386_RT_D1_0009,386,RT_D1_0009,reappeared_supported,1,1345.604316,1002.050964,1343.094221,972.898241,false,current_frame_after_track_specific_missing_state
REAPP_000386_RT_D1_0017,386,RT_D1_0017,reappearance_candidate,1,1226.414289,942.855757,1204.723502,959.425499,false,current_frame_after_track_specific_missing_state
