visual_id,response_unit_id,sar_frame,visual_review_relpath,notes_cn
VIS_R21B00001,R21B00001,27,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00002,R21B00002,27,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00003,R21B00003,27,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00004,R21B00004,27,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00005,R21B00005,27,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00006,R21B00006,27,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00007,R21B00007,28,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00008,R21B00008,28,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00009,R21B00009,28,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00010,R21B00010,28,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00011,R21B00011,28,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00012,R21B00012,29,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00013,R21B00013,29,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00014,R21B00014,29,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00015,R21B00015,29,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00016,R21B00016,30,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00017,R21B00017,30,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00018,R21B00018,30,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00019,R21B00019,30,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00020,R21B00020,30,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00021,R21B00021,30,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00022,R21B00022,30,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00023,R21B00023,30,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00024,R21B00024,31,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00025,R21B00025,31,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00026,R21B00026,31,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00027,R21B00027,31,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00028,R21B00028,31,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00029,R21B00029,31,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00030,R21B00030,31,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00031,R21B00031,31,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00032,R21B00032,32,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00033,R21B00033,32,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00034,R21B00034,32,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00035,R21B00035,32,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00036,R21B00036,32,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00037,R21B00037,32,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00038,R21B00038,32,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00039,R21B00039,32,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00040,R21B00040,34,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00041,R21B00041,34,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00042,R21B00042,34,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00043,R21B00043,34,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00044,R21B00044,34,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00045,R21B00045,34,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00046,R21B00046,34,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00047,R21B00047,34,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00048,R21B00048,39,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00049,R21B00049,39,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00050,R21B00050,39,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00051,R21B00051,39,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00052,R21B00052,39,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00053,R21B00053,39,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00054,R21B00054,39,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00055,R21B00055,39,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00056,R21B00056,40,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00057,R21B00057,40,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00058,R21B00058,40,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00059,R21B00059,40,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00060,R21B00060,40,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00061,R21B00061,40,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00062,R21B00062,46,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00063,R21B00063,52,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
VIS_R21B00064,R21B00064,52,,本轮未提交PNG；如需审阅，可在ignored outputs中按该response_unit_id生成局部图。
