eval_id,response_box_id,sar_frame,box_status,blind_raw_judgement,blind_assisted_judgement,raw_vs_assisted_change,discovery_label_eval_only,vehicle_identity_eval_only,gt_exact_frame_available,gt_relation_eval_only,gt_overlap_eval_only,gt_center_distance_eval_only,bbox_undercoverage,bbox_overcoverage,bbox_background_inclusion,bbox_vehicle_part_exclusion,gt_assisted_bbox_explanation,provenance
R2EV0001,R2B0001,27,vehicle_response_box_possible,vehicle_part,vehicle_core,raw_vehicle_part_to_assisted_vehicle_core,discovery_positive_eval_only,white_suv_eval_only,true,overlaps_gt_eval_only,0.590177,52.067815,false,false,false,false,runtime_box=vehicle_response_box_possible; raw=vehicle_part; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0002,R2B0002,27,vehicle_response_box_possible,vehicle_part,vehicle_core,raw_vehicle_part_to_assisted_vehicle_core,discovery_positive_eval_only,white_suv_eval_only,true,overlaps_gt_eval_only,0.73915,38.953464,false,false,false,false,runtime_box=vehicle_response_box_possible; raw=vehicle_part; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0003,R2B0003,28,vehicle_response_box_possible,vehicle_part,vehicle_core,raw_vehicle_part_to_assisted_vehicle_core,discovery_positive_eval_only,white_suv_eval_only,false,no_exact_gt_for_frame,,,false,false,false,false,runtime_box=vehicle_response_box_possible; raw=vehicle_part; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0004,R2B0004,28,vehicle_response_box_possible,vehicle_part,vehicle_core,raw_vehicle_part_to_assisted_vehicle_core,discovery_positive_eval_only,white_suv_eval_only,false,no_exact_gt_for_frame,,,false,false,false,false,runtime_box=vehicle_response_box_possible; raw=vehicle_part; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0005,R2B0005,29,vehicle_response_box_possible,vehicle_part,vehicle_core,raw_vehicle_part_to_assisted_vehicle_core,discovery_positive_eval_only,white_suv_eval_only,false,no_exact_gt_for_frame,,,false,false,false,false,runtime_box=vehicle_response_box_possible; raw=vehicle_part; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0006,R2B0006,29,vehicle_response_box_possible,vehicle_part,vehicle_core,raw_vehicle_part_to_assisted_vehicle_core,discovery_positive_eval_only,white_suv_eval_only,false,no_exact_gt_for_frame,,,false,false,false,false,runtime_box=vehicle_response_box_possible; raw=vehicle_part; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0007,R2B0007,30,vehicle_response_box_possible,vehicle_part,vehicle_core,raw_vehicle_part_to_assisted_vehicle_core,discovery_positive_eval_only,white_suv_eval_only,false,no_exact_gt_for_frame,,,false,false,false,false,runtime_box=vehicle_response_box_possible; raw=vehicle_part; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0008,R2B0008,30,vehicle_response_box_possible,vehicle_part,vehicle_core,raw_vehicle_part_to_assisted_vehicle_core,discovery_positive_eval_only,white_suv_eval_only,false,no_exact_gt_for_frame,,,false,false,false,false,runtime_box=vehicle_response_box_possible; raw=vehicle_part; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0009,R2B0009,31,unresolved_box,vehicle_part,vehicle_part,unchanged,discovery_positive_eval_only,white_suv_eval_only,true,overlaps_gt_eval_only,0.683351,48.31419,false,false,false,false,runtime_box=unresolved_box; raw=vehicle_part; assisted=vehicle_part; gt_relation=overlaps_gt_eval_only; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0010,R2B0010,32,unresolved_box,background,background,unchanged,discovery_negative_or_uncertain_eval_only,white_suv_eval_only,false,no_exact_gt_for_frame,,,false,false,false,false,runtime_box=unresolved_box; raw=background; assisted=background; gt_relation=no_exact_gt_for_frame; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
R2EV0011,R2B0011,34,vehicle_response_box_possible,vehicle_part,vehicle_core,raw_vehicle_part_to_assisted_vehicle_core,blind_holdout_unlabeled_eval_only,white_suv_eval_only,false,no_exact_gt_for_frame,,,false,false,false,false,runtime_box=vehicle_response_box_possible; raw=vehicle_part; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame; no_bbox_size_error_flag; GT used only after freeze,eval_only_gt_assisted
