gate_id,gate_definition_version,threshold_source,threshold_value,input_fields,pass_rule,label_fields_used_for_status
G1_VALID_OBSERVATION,e0_r1_r1_symmetric_gate_v1,fixed_observation_rule,visible_fraction>=0.85,observation_status;visible_fraction,fully_observed and visible_fraction>=0.85,false
G2_METRIC_SIZE_COMPATIBLE,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,"long=[1.970678,6.178206];short=[0.320711,2.729073]",body_long_energy90_width_m;body_short_energy90_width_m,both metric widths inside frozen interval,false
G3_NOT_POINTLIKE,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,long>=1.970678 OR short>=0.320711,body_long_energy90_width_m;body_short_energy90_width_m,at least one support dimension exceeds minimum,false
G4_NOT_LONG_LINEAR,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,linearity<=7.493253,response_linearity,linearity below frozen maximum,false
G5_COMPACT_EXTENDED_SUPPORT,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,compactness>=0.080633,response_compactness,compactness above frozen minimum,false
G6_HIGH_ENERGY_OCCUPANCY_COMPATIBLE,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,"occupancy=[0.04498,0.506642]",high_energy_pixel_fraction,occupancy inside frozen interval,false
G7_LOCAL_CENTERED_RESPONSE_STRUCTURE,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_subject_surfaces,center_ratio>=0.9524;contrast>=0.004;plateau<=2.5;flat_prominence<=0.004813,center_value;best_value;center_to_far_median_contrast;peak_prominence;plateau_width_m,sharp center peak or near-center plateau and not flat,false
G8_AXIS_RELATION_STRUCTURE_COMPATIBLE,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_vehicle_body_axis_reference,principal_body_axial<=12,principal_minus_body_axial_deg;body_axis_proxy_deg;subject_principal_axis_deg;heading_confidence,principal axis must lie inside frozen body-axis interval; no body/range OR shortcut,false
G9_TEMPORAL_PATTERN_CONSISTENT,e0_r1_r1_symmetric_gate_v1,calibration_sar_le_360_subject_specific_temporal_rule,stability>=0.45;status_stability>=0.55,subject-specific stability fields;persistent_subject_status,persistent subject has stable multi-feature temporal pattern,false
G10_BACKGROUND_FIXEDNESS_EXPLANATION_REJECTED,e0_r1_r1_symmetric_gate_v1,subject_motion_and_image_fixedness_rule,moving_center>=25;world_fixed<=2,subject_center_motion_px;image_coordinate_fixedness_sufficient;gt_relative_centroid_stability;subject_motion_model;persistent_subject_status,response cannot be sufficiently explained by a fixed image-coordinate background,false
