visual_id,sar_frame,diagnostic_png,review_requirement,review_status,reviewer_conclusion_cn,commit_policy
metric_grid_closure_frame371,371,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\metric_grid_closure_frame371.png,40m / 0.03m grid closure and body axis,generated_for_e0_r1_review,结论：网格可用；分辨率未就绪。,do_not_commit_png_outputs
sar_range_azimuth_axes_frame371,371,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\sar_range_azimuth_axes_frame371.png,SAR range and azimuth axes,generated_for_e0_r1_review,结论：距离方位轴可用；仅作诊断。,do_not_commit_png_outputs
motion_heading_fit,,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\motion_heading_fit.png,motion-heading fit,generated_for_e0_r1_review,结论：高置信航向进入主分析。,do_not_commit_png_outputs
paired_optical_straight_turning_review,,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\paired_optical_straight_turning_review.png,paired optical straight/turning review,generated_for_e0_r1_review,结论：光学只判断直行转弯。,do_not_commit_png_outputs
body_support_fit,,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\body_support_fit.png,body-support fit,generated_for_e0_r1_review,结论：车体支撑由校准段冻结。,do_not_commit_png_outputs
body_aligned_regions_frame371,371,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\body_aligned_regions_frame371.png,body-aligned regions,generated_for_e0_r1_review,结论：车体对齐区域合理。,do_not_commit_png_outputs
metric_translation_surface_frame376,376,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\metric_translation_surface_frame376.png,metric translation surfaces,generated_for_e0_r1_review,结论：平移面保留近GT平台。,do_not_commit_png_outputs
body_axis_relative_rotations_frame381,381,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\body_axis_relative_rotations_frame381.png,body-axis-relative rotations,generated_for_e0_r1_review,结论：零度为车体轴对齐。,do_not_commit_png_outputs
gt_vs_rings_frame394,394,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\gt_vs_rings_frame394.png,GT versus rings,generated_for_e0_r1_review,结论：环带检验邻近背景。,do_not_commit_png_outputs
matched_moving_controls_frame371,371,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\matched_moving_controls_frame371.png,matched moving controls,generated_for_e0_r1_review,结论：匹配背景提供压力。,do_not_commit_png_outputs
fixed_hard_negative_frame371,371,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\fixed_hard_negative_frame371.png,fixed hard negatives,generated_for_e0_r1_review,结论：固定负例单独保留。,do_not_commit_png_outputs
n005_fixed_hard_negative_panel,249,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\n005_fixed_hard_negative_panel.png,known non-vehicle N005,generated_for_e0_r1_review,结论：N005为已知非车辆。,do_not_commit_png_outputs
successful_vehicle_separation_frame,373,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\successful_vehicle_separation_frame.png,successful vehicle-separation frame,generated_for_e0_r1_review,结论：该帧车辆更集中。,do_not_commit_png_outputs
failure_confusion_frame,336,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\failure_confusion_frame.png,failure/confusion frame,generated_for_e0_r1_review,结论：该帧负例压力强。,do_not_commit_png_outputs
heading_unreliable_frame,325,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\heading_unreliable_frame.png,heading-unreliable frame,generated_for_e0_r1_review,结论：低置信航向已排除。,do_not_commit_png_outputs
registration_suspected_frame,336,outputs\wgv3_6b_e0_r1_gm017_metric_heading_region_contrast_20260712\visual_review\registration_suspected_frame.png,registration-suspected frame,generated_for_e0_r1_review,结论：能量偏移作为发现。,do_not_commit_png_outputs
