path_id,extraction_profile,start_sar_frame,end_sar_frame,duration_frames,component_count,component_ids,azimuth_start,azimuth_end,radial_start,radial_end,radial_band,azimuth_velocity_median,radial_velocity_median,azimuth_acceleration_median,radial_acceleration_median,direction_reversal_count,mean_overlap,mean_shape_consistency,mean_local_contrast,static_background_overlap,branch_competition_count,path_physical_consistency,path_status
WGV34A_PATH_0000001,strict_physical_path,0,2,3,3,WGV33D_MAIN_F0000_C000001;WGV33D_MAIN_F0001_C000031;WGV33D_MAIN_F0002_C000047,-49.4727,-46.0202,202,198,R1,1.72625,-2,1.2467,4,0,0.75,0.66494821,4.110263,0.41928113,3,0.79930894,physically_possible_ambiguous_path
WGV34A_PATH_0000002,strict_physical_path,2,5,4,4,WGV33D_MAIN_F0002_C000048;WGV33D_MAIN_F0003_C000068;WGV33D_MAIN_F0004_C000100;WGV33D_MAIN_F0005_C000135,-40.4557,-38.5048,198,192.4451,R1,0.4537,-1.9723,0.5918,0.5216,2,0.75,0.8457936,5.807617,0.44767563,5,0.84168084,recurrent_background_path
WGV34A_PATH_0000003,strict_physical_path,2,3,2,2,WGV33D_MAIN_F0002_C000049;WGV33D_MAIN_F0003_C000072,-19.7202,-17.4364,113.6214,113.2707,R0,2.2838,-0.3507,0,0,0,0.68181825,0.91298339,2.872585,0.52158075,2,0.83063325,insufficient_length
WGV34A_PATH_0000004,strict_physical_path,2,8,7,7,WGV33D_MAIN_F0002_C000055;WGV33D_MAIN_F0003_C000081;WGV33D_MAIN_F0004_C000115;WGV33D_MAIN_F0005_C000153;WGV33D_MAIN_F0006_C000187;WGV33D_MAIN_F0007_C000214;WGV33D_MAIN_F0008_C000231,25.5603,27.0117,278.8446,286,R2,0.3737,1.3373,-0.5789,-0.543,1,0.75,0.84579345,3.746875,0.43239481,10,0.84320888,recurrent_background_path
WGV34A_PATH_0000005,strict_physical_path,3,5,3,3,WGV33D_MAIN_F0003_C000067;WGV33D_MAIN_F0004_C000098;WGV33D_MAIN_F0005_C000134,-48.3461,-48.0196,158.6354,154,R1,0.16325,-2.3177,0.3137,3.4196,0,0.875,0.85575424,3.338379,0.55470544,4,0.87096802,recurrent_background_path
WGV34A_PATH_0000006,strict_physical_path,3,7,5,5,WGV33D_MAIN_F0003_C000077;WGV33D_MAIN_F0004_C000108;WGV33D_MAIN_F0005_C000147;WGV33D_MAIN_F0006_C000181;WGV33D_MAIN_F0007_C000209,-4.2638,-0.0698,195.264,194,R1,0.7346,0,-0.1063,0,0,0.875,0.77658928,3.358398,0.65602472,7,0.84104485,static_structure_path
WGV34A_PATH_0000007,strict_physical_path,4,7,4,4,WGV33D_MAIN_F0004_C000110;WGV33D_MAIN_F0005_C000149;WGV33D_MAIN_F0006_C000183;WGV33D_MAIN_F0007_C000211,2.2152,4.9478,223.9468,222,R1,0.8005,-1.6056,-0.23305,0.1706,2,0.75,0.66188975,2.824749,0.44589362,6,0.79588308,recurrent_background_path
WGV34A_PATH_0000008,strict_physical_path,5,6,2,2,WGV33D_MAIN_F0005_C000144;WGV33D_MAIN_F0006_C000179,-8.5021,-7.9622,206,206,R1,0.5399,0,0,0,0,1,0.71150849,3.155111,0.44626306,2,0.88325082,insufficient_length
WGV34A_PATH_0000009,strict_physical_path,7,8,2,2,WGV33D_MAIN_F0007_C000207;WGV33D_MAIN_F0008_C000224,-9.8654,-8.9425,204.5944,206,R1,0.9229,1.4056,0,0,0,1,0.59061611,3.136841,0.44327133,2,0.85332689,insufficient_length
WGV34A_PATH_0000010,strict_physical_path,8,9,2,2,WGV33D_MAIN_F0008_C000223;WGV33D_MAIN_F0009_C000243,-14.0162,-15.5742,202,202,R1,-1.558,0,0,0,0,0.75,0.81756553,2.9487305,0.45640231,2,0.83375115,insufficient_length
