visual_id,sar_frame,diagnostic_png,review_requirement,review_status,reviewer_conclusion_cn,commit_policy
sar336_multi_gt_weak_correspondence_conflict,336,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\sar336_multi_gt_weak_correspondence_conflict.png,SAR336 multi-GT / weak correspondence conflict,generated_for_e0_r1_r1_review,SAR336 双 GT 被单独审阅：主线程中心保留，弱对应候选排除，原 GT 未修改。,do_not_commit_png_outputs
raw_gt_center_trajectory,,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\raw_gt_center_trajectory.png,raw center trajectory,generated_for_e0_r1_r1_review,原始轨迹显示 SAR336 同帧多行会造成轨迹歧义，不能直接按同帧平均。,do_not_commit_png_outputs
selected_unique_center_trajectory,,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\selected_unique_center_trajectory.png,cleaned unique center trajectory,generated_for_e0_r1_r1_review,清洗后的中心序列保留唯一物理线程，重复/弱对应帧被显式标注。,do_not_commit_png_outputs
directed_motion_heading_vectors,,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\directed_motion_heading_vectors.png,directed motion vectors,generated_for_e0_r1_r1_review,有向运动箭头仅解释运动趋势，不再当作车体长轴的有向角。,do_not_commit_png_outputs
axial_body_axis_proxy_vectors,,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\axial_body_axis_proxy_vectors.png,180-degree body-axis proxy,generated_for_e0_r1_r1_review,车体轴用 180 度周期显示，前后方向等价，避免把掉头角误判为轴向断裂。,do_not_commit_png_outputs
directed_vs_axial_curvature,,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\directed_vs_axial_curvature.png,directed curvature versus axial curvature,generated_for_e0_r1_r1_review,原有大角度一步曲率在轴向语义下明显收缩，说明 E0-R1 航向代理确有有向/轴向混用风险。,do_not_commit_png_outputs
heading_confidence_frames,,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\heading_confidence_frames.png,high/medium/low heading confidence frames,generated_for_e0_r1_r1_review,高/中/低置信度沿轨迹分布不均，诊断段方向结论必须受高置信帧数量约束。,do_not_commit_png_outputs
vehicle_translation_surface,376,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\vehicle_translation_surface.png,vehicle translation response surface,generated_for_e0_r1_r1_review,车辆平移面在零点附近保留局部峰/平台，但需与每类负样本同轴同网格比较。,do_not_commit_png_outputs
matched_strong_scatterer_translation_surface,376,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\matched_strong_scatterer_translation_surface.png,matched strong scatterer translation surface,generated_for_e0_r1_r1_review,匹配强散射背景被单独成面评估，不再借用车辆 near-GT 平移结果。,do_not_commit_png_outputs
matched_linear_structure_translation_surface,376,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\matched_linear_structure_translation_surface.png,matched linear structure translation surface,generated_for_e0_r1_r1_review,匹配线性结构有自己的主轴和垂轴扰动面，不能与普通背景合并。,do_not_commit_png_outputs
n005_translation_surface,376,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\n005_translation_surface.png,N005 translation surface,generated_for_e0_r1_r1_review,N005 固定非车辆区域按同一网格生成平移面，G7 不再因标签直接失败。,do_not_commit_png_outputs
fixed_strong_scatterer_temporal,,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\fixed_strong_scatterer_temporal.png,fixed strong scatterer temporal trace,generated_for_e0_r1_r1_review,固定强散射背景的能量稳定性被作为 G9/G10 输入，而不是作为车辆证据继承。,do_not_commit_png_outputs
fixed_linear_structure_temporal,,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\fixed_linear_structure_temporal.png,fixed linear temporal trace,generated_for_e0_r1_r1_review,固定线性背景具有图像坐标持久性，需由 G10 判断固定背景解释是否充分。,do_not_commit_png_outputs
e0_r1_false_zero_confusion_logic,,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\e0_r1_false_zero_confusion_logic.png,old false-zero-confusion schematic,generated_for_e0_r1_r1_review,旧零混淆来自标签依赖 G10 的恒假结构，不是数据证明。,do_not_commit_png_outputs
typical_separable_frame,373,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\typical_separable_frame.png,typical separable frame,generated_for_e0_r1_r1_review,典型可分帧中车辆邻域相对最强负样本更集中，空间面仍需同构 Gate 约束。,do_not_commit_png_outputs
typical_confusion_frame,327,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\typical_confusion_frame.png,typical confusing frame,generated_for_e0_r1_r1_review,典型混淆帧显示强负样本压力真实存在，不能再用旧恒假 G10 抹掉。,do_not_commit_png_outputs
g9_g10_no_persistent_subject_case,376,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\g9_g10_no_persistent_subject_case.png,G9/G10 not-evaluable matched-control case,generated_for_e0_r1_r1_review,逐帧匹配背景不是持续主体，G9/G10 只能标记不可评价，不能被算作失败制造零混淆。,do_not_commit_png_outputs
vehicle_vs_hardest_negative_gate_contrast,315,outputs\wgv3_6b_e0_r1_r1_gm017_symmetric_gate_20260712\visual_review\vehicle_vs_hardest_negative_gate_contrast.png,vehicle and hardest negative Gate contrast,generated_for_e0_r1_r1_review,车辆与最困难负样本逐 Gate 对照显示：不可评价项被单独保留，没有当作失败来制造零混淆。,do_not_commit_png_outputs
