component_frame_id,component_id_within_frame,physical_vehicle_id,sar_frame,split,component_energy,component_energy_fraction,component_area_m2,component_centroid_range_m,component_centroid_azimuth_m,component_centroid_body_long_m,component_centroid_body_short_m,component_axis_deg,component_axis_ratio,component_identity_scope
SAR000315_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,calibration,4152,0.107651,0.1503,-1.761462,0.89115,1.86638,0.643057,133.875181,1.855297,within_frame_only_anonymous_component
SAR000315_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,calibration,1287,0.033369,0.0603,-1.267704,0.201901,1.027916,0.768911,138.071526,2.480896,within_frame_only_anonymous_component
SAR000315_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,calibration,999,0.025902,0.0522,-0.860248,0.085752,0.660756,0.557478,56.931353,1.465869,within_frame_only_anonymous_component
SAR000315_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,calibration,963,0.024968,0.0495,-0.099265,-1.098813,-0.71923,0.836631,168.253072,2.468883,within_frame_only_anonymous_component
SAR000315_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,calibration,778,0.020172,0.0342,0.476107,-1.752641,-1.58913,0.879256,176.556798,4.235848,within_frame_only_anonymous_component
SAR000315_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,calibration,652,0.016905,0.0279,-0.59693,-0.638517,-0.042314,0.873063,88.513894,1.793775,within_frame_only_anonymous_component
SAR000315_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,calibration,458,0.011875,0.0225,-1.435943,1.430627,2.026694,0.033715,123.45222,2.976843,within_frame_only_anonymous_component
SAR000315_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,calibration,387,0.010034,0.0225,-1.812114,1.397843,2.265206,0.326447,46.299743,1.708758,within_frame_only_anonymous_component
SAR000315_C09,9,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,315,calibration,442,0.01146,0.0216,0.120119,-1.367034,-1.064491,0.866065,113.704934,1.697306,within_frame_only_anonymous_component
SAR000317_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,8678,0.192947,0.3096,-1.751281,0.854448,1.850137,0.611606,170.483904,3.795942,within_frame_only_anonymous_component
SAR000317_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,1278,0.028415,0.0657,-1.058604,0.235461,0.922083,0.570831,33.304649,1.21135,within_frame_only_anonymous_component
SAR000317_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,1216,0.027037,0.0603,-0.174943,-1.023927,-0.589924,0.854998,114.285023,1.522936,within_frame_only_anonymous_component
SAR000317_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,1210,0.026903,0.0567,-1.55019,1.582058,2.214394,-0.049583,106.041529,2.081629,within_frame_only_anonymous_component
SAR000317_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,937,0.020833,0.0396,-0.751984,-0.458338,0.218077,0.853227,121.73994,1.914103,within_frame_only_anonymous_component
SAR000317_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,726,0.016142,0.0378,0.27423,-1.586063,-1.303998,0.943602,151.887641,1.628993,within_frame_only_anonymous_component
