frame_a,frame_b,pair_type,time_separation_frames,aspect_difference_deg,absolute_range_difference_m_grid,response_descriptor_distance,response_similarity,same_aspect_similarity,different_aspect_similarity,aspect_repeatability_effect,threshold_source
315,321,same_aspect_different_range,6,1.59528,0.786136,0.847083,0.428664,,,,calibration_pair_rules
315,323,same_aspect_different_range,8,3.515855,0.953626,0.831334,0.435468,,,,calibration_pair_rules
319,325,same_aspect_different_range,6,4.677547,0.781653,0.75526,0.469889,,,,calibration_pair_rules
319,327,same_aspect_different_range,8,4.322687,1.039926,0.812326,0.443824,,,,calibration_pair_rules
319,332,same_aspect_different_range,13,4.292011,1.827564,0.84356,0.430176,,,,calibration_pair_rules
323,332,same_aspect_different_range,9,3.304674,1.294627,0.956552,0.384216,,,,calibration_pair_rules
323,333,same_aspect_different_range,10,4.763156,1.28976,0.906891,0.403778,,,,calibration_pair_rules
325,331,same_aspect_different_range,6,2.020897,0.792969,1.18076,0.307045,,,,calibration_pair_rules
325,332,same_aspect_different_range,7,0.385536,1.045911,0.267746,0.765102,,,,calibration_pair_rules
325,333,same_aspect_different_range,8,1.072946,1.041044,0.276283,0.758598,,,,calibration_pair_rules
325,334,same_aspect_different_range,9,3.459153,1.192349,0.269772,0.763554,,,,calibration_pair_rules
327,332,same_aspect_different_range,5,0.030676,0.787638,1.125038,0.32464,,,,calibration_pair_rules
327,333,same_aspect_different_range,6,1.427806,0.782771,1.16999,0.31037,,,,calibration_pair_rules
327,334,same_aspect_different_range,7,3.814013,0.934076,1.204683,0.299787,,,,calibration_pair_rules
331,336,same_aspect_similar_range,5,4.366249,0.647156,1.471198,0.22965,,,,calibration_pair_rules
334,339,same_aspect_different_range,5,4.938344,0.775791,1.477071,0.228305,,,,calibration_pair_rules
334,340,same_aspect_different_range,6,4.898332,0.976925,0.265931,0.766492,,,,calibration_pair_rules
334,341,same_aspect_different_range,7,4.950263,0.950478,0.351921,0.703336,,,,calibration_pair_rules
335,340,same_aspect_different_range,5,2.179631,0.752397,0.219903,0.802597,,,,calibration_pair_rules
335,341,same_aspect_similar_range,6,2.231562,0.72595,0.100417,0.90446,,,,calibration_pair_rules
335,342,same_aspect_different_range,7,3.632016,0.87156,1.526904,0.217207,,,,calibration_pair_rules
335,343,same_aspect_different_range,8,4.21019,1.058738,1.382317,0.250996,,,,calibration_pair_rules
336,341,same_aspect_similar_range,5,2.02227,0.702702,1.430656,0.239152,,,,calibration_pair_rules
336,342,same_aspect_different_range,6,3.422724,0.848312,1.885329,0.151779,,,,calibration_pair_rules
336,343,same_aspect_different_range,7,4.000898,1.03549,1.848313,0.157503,,,,calibration_pair_rules
336,344,same_aspect_different_range,8,4.968192,1.185419,2.049547,0.128793,,,,calibration_pair_rules
337,342,same_aspect_similar_range,5,2.156289,0.631687,0.414031,0.660981,,,,calibration_pair_rules
337,343,same_aspect_different_range,6,2.734463,0.818865,0.503869,0.604189,,,,calibration_pair_rules
337,344,same_aspect_different_range,7,3.701757,0.968794,0.678168,0.507546,,,,calibration_pair_rules
337,345,same_aspect_different_range,8,4.400026,1.019941,0.544523,0.580118,,,,calibration_pair_rules
338,343,same_aspect_similar_range,5,1.706816,0.641271,0.455601,0.634067,,,,calibration_pair_rules
338,344,same_aspect_different_range,6,2.67411,0.7912,0.658807,0.517468,,,,calibration_pair_rules
338,345,same_aspect_different_range,7,3.372379,0.842347,0.5874,0.555771,,,,calibration_pair_rules
338,346,same_aspect_different_range,8,4.511104,1.044756,0.566405,0.567562,,,,calibration_pair_rules
339,344,same_aspect_similar_range,5,2.957841,0.657404,0.671314,0.511037,,,,calibration_pair_rules
339,345,same_aspect_similar_range,6,3.65611,0.708551,0.512719,0.598865,,,,calibration_pair_rules
339,346,same_aspect_different_range,7,4.794835,0.91096,0.470751,0.624533,,,,calibration_pair_rules
340,345,same_aspect_similar_range,5,3.696122,0.507417,1.804233,0.164601,,,,calibration_pair_rules
340,346,same_aspect_similar_range,6,4.834847,0.709826,1.699023,0.182862,,,,calibration_pair_rules
341,346,same_aspect_similar_range,5,4.782916,0.736273,1.679415,0.186483,,,,calibration_pair_rules
342,347,same_aspect_similar_range,5,4.895586,0.737132,0.347299,0.706594,,,,calibration_pair_rules
343,348,same_aspect_similar_range,5,4.453098,0.707207,0.582854,0.558303,,,,calibration_pair_rules
343,349,same_aspect_different_range,6,4.947108,0.867629,0.607638,0.544636,,,,calibration_pair_rules
344,349,same_aspect_similar_range,5,3.979814,0.7177,0.485455,0.615417,,,,calibration_pair_rules
