subject_frame_id,subject_name,subject_short,pair_id,sar_frame,split,source_region_id,source_variant,posthoc_evaluation_label,gate_label_used_for_status,subject_motion_model,persistent_subject_status,center_x,center_y,width_px,height_px,width_m_grid,height_m_grid,angle_deg,subject_principal_axis_deg,local_range_axis_deg,local_azimuth_axis_deg,body_axis_proxy_deg,motion_heading_directed_deg,heading_confidence,principal_minus_body_axial_deg,principal_minus_range_axial_deg,body_minus_range_axial_deg,principal_minus_motion_axial_deg,center_selection_status,mean_energy,high_energy_pixel_fraction,local_background_normalized_energy,body_long_energy90_width_m,body_short_energy90_width_m,response_compactness,response_linearity,energy_centroid_range_m,energy_centroid_azimuth_m,observation_status,visible_fraction,surface_generation_status
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,veh,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0002,body_axis_reference,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,790.875,940.529,158.83115,69.254939,4.764934,2.077648,4.415781,1.362717,47.048914,137.048914,4.415781,4.415781,HIGH,3.053064,45.686197,42.633133,3.053064,UNIQUE_GT_CENTER,40.422443,0.075385,0.971196,3.860472,1.719482,0.187511,2.297189,-0.024962,0.006935,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_ordinary_background_sar000315,matched_ordinary_background,mob,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0040,matched_ordinary_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1541,986,158.83115,69.254939,4.764934,2.077648,4.415781,6.798004,138.316876,48.316876,4.415781,4.415781,HIGH,2.382223,48.481128,46.098905,2.382223,UNIQUE_GT_CENTER,40.080238,0.05787,0.962975,4.210514,1.724896,0.147342,2.441119,-16.27975,15.53578,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,mss,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0041,matched_strong_scatterer_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,963,816,158.83115,69.254939,4.764934,2.077648,4.415781,179.059652,69.636984,159.636984,4.415781,4.415781,HIGH,5.356129,70.577332,65.221203,5.356129,UNIQUE_GT_CENTER,45.627243,0.266437,1.096248,3.916141,1.678255,0.181444,2.49636,-0.787132,6.328658,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_linear_structure_background_sar000315,matched_linear_structure_background,mls,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0042,matched_linear_structure_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1473,816,158.83115,69.254939,4.764934,2.077648,4.415781,5.467347,121.794731,31.794731,4.415781,4.415781,HIGH,1.051566,63.672616,62.62105,1.051566,UNIQUE_GT_CENTER,43.290073,0.170531,1.040095,4.509973,1.365382,0.190586,4.152293,-11.201115,17.502928,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_known_non_vehicle_N005_sar000315,fixed_known_non_vehicle_N005,n005,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0043,fixed_known_non_vehicle_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1196.566369,1166.397906,158.83115,69.254939,4.764934,2.077648,4.415781,12.458858,104.532969,14.532969,4.415781,4.415781,HIGH,8.043077,87.925889,79.882812,8.043077,UNIQUE_GT_CENTER,39.408905,0.028574,0.946845,4.298054,1.847083,0.134679,2.451217,-13.227334,4.296312,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_strong_scatterer_sar000315,fixed_strong_scatterer,fss,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0045,fixed_strong_scatterer_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1132.158395,1164.457828,158.83115,69.254939,4.764934,2.077648,4.415781,9.674015,82.510653,172.510653,4.415781,4.415781,HIGH,5.258234,72.836638,78.094872,5.258234,UNIQUE_GT_CENTER,39.400955,0.026057,0.946654,4.288465,1.893512,0.124466,2.222552,-11.869234,2.919115,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_linear_structure_sar000315,fixed_linear_structure,fls,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0044,fixed_linear_structure_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1461.700834,848.735721,158.83115,69.254939,4.764934,2.077648,4.415781,3.185032,122.560807,32.560807,4.415781,4.415781,HIGH,1.230749,60.624225,61.854974,1.230749,UNIQUE_GT_CENTER,43.162334,0.163328,1.037025,4.397142,1.572121,0.159616,3.21272,-11.650909,16.61375,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
vehicle_body_axis_reference_sar000317,vehicle_body_axis_reference,veh,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0002,body_axis_reference,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,796.4825,941.214,158.83115,69.254939,4.764934,2.077648,0.838679,177.704814,47.443185,137.443185,0.838679,0.838679,HIGH,3.133865,49.738371,46.604506,3.133865,UNIQUE_GT_CENTER,44.79829,0.095371,0.985253,3.861681,1.513754,0.194299,2.817792,-0.041805,0.009448,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_ordinary_background_sar000317,matched_ordinary_background,mob,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0040,matched_ordinary_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1473,918,158.83115,69.254939,4.764934,2.077648,0.838679,178.84774,127.709256,37.709256,0.838679,0.838679,HIGH,1.990939,51.138484,53.129423,1.990939,UNIQUE_GT_CENTER,44.132561,0.054756,0.970611,4.394598,1.892597,0.159717,2.402226,-13.202708,15.413442,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_strong_scatterer_background_sar000317,matched_strong_scatterer_background,mss,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0041,matched_strong_scatterer_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,997,816,158.83115,69.254939,4.764934,2.077648,0.838679,177.106098,73.033507,163.033507,0.838679,0.838679,HIGH,3.732581,75.927409,72.194828,3.732581,UNIQUE_GT_CENTER,50.206635,0.275055,1.104199,3.972749,1.633741,0.175273,2.387552,-1.277291,6.952572,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
