scene,tracker_name,tracker_variant,tracker_rows_total,tracker_rows_with_valid_bbox,embedding_rows_available,direct_source_links,iou_high_links,iou_acceptable_links,iou_weak_links,unmatched_tracker_rows,ambiguous_links,linked_tracker_rows_total,linked_tracker_row_rate,unique_track_ids,track_ids_with_any_embedding,track_ids_with_embedding_rate,conclusion_scene
GM_RM011,botsort,normalized_active,413,413,422,413,0,0,0,0,0,413,1.000000,17,17,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM011,botsort,raw,422,422,422,422,0,0,0,0,0,422,1.000000,20,20,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM011,bytetrack,normalized_active,413,413,422,413,0,0,0,0,0,413,1.000000,25,25,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM011,bytetrack,raw,422,422,422,422,0,0,0,0,0,422,1.000000,28,28,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM017,botsort,normalized_active,215,215,215,215,0,0,0,0,0,215,1.000000,5,5,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM017,botsort,raw,215,215,215,215,0,0,0,0,0,215,1.000000,5,5,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM017,bytetrack,normalized_active,215,215,215,215,0,0,0,0,0,215,1.000000,6,6,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM017,bytetrack,raw,215,215,215,215,0,0,0,0,0,215,1.000000,6,6,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM019,botsort,normalized_active,330,330,334,330,0,0,0,0,0,330,1.000000,19,19,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM019,botsort,raw,334,334,334,334,0,0,0,0,0,334,1.000000,19,19,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM019,bytetrack,normalized_active,330,330,334,330,0,0,0,0,0,330,1.000000,21,21,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
GM_RM019,bytetrack,raw,334,334,334,334,0,0,0,0,0,334,1.000000,21,21,1.000000,EMBEDDING_TRACK_LINKAGE_READY_FOR_TRACKLET_AGGREGATION
