component_id,sar_frame,extraction_roi,extraction_threshold,candidate_pixels,cap_triggered,frame_observation_complete,semantic_state,bbox,centroid_x,centroid_y,pixel_area,integrated_energy,peak_energy,axis1_px,axis2_px,aspect_ratio,orientation_deg,compactness,max_sar_frame_read,gt_file_opened,evaluation_file_opened,future_frame_read
D1R1OBS_000361_0001,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"964,812,971,819",966.901502,815.359159,25,1665,93,9.733468,5.739303,1.695932,136.979397,0.390625,361,false,false,false
D1R1OBS_000361_0002,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1031,812,1036,815",1032.97772,812.942333,12,763,74,6.582889,3.643025,1.806985,154.636576,0.5,361,false,false,false
D1R1OBS_000361_0003,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1222,812,1226,815",1223.659008,813.52237,13,827,81,4.760952,3.829708,1.243163,-168.690068,0.65,361,false,false,false
D1R1OBS_000361_0004,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1246,812,1251,815",1248.136416,812.978035,14,865,75,6.097521,3.763096,1.620347,170.644131,0.583333,361,false,false,false
D1R1OBS_000361_0005,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1218,813,1222,817",1219.479365,815.188889,10,630,69,6.807021,2.678726,2.541142,46.431203,0.4,361,false,false,false
D1R1OBS_000361_0006,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1022,815,1031,818",1026.683453,816.624301,20,1251,78,9.968124,3.625159,2.749707,-169.82677,0.5,361,false,false,false
D1R1OBS_000361_0007,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1192,815,1201,821",1196.911542,817.885525,34,2114,80,12.412266,5.718579,2.170516,-163.238991,0.485714,361,false,false,false
D1R1OBS_000361_0008,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1132,816,1141,822",1136.89083,818.678311,22,1374,75,10.591674,4.8873,2.167183,-158.604658,0.314286,361,false,false,false
D1R1OBS_000361_0009,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"950,817,954,821",951.902284,818.714467,13,788,66,6.846318,2.952571,2.318765,135.154019,0.52,361,false,false,false
D1R1OBS_000361_0010,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"936,818,941,820",937.986231,819.003442,10,581,61,7.060575,2.652766,2.66159,-177.618179,0.555556,361,false,false,false
D1R1OBS_000361_0011,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"954,818,963,823",959.193377,820.394441,27,1691,78,9.809885,5.900872,1.662447,-168.878172,0.45,361,false,false,false
D1R1OBS_000361_0012,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1150,819,1153,823",1151.360584,821.30365,11,685,69,6.954499,2.683018,2.592043,61.002692,0.55,361,false,false,false
D1R1OBS_000361_0013,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1180,821,1184,823",1182.273913,822.008696,11,690,68,5.215362,2.879394,1.811271,-164.744881,0.733333,361,false,false,false
D1R1OBS_000361_0014,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1191,822,1193,828",1192.286136,824.740413,11,678,67,9.048416,2.260087,4.00357,81.743964,0.52381,361,false,false,false
D1R1OBS_000361_0015,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1250,822,1256,826",1252.362911,824.304088,16,1003,75,8.528457,3.999843,2.132198,-153.704251,0.457143,361,false,false,false
D1R1OBS_000361_0016,361,"918,812,1263,1068",57,7141,false,true,unresolved_response,"1151,824,1166,831",1159.202847,827.762278,43,2810,86,15.522154,6.744313,2.301518,-179.483152,0.335938,361,false,false,false
