source_file,source_type,posthoc_sar_gt_used,posthoc_sar_image_content_used,runtime_prior_safe,allowed_use,forbidden_use,notes
reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,optical_consumption_contract,no,no,pre_sar_only_not_runtime_prediction,optical constraints and search hints for later SAR exploration design,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,Optical evidence is not SAR evidence; all SAR consumption remains pre_sar_only or blocked.
reports/oty2/samples/oty2_wgv1_5b_sar_internal_evidence_schema_20260709.csv,sar_evidence_schema,no,no,schema_only_no_evidence_units,future SAR-only evidence entry schema,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,Schema rows are not evidence units.
reports/oty2/oty2_gt_anchored_energy_morphology_20260703_222135.csv,prior_sar_evidence_csv,yes,yes,no_posthoc_only,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,GT-anchored morphology evidence; not a thread alignment or identity source.
reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,prior_sar_evidence_csv,yes,yes,no_posthoc_only,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,Atom/part/shell hierarchy separates small scatter from vehicle-scale composition.
reports/oty2/oty2_gt_local_energy_field_features_20260704_145752.csv,prior_sar_evidence_csv,yes,yes,no_posthoc_only,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,Corrected GT-local coordinate frame; prior support-wide atlas remains failed evidence.
reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,prior_sar_evidence_csv,yes,yes,no_posthoc_only,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,Support-mode-expanded scatter diagnostics; row expansion is not new sample count.
reports/oty2/oty2_temporal_cluster_association_probe_20260703_095159.csv,prior_sar_evidence_csv,yes,yes,no_posthoc_only,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,Temporal cluster tube diagnostics; no identity truth.
reports/oty2/oty2_detection_dropout_temporal_sar_support_audit_20260702_200455.csv,missing_requested_csv_alias,no,no,not_available,none,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,This exact requested filename is absent; inherited the actual dropout SAR posthoc support CSV from the same report family.
reports/oty2/oty2_detection_dropout_sar_posthoc_support_audit_20260702_200455.csv,prior_sar_evidence_csv_actual_dropout_sar,yes,yes,no_posthoc_only,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,Actual SAR posthoc support table for dropout/no-match special pool.
reports/oty2/oty2_detection_dropout_temporal_support_audit_20260702_200455.csv,prior_temporal_support_csv_actual_dropout,yes,no_direct_sar_image_content,no_posthoc_only,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,Temporal continuation audit used with dropout SAR support; not clean paired evidence.
