independent_geometry_id,sar_frame,threshold_setting,threshold_quantile,threshold_value,component_count,largest_component_pixels,largest_component_area_px,component_mask_sha256,component_centroid_x,component_centroid_y,component_bbox,component_response_center_distance_m,component_axis_image_deg,component_axis_to_range_signed_deg,component_axis_to_range_acute_deg,component_principal_axis_ratio
GM019IG0001,34,positive_weight_q50,0.5,12,26,481,481,ebce51d038e7b9cecb4560dd8d3d1223e747d5b77b3b1a923190517fd07995b1,967.755676,1160.694214,"944.5,1151.5,989.5,1170.5",0.077896,172.055113,-50.444051,50.444051,2.977983
GM019IG0001,34,positive_weight_q70,0.7,19,17,222,222,b3a9682eb6fa2b087faf0719ab64517d5ee8ec6b22a3ee45345f36218cf1fbf9,965.303345,1161.2052,"946.5,1153.5,982.5,1168.5",0.142903,164.405748,-58.093417,58.093417,3.760478
GM019IG0001,34,positive_weight_q85,0.85,26,17,115,115,5f44d62c1fd700ca3e0e9afea994d08bbf715007546084536d436e68fd6d4655,967.638977,1161.124023,"954.5,1153.5,980.5,1167.5",0.075549,161.748258,-60.750907,60.750907,4.123766
GM019IG0002,212,positive_weight_q50,0.5,13,794,7401,7401,6db4fca1ceacbbea16723ef9ba62508fd83f21b637352771ee61b26480e6bd9d,1067.373657,1168.404053,"986.5,1086.5,1161.5,1240.5",0.814016,140.341607,86.912215,86.912215,1.48723
GM019IG0002,212,positive_weight_q70,0.7,20,749,1302,1302,e8a939665698be626c5cc7298f705758bb7a0eb1a3a9e35e1e174ab918d60e39,1063.096313,1157.843872,"1036.5,1127.5,1086.5,1202.5",0.938503,81.361658,27.932266,27.932266,1.514207
GM019IG0002,212,positive_weight_q85,0.85,29,591,222,222,f873b54a867e7f1f5096ce1d88dffe2e102a342cf0e2513e99909f2d3d69e8f2,1067.020874,1148.637817,"1046.5,1137.5,1084.5,1160.5",1.23254,156.324321,-77.105071,77.105071,3.949681
GM019IG0003,213,positive_weight_q50,0.5,12,55,143,143,66e86c6ddd41d10eec0fde49a5d244ba457bf094f0b9b6e2793dac80d80faf40,975.118347,1170.08374,"964.5,1161.5,988.5,1181.5",0.152554,141.178651,-81.594486,81.594486,2.36693
GM019IG0003,213,positive_weight_q70,0.7,17,50,99,99,cf80d66b996fb6f37d5ffc6454f2a6eb6f348028b7dfbaa181ba1324a8ac5a0d,974.063721,1170.687012,"965.5,1163.5,981.5,1180.5",0.172907,133.861684,-88.911454,88.911454,2.003967
GM019IG0003,213,positive_weight_q85,0.85,23,30,47,47,ef8c2c27f67b8f6d340d7df1f9ca45661eb308ea009a5257b0feaa83c63c302c,975.422668,1168.947266,"970.5,1165.5,980.5,1174.5",0.119095,24.822726,-17.950411,17.950411,1.324677
GM019IG0004,216,positive_weight_q50,0.5,13,818,4731,4731,162675b256f20edd082829676576e5e9465ea0629bd17da6154df1d9bed5de88,1072.068481,1155.747314,"999.5,1101.5,1151.5,1201.5",0.99784,161.230151,-74.386721,74.386721,2.215345
GM019IG0004,216,positive_weight_q70,0.7,20,711,987,987,5087f25da6b2ff5d172a3f34e70574d990b331e3ad9b7a81f8dfee7bca010c8d,1072.977905,1217.109619,"1043.5,1188.5,1100.5,1236.5",1.185886,164.143299,-71.473573,71.473573,1.687572
GM019IG0004,216,positive_weight_q85,0.85,29,495,314,314,822692f2f1d7255e872460f1cce331ef67371b3b0895a81287af90bfa24b5990,1026.830322,1173.712402,"1012.5,1156.5,1043.5,1193.5",0.833067,123.909282,68.29241,68.29241,2.569821
GM019IG0005,213,positive_weight_q50,0.5,13,681,7390,7390,136f70c2f6f0914a470477c20a921516be7e006af638662ac538287d43855dfd,1061.423096,1167.400635,"975.5,1099.5,1148.5,1239.5",0.490733,158.315094,-78.237387,78.237387,1.182877
GM019IG0005,213,positive_weight_q70,0.7,20,661,1379,1379,2bec3057579ebcf3c86d4f16fe19ad483c048ee0a045888adf2b0d6cfe79d6c6,1070.024292,1155.346436,"1037.5,1124.5,1120.5,1197.5",0.923506,161.363334,-75.189147,75.189147,1.207797
GM019IG0005,213,positive_weight_q85,0.85,28,522,275,275,a625e25c8f3516e1f0415eb0b454e4a39a31ddb0c642237dabf68272dccf3403,1071.814575,1148.705322,"1049.5,1138.5,1089.5,1162.5",1.126763,158.125112,-78.427369,78.427369,3.463182
GM019IG0006,213,positive_weight_q50,0.5,13,725,7390,7390,b8c99148561b77c0b63dc7c3256073e89d922e0a11660e231e116ab2e96d7b44,1061.425537,1167.406006,"975.5,1099.5,1149.5,1239.5",0.57706,158.380446,-77.628795,77.628795,1.183024
GM019IG0006,213,positive_weight_q70,0.7,20,673,1379,1379,cb0e228c1b6506e2c54094547d61b2a7347a9398b1490d36a408905ac06afd38,1070.024292,1155.346436,"1037.5,1124.5,1120.5,1197.5",1.005133,161.363334,-74.645908,74.645908,1.207797
GM019IG0006,213,positive_weight_q85,0.85,28,522,275,275,48739d7d97c58507c6780b7b1f29e75413f3e564d88c0ba2a3d3996bfaa54695,1071.814575,1148.705322,"1049.5,1138.5,1089.5,1162.5",1.209498,158.125112,-77.88413,77.88413,3.463182
GM019IG0007,39,positive_weight_q50,0.5,8,51,544,544,a54d6b9041d7aa51ba7c2e74b938cc758b227930b063bd4a90e8ed148ff3da15,1010.879517,1142.842529,"982.5,1131.5,1035.5,1153.5",0.192314,2.721058,-48.406647,48.406647,3.159986
GM019IG0007,39,positive_weight_q70,0.7,15,30,310,310,d0c057745835ea432f39e120efdb8bf5d89c64daad9f714f61a8cfacda2fd27a,1012.085754,1143.097168,"987.5,1135.5,1034.5,1150.5",0.216891,4.70418,-46.423525,46.423525,4.046459
GM019IG0007,39,positive_weight_q85,0.85,23,15,132,132,02f457aad2d0aca34064f9a34b2b6e64fadfc670649c9bea00785a14d9e2a1a0,1016.01825,1144.102051,"1003.5,1140.5,1028.5,1149.5",0.312869,3.396606,-47.731099,47.731099,3.72369
GM019IG0008,220,positive_weight_q50,0.5,13,25,207,207,ff89709e2d2a0723958f52874246688e1a6c9241ff0c0d2f3d707f38e96496a8,1006.591553,1162.630737,"995.5,1154.5,1018.5,1173.5",0.085626,152.743589,-75.276846,75.276846,1.862124
GM019IG0008,220,positive_weight_q70,0.7,19,34,116,116,536d12917e6829fff36fb35cdfcb8a1fa085a4a4be69aa632e0485e887aff7a8,1007.384766,1160.766724,"997.5,1154.5,1017.5,1167.5",0.145763,160.676647,-67.343788,67.343788,2.285885
GM019IG0008,220,positive_weight_q85,0.85,26,20,43,43,08af7392569c2d4e295df2b5a915de7716bbadbe5d7099aca913b5b3ec5e5ad5,1003.962646,1162.310181,"997.5,1157.5,1010.5,1167.5",0.086488,164.706897,-63.313538,63.313538,1.704358
GM019IG0009,40,positive_weight_q50,0.5,7,212,1506,1506,88d01d89dac2a88c4e87bb12a72a6b55a98fcbc430fb8189ab22bdfb8bf8b3bd,1049.229492,1141.724976,"988.5,1111.5,1090.5,1164.5",0.268481,177.561504,-61.054395,61.054395,3.929277
GM019IG0009,40,positive_weight_q70,0.7,12,93,986,986,ef2b23c4e1cb99f64be43679c55c77638bb78dfb567f3cc191a6353e52462194,1049.730713,1142.324585,"988.5,1122.5,1090.5,1163.5",0.271037,177.255728,-61.360171,61.360171,4.87835
GM019IG0009,40,positive_weight_q85,0.85,20,47,293,293,c53b8d74f745b93cb2f3d97776ba83c1de361a7628ee4fea67d28653a41ad2c6,1070.33252,1141.250244,"1044.5,1130.5,1090.5,1155.5",0.867302,155.04582,-83.570079,83.570079,3.299816
GM019IG0010,224,positive_weight_q50,0.5,13,607,5241,5241,99300412c221cc179b013b62cda368647389ba3b4b6adc65770473c10b081f92,1076.111328,1156.061646,"1004.5,1100.5,1148.5,1198.5",0.753578,176.503293,-63.911869,63.911869,2.04249
GM019IG0010,224,positive_weight_q70,0.7,21,510,2205,2205,8f9c0f7f57cb15b82c40992fa8eea1eef7c421a67a40658698a184cfff7f090c,1085.411987,1155.499878,"1030.5,1124.5,1146.5,1196.5",0.893109,173.03115,-67.384013,67.384013,1.962805
GM019IG0010,224,positive_weight_q85,0.85,32,407,313,313,41bbd41eeba91e4e09b9529fbb7b8b7d5c915a66dc533f5f441bc56317bf036d,1055.80481,1172.117798,"1040.5,1150.5,1068.5,1191.5",0.448294,115.398872,54.98371,54.98371,3.230789
GM019IG0011,224,positive_weight_q50,0.5,13,673,7666,7666,07823417d125ac65222287a8882028cbbf1ddf61bcfc3408daac3ed50745bd4b,1080.22937,1171.393799,"1004.5,1100.5,1149.5,1237.5",0.495029,22.450301,-37.467347,37.467347,1.168333
GM019IG0011,224,positive_weight_q70,0.7,21,522,2463,2463,604b5048440f5880a7e07252ab6e24a79769fe5a7e66d0862fe6f76173f48314,1083.737793,1155.404907,"1019.5,1124.5,1146.5,1198.5",0.94568,173.142058,-66.77559,66.77559,2.038637
GM019IG0011,224,positive_weight_q85,0.85,32,420,339,339,fbbbfb3f02bafde6f820aa3bf7b0ff50c87653ec9dacabd863376a2aac1528e3,1055.769409,1172.261475,"1040.5,1150.5,1068.5,1191.5",0.499645,114.650084,54.732437,54.732437,3.228743
GM019IG0012,212,positive_weight_q50,0.5,12,33,142,142,5f65532e707889e68bf407e405ad483718ff4ade7bc89cbba94be83741861178,1017.030762,1220.697632,"1011.5,1209.5,1022.5,1232.5",0.157881,89.591953,52.565225,52.565225,2.326894
GM019IG0012,212,positive_weight_q70,0.7,19,26,61,61,670daa30bd9855e1db367abe293aa1c60a014a51b070df919ec3fe930bdd0777,1006.811401,1235.6604,"1000.5,1230.5,1012.5,1241.5",0.385731,146.169916,-70.856813,70.856813,1.24399
GM019IG0012,212,positive_weight_q85,0.85,26,23,37,37,891a83c1dca7b6241d8e5bf2f1444497e8aec94dd145b028c0ff7ed25cbc77d5,1007.174805,1235.987427,"1004.5,1232.5,1011.5,1241.5",0.388041,119.999032,82.972303,82.972303,1.759222
GM019IG0013,213,positive_weight_q50,0.5,50,43,549,549,a4b1a5bc359ebb3112d8d6a9478aef1c7093f32e046df932e392a3ad396b6abf,1012.978577,1224.424438,"999.5,1205.5,1028.5,1243.5",0.111558,114.252893,78.016802,78.016802,1.726794
GM019IG0013,213,positive_weight_q70,0.7,58,42,316,316,9d222dcf8d75e2401afc2c15a3038fe4ec5d7077c882ee54f9fdca810d4703b4,1012.547485,1225.911987,"1000.5,1209.5,1024.5,1242.5",0.076306,112.207029,75.970938,75.970938,1.811258
GM019IG0013,213,positive_weight_q85,0.85,65,27,75,75,844ab5eea2e0fff9d5869baba7773817d82b78ac375afe9b8276dc5a32e8acdf,1012.734558,1234.157349,"1007.5,1227.5,1022.5,1242.5",0.188581,138.793266,-77.442825,77.442825,3.051544
GM019IG0014,27,positive_weight_q50,0.5,15,4,46,46,9249857f2c9a1a121cdc6e79bee7c0b06e1a1d59f87965af192892267881ee39,1012.223999,1133.967285,"1006.5,1129.5,1018.5,1139.5",0.006791,147.955749,-86.20447,86.20447,3.394697
