event_id,sar_frame,response_track_id,gap_class,missing_frames_before,last_reliable_state_before_missing,prior_predicted_response_x,prior_predicted_response_y,first_reassociated_response_x,first_reassociated_response_y,relative_structure_residual_px,background_conflict,final_confirmation_state
REAPP_CAND_000362_RT_D1_R1_0007,362,RT_D1_R1_0007,one_frame_reassociation,1,motion_shell_candidate,1133.839151,942.740576,1126.282744,919.726611,24.222755,false,candidate_only_at_first_hit
REAPP_CAND_000363_RT_D1_R1_0005,363,RT_D1_R1_0005,one_frame_reassociation,1,same_motion_candidate,1185.942187,956.566767,1179.933284,960.515938,7.190471,false,candidate_only_at_first_hit
REAPP_CAND_000364_RT_D1_R1_0002,364,RT_D1_R1_0002,short_gap_reappearance,3,motion_shell_candidate,1080.006525,962.136973,1059.022117,960.00316,21.092618,false,candidate_only_at_first_hit
REAPP_CAND_000366_RT_D1_R1_0002,366,RT_D1_R1_0002,one_frame_reassociation,1,reappearance_candidate,1093.974367,961.852435,1079.817518,957.984489,14.675741,false,candidate_only_at_first_hit
REAPP_CAND_000366_RT_D1_R1_0005,366,RT_D1_R1_0005,short_gap_reappearance,2,reappearance_candidate,1211.4684,956.840543,1206.748882,973.518469,17.332833,false,candidate_only_at_first_hit
REAPP_CAND_000367_RT_D1_R1_0007,367,RT_D1_R1_0007,short_gap_reappearance,2,reappeared_supported,1168.59508,933.663599,1169.48121,917.895509,15.79297,false,candidate_only_at_first_hit
REAPP_CAND_000369_RT_D1_R1_0002,369,RT_D1_R1_0002,one_frame_reassociation,1,reappearance_provisionally_supported,1110.488821,962.937738,1098.061658,958.879839,13.072908,false,candidate_only_at_first_hit
REAPP_CAND_000369_RT_D1_R1_0015,369,RT_D1_R1_0015,one_frame_reassociation,1,motion_shell_candidate,1135.329581,932.835702,1137.210021,947.378174,14.663545,false,candidate_only_at_first_hit
REAPP_CAND_000370_RT_D1_R1_0001,370,RT_D1_R1_0001,long_gap_reappearance,8,same_motion_candidate,1202.376793,959.440496,1185.065434,954.802276,17.921949,false,candidate_only_at_first_hit
REAPP_CAND_000370_RT_D1_R1_0007,370,RT_D1_R1_0007,one_frame_reassociation,1,reappearance_provisionally_supported,1187.502077,930.453376,1199.236905,949.835714,22.657918,false,candidate_only_at_first_hit
REAPP_CAND_000374_RT_D1_R1_0002,374,RT_D1_R1_0002,short_gap_reappearance,2,reappeared_supported,1126.620143,963.697501,1143.476301,947.091686,23.661851,false,candidate_only_at_first_hit
REAPP_CAND_000375_RT_D1_R1_0004,375,RT_D1_R1_0004,short_gap_reappearance,2,same_motion_supported,1194.715812,922.768884,1208.088481,919.487479,13.769383,false,candidate_only_at_first_hit
REAPP_CAND_000375_RT_D1_R1_0007,375,RT_D1_R1_0007,short_gap_reappearance,4,reappearance_candidate,1210.891098,933.945243,1227.023652,919.229896,21.835767,false,candidate_only_at_first_hit
REAPP_CAND_000375_RT_D1_R1_0014,375,RT_D1_R1_0014,short_gap_reappearance,2,same_motion_supported,1164.213173,940.081802,1149.747417,955.216992,20.936382,false,candidate_only_at_first_hit
REAPP_CAND_000376_RT_D1_R1_0001,376,RT_D1_R1_0001,short_gap_reappearance,3,reappeared_supported,1229.506098,954.145473,1250.982812,956.727344,21.63135,false,candidate_only_at_first_hit
REAPP_CAND_000376_RT_D1_R1_0016,376,RT_D1_R1_0016,one_frame_reassociation,1,motion_shell_candidate,1205.038421,954.911274,1202.828114,975.804079,21.009397,false,candidate_only_at_first_hit
REAPP_CAND_000376_RT_D1_R1_0017,376,RT_D1_R1_0017,one_frame_reassociation,1,motion_shell_candidate,1196.527661,970.647003,1191.266267,974.696062,6.639061,false,candidate_only_at_first_hit
REAPP_CAND_000377_RT_D1_R1_0014,377,RT_D1_R1_0014,one_frame_reassociation,1,reappearance_candidate,1177.468899,941.883181,1167.742275,956.698882,17.723211,false,candidate_only_at_first_hit
REAPP_CAND_000379_RT_D1_R1_0001,379,RT_D1_R1_0001,short_gap_reappearance,2,reappearance_candidate,1252.629154,956.045354,1231.412729,957.369387,21.257698,false,candidate_only_at_first_hit
REAPP_CAND_000379_RT_D1_R1_0007,379,RT_D1_R1_0007,short_gap_reappearance,2,reappearance_provisionally_supported,1242.707003,929.373098,1252.345646,917.133245,15.579391,false,candidate_only_at_first_hit
REAPP_CAND_000380_RT_D1_R1_0004,380,RT_D1_R1_0004,short_gap_reappearance,4,reappearance_candidate,1229.462268,921.155671,1233.828652,917.810393,5.500563,false,candidate_only_at_first_hit
REAPP_CAND_000380_RT_D1_R1_0011,380,RT_D1_R1_0011,one_frame_reassociation,1,same_motion_supported,1192.772757,928.47061,1178.944801,922.250321,15.162598,false,candidate_only_at_first_hit
REAPP_CAND_000380_RT_D1_R1_0016,380,RT_D1_R1_0016,short_gap_reappearance,3,reappearance_candidate,1229.427125,959.058993,1236.490043,957.157895,7.3143,false,candidate_only_at_first_hit
REAPP_CAND_000381_RT_D1_R1_0007,381,RT_D1_R1_0007,one_frame_reassociation,1,reappearance_candidate,1254.610704,924.036855,1267.859736,916.79538,15.098868,false,candidate_only_at_first_hit
REAPP_CAND_000383_RT_D1_R1_0002,383,RT_D1_R1_0002,short_gap_reappearance,2,same_motion_supported,1191.445719,950.489726,1177.103316,968.595401,23.098052,false,candidate_only_at_first_hit
REAPP_CAND_000383_RT_D1_R1_0016,383,RT_D1_R1_0016,one_frame_reassociation,1,reappearance_provisionally_supported,1251.657086,955.272329,1257.573538,965.671895,11.964755,false,candidate_only_at_first_hit
REAPP_CAND_000384_RT_D1_R1_0001,384,RT_D1_R1_0001,one_frame_reassociation,1,same_motion_supported,1281.97724,951.312732,1263.931902,957.572393,19.100198,false,candidate_only_at_first_hit
REAPP_CAND_000384_RT_D1_R1_0012,384,RT_D1_R1_0012,one_frame_reassociation,1,same_motion_supported,1222.894988,965.990235,1228.058002,966.382903,5.177924,false,candidate_only_at_first_hit
REAPP_CAND_000384_RT_D1_R1_0014,384,RT_D1_R1_0014,long_gap_reappearance,5,reappearance_provisionally_supported,1216.080159,944.929561,1207.431456,954.739639,13.078138,false,candidate_only_at_first_hit
REAPP_CAND_000386_RT_D1_R1_0007,386,RT_D1_R1_0007,short_gap_reappearance,3,reappearance_provisionally_supported,1288.674142,923.176212,1282.34787,901.024341,23.037515,false,candidate_only_at_first_hit
REAPP_CAND_000388_RT_D1_R1_0016,388,RT_D1_R1_0016,short_gap_reappearance,4,reappearance_candidate,1285.164265,955.602391,1279.096624,957.004657,6.227569,false,candidate_only_at_first_hit
REAPP_CAND_000389_RT_D1_R1_0018,389,RT_D1_R1_0018,one_frame_reassociation,1,same_motion_supported,1264.610637,921.036649,1260.327638,924.438191,5.469421,false,candidate_only_at_first_hit
REAPP_CAND_000390_RT_D1_R1_0002,390,RT_D1_R1_0002,one_frame_reassociation,1,same_motion_supported,1233.759786,950.873961,1250.603252,944.765854,17.916789,false,candidate_only_at_first_hit
REAPP_CAND_000390_RT_D1_R1_0007,390,RT_D1_R1_0007,short_gap_reappearance,3,reappearance_candidate,1315.863474,914.493963,1307.259322,918.191525,9.365009,false,candidate_only_at_first_hit
REAPP_CAND_000391_RT_D1_R1_0014,391,RT_D1_R1_0014,long_gap_reappearance,6,reappearance_candidate,1262.94816,942.099041,1256.039643,944.436075,7.293101,false,candidate_only_at_first_hit
REAPP_CAND_000391_RT_D1_R1_0016,391,RT_D1_R1_0016,short_gap_reappearance,2,reappearance_candidate,1306.079968,954.852091,1307.972079,964.054164,9.394586,false,candidate_only_at_first_hit
