path_id,extraction_profile,spatial_control_count,temporal_control_count,static_matched_control_count,target_response_score,target_spatial_empirical_percentile,target_temporal_empirical_percentile,spatial_effect_size,temporal_effect_size,control_median,control_mad,control_variance,control_distribution_status
WGV34A_PATH_0000001,strict_physical_path,8,20,20,4.110263,87.5,65,3.44568925,0.33376358,3.430664,0.5162525,1.21548007,control_distribution_sparse
WGV34A_PATH_0000002,strict_physical_path,20,20,20,5.807617,100,100,6.6779881,7.57828091,3.2405595,0.308756,0.90003765,control_distribution_ok
WGV34A_PATH_0000003,strict_physical_path,0,0,0,2.872585,,,,,,,,insufficient_length
WGV34A_PATH_0000004,strict_physical_path,0,20,20,3.746875,0,75,0,0.66181423,3.3926755,0.4060055,0.89584745,control_distribution_sparse
WGV34A_PATH_0000005,strict_physical_path,20,20,20,3.338379,55,25,0.14080645,-0.57115501,3.369086,0.5256895,0.79947036,control_distribution_ok
WGV34A_PATH_0000006,strict_physical_path,20,20,20,3.358398,65,65,0.26572705,0.26804354,3.264737,0.4282455,0.6170878,control_distribution_ok
WGV34A_PATH_0000007,strict_physical_path,20,20,20,2.824749,25,20,-0.64855092,-0.7926055,3.2447175,0.4122955,0.87691767,control_distribution_ok
WGV34A_PATH_0000008,strict_physical_path,0,0,0,3.155111,,,,,,,,insufficient_length
WGV34A_PATH_0000009,strict_physical_path,0,0,0,3.136841,,,,,,,,insufficient_length
WGV34A_PATH_0000010,strict_physical_path,0,0,0,2.9487305,,,,,,,,insufficient_length
WGV34A_PATH_0000011,strict_physical_path,0,0,0,4.2680665,,,,,,,,insufficient_length
WGV34A_PATH_0000012,strict_physical_path,0,0,0,3.1354165,,,,,,,,insufficient_length
WGV34A_PATH_0000013,strict_physical_path,0,0,0,3.4088545,,,,,,,,insufficient_length
WGV34A_PATH_0000014,strict_physical_path,0,0,0,2.9747725,,,,,,,,insufficient_length
WGV34A_PATH_0000015,strict_physical_path,20,20,20,3.5989395,85,95,1.66705194,1.44799359,3.123291,0.2841795,0.7065172,control_distribution_ok
WGV34A_PATH_0000016,strict_physical_path,20,20,20,3.729126,100,100,2.58694807,2.6898778,3.0512695,0.262695,0.37789912,control_distribution_ok
WGV34A_PATH_0000017,strict_physical_path,0,0,0,2.8199465,,,,,,,,insufficient_length
WGV34A_PATH_0000018,strict_physical_path,0,0,0,2.714355,,,,,,,,insufficient_length
WGV34A_PATH_0000019,strict_physical_path,20,20,20,5.724609,100,95,7.04491114,2.48382824,3.57312,0.500098,0.79038752,control_distribution_ok
WGV34A_PATH_0000020,strict_physical_path,20,20,20,7.9623325,100,90,9.40502221,1.08984803,4.2441405,1.20638,3.86809913,control_distribution_ok
WGV34A_PATH_0000021,strict_physical_path,20,20,20,7.3427085,100,100,11.95329424,2.99906497,3.724121,0.7731935,1.7055105,control_distribution_ok
WGV34A_PATH_0000022,strict_physical_path,0,0,0,3.0400395,,,,,,,,insufficient_length
WGV34A_PATH_0000023,strict_physical_path,0,0,0,3.0048015,,,,,,,,insufficient_length
WGV34A_PATH_0000024,strict_physical_path,0,0,0,3.641113,,,,,,,,insufficient_length
WGV34A_PATH_0000025,strict_physical_path,20,20,20,4.889974,100,80,4.0917263,2.28802043,3.3044655,0.4676245,0.7108459,control_distribution_ok
WGV34A_PATH_0000026,strict_physical_path,19,20,20,4.220703,78.94736842,100,1.92492129,3.01403878,3.109375,0.385254,1.0831663,control_distribution_ok
WGV34A_PATH_0000027,strict_physical_path,0,0,0,3.080458,,,,,,,,insufficient_length
WGV34A_PATH_0000028,strict_physical_path,20,20,20,2.789714,15,25,-0.93838091,-0.47895732,3.1088865,0.317708,0.438496,control_distribution_ok
WGV34A_PATH_0000029,strict_physical_path,0,0,0,3.0749515,,,,,,,,insufficient_length
WGV34A_PATH_0000030,strict_physical_path,20,20,20,2.8703615,30,25,-0.463355,-0.91961065,3.112915,0.373047,0.28937237,control_distribution_ok
WGV34A_PATH_0000031,strict_physical_path,0,0,0,2.980957,,,,,,,,insufficient_length
WGV34A_PATH_0000032,strict_physical_path,20,20,20,3.143799,65,70,0.52994702,0.46365613,3.05013,0.359741,1.1651693,control_distribution_ok
WGV34A_PATH_0000033,strict_physical_path,0,0,0,3.608887,,,,,,,,insufficient_length
WGV34A_PATH_0000034,strict_physical_path,18,20,20,3.152995,61.11111111,25,0.28500998,-0.55929551,3.285547,0.476237,0.82661767,control_distribution_ok
WGV34A_PATH_0000035,strict_physical_path,20,20,20,2.816553,10,30,-0.860954,-0.49304423,3.025228,0.308225,0.3695737,control_distribution_ok
WGV34A_PATH_0000036,strict_physical_path,0,0,0,3.1835935,,,,,,,,insufficient_length
WGV34A_PATH_0000037,strict_physical_path,0,0,0,3.888184,,,,,,,,insufficient_length
WGV34A_PATH_0000038,strict_physical_path,0,20,20,5.16333,0,90,0,2.53861717,3.6738285,0.487793,2.13256648,control_distribution_sparse
WGV34A_PATH_0000039,strict_physical_path,17,20,20,5.7689035,100,95,4.23211048,1.28299577,3.60026,0.573753,0.61506949,control_distribution_ok
WGV34A_PATH_0000040,strict_physical_path,0,0,0,3.262044,,,,,,,,insufficient_length
WGV34A_PATH_0000041,strict_physical_path,0,0,0,3.089681,,,,,,,,insufficient_length
WGV34A_PATH_0000042,strict_physical_path,0,0,0,2.801432,,,,,,,,insufficient_length
