scene,response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,sar_gray_image_relpath,core_bbox,conservative_bbox,uncertain_envelope,response_state,calibration_status,max_range_m,radial_grid_spacing_m_per_px,sar_fan_center_x_px,sar_fan_center_y_px,geometry_origin_status,gt_file_opened,paired_annotations_opened,mask_audit_opened,generation_input_scope,response_center_x,response_center_y,absolute_range_px,absolute_range_m,azimuth_angle_deg,range_unit_x,range_unit_y,azimuth_unit_x,azimuth_unit_y,pixel_count,rect_pixel_count,raw_intensity_sum,background_estimate,background_sample_count,background_source,background_subtracted_energy,energy_valid,range_weighted_mean_px,azimuth_weighted_mean_px,range_p50_width_px,range_p80_width_px,range_p90_width_px,azimuth_p50_width_px,azimuth_p80_width_px,azimuth_p90_width_px,range_p50_width_m,range_p80_width_m,range_p90_width_m,azimuth_p50_width_m,azimuth_p80_width_m,azimuth_p90_width_m,range_to_azimuth_p80_ratio,principal_axis_major_std_px,principal_axis_minor_std_px,principal_axis_ratio,principal_axis_angle_image_deg,principal_axis_angle_to_range_deg,principal_axis_angle_to_azimuth_deg,yaw_proxy_major_axis_deg,yaw_proxy_shape_class,energy_centroid_x,energy_centroid_y,energy_centroid_range_m,energy_centroid_azimuth_px,energy_centroid_offset_px,distance_to_fan_boundary_px,distance_to_fan_boundary_m,touches_display_fan_boundary,near_fan_boundary_side,boundary_family_id,boundary_variant_count,multiple_boundary_variant_uncertainty,scale_yaw_feasible,best_yaw_deg,yaw_feasible_interval_deg,best_scale_length_m,best_scale_width_m,scale_yaw_residual_m,min_extra_blur_margin_m
GM_RM019,R21B00001,R21B00001,R21R1F00001,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1036,1131,1186,1203","1036,1131,1186,1203","1006,1131,1186,1233",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1111,1167,169.156614,5.074698,-14.726323,-0.254202,-0.967151,0.967151,-0.254202,10800,10800,586545,43,16524,local_ring_excluding_frozen_responses,137506,true,2.875286,5.221766,26.142635,46.683365,58.587128,56.287483,102.46244,122.331604,0.784279,1.400501,1.757614,1.688624,3.073873,3.669948,0.455614,37.957641,17.383459,2.183549,6.824619,68.449058,21.550942,68.449058,azimuth_dominant,1115.319214,1162.891846,5.163333,5.221635,5.960918,127.6,3.828,false,near_range_bottom_display,R21R11BF00001,2,true,true,90,76-104,3.1,1.4,0.026131,0
GM_RM019,R21B00002,R21B00002,R21R1F00002,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1096,1209,1144,1233","1096,1209,1144,1233","1030,1131,1186,1233",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1120,1221,114.752603,3.442578,-17.234882,-0.29629,-0.955098,0.955098,-0.29629,1152,1152,66779,43,1394,local_ring_excluding_frozen_responses,18150,true,-0.99844,3.410593,9.352293,15.347799,19.659683,13.800121,30.134392,37.315056,0.280569,0.460434,0.58979,0.414004,0.904032,1.119452,0.509312,12.192081,4.999492,2.438664,2.490863,70.274255,19.725745,70.274255,azimuth_dominant,1123.553223,1220.942993,3.414162,3.410567,3.55368,97.6,2.928,false,near_range_bottom_display,R21R11BF00002,1,false,false,90,,3,1.4,2.296926,0
GM_RM019,R21B00003,R21B00003,R21R1F00003,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1084,1131,1108,1149","1084,1131,1108,1149","1006,1131,1186,1233",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1096,1140,199.229415,5.976882,-16.925121,-0.291122,-0.956686,0.956686,-0.291122,432,432,25546,48,440,local_ring_excluding_frozen_responses,5495,true,2.511773,-1.421419,4.201187,8.526854,11.022469,6.613481,13.226962,17.137028,0.126036,0.255806,0.330674,0.198404,0.396809,0.514111,0.644657,5.271869,3.444792,1.530388,14.532318,58.542562,31.457438,58.542562,azimuth_dominant,1093.908936,1138.010864,6.052385,-1.421412,2.886037,181.6,5.448,false,near_range_bottom_display,R21R11BF00003,1,false,false,90,,3,1.4,2.843551,0
GM_RM019,R21B00004,R21B00004,R21R1F00004,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1006,1131,1018,1137","1006,1131,1018,1137","1006,1131,1186,1233",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1012,1134,242.519195,7.275576,-35.839781,-0.585521,-0.810657,0.810657,-0.585521,72,72,4347,43,760,local_ring_excluding_frozen_responses,1280,true,-0.126599,0.016497,1.711205,3.377877,4.548919,4.053288,7.206028,8.827343,0.051336,0.101336,0.136468,0.121599,0.216181,0.26482,0.468757,2.930093,1.374935,2.131077,17.665645,36.494574,53.505426,36.494574,azimuth_dominant,1012.087524,1134.093018,7.271776,0.016489,0.127722,193.6,5.808,false,near_range_bottom_display,R21R11BF00004,1,false,false,90,,3,1.4,3.071836,0
GM_RM019,R21B00005,R21B00005,R21R1F00005,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1030,1221,1042,1233","1030,1221,1042,1233","1006,1131,1186,1233",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1036,1227,157.025348,4.71076,-48.717964,-0.751471,-0.659766,0.659766,-0.751471,144,144,7892,39,600,local_ring_excluding_frozen_responses,2366,true,-0.009973,0.904716,2.914179,5.736653,7.239595,5.644948,8.834243,10.813541,0.087425,0.1721,0.217188,0.169348,0.265027,0.324406,0.649366,3.586292,2.26143,1.585852,50.013798,8.731762,81.268238,8.731762,azimuth_dominant,1036.60437,1226.32666,4.710541,0.904738,0.904793,97.6,2.928,false,near_range_bottom_display,R21R11BF00005,1,false,false,90,,3,1.4,2.997968,0
GM_RM019,R21B00006,R21B00006,R21R1F00001,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1036,1131,1186,1233","1036,1131,1186,1233","1006,1131,1186,1233",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1111,1182,154.696348,4.64089,-16.138721,-0.277964,-0.960592,0.960592,-0.277964,15300,15300,794663,41,23184,local_ring_excluding_frozen_responses,186250,true,7.837987,5.877859,33.236721,69.183273,91.174744,53.817692,102.526016,122.441154,0.997102,2.075498,2.735242,1.614531,3.07578,3.673235,0.674787,37.532503,26.90569,1.394965,10.110665,63.750614,26.249386,63.750614,azimuth_dominant,1114.467529,1172.837036,4.879218,5.877852,9.797125,97.6,2.928,false,near_range_bottom_display,R21R11BF00001,2,true,true,87,58-122,3,1.9,0.028758,0
GM_RM019,R21B00007,R21B00007,R21R1F00006,28,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000028.png,"1036,1131,1192,1203","1036,1131,1192,1203","1006,1131,1192,1233",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1114,1167,168.419001,5.05257,-13.739206,-0.237503,-0.971387,0.971387,-0.237503,11232,11232,598838,43,16704,local_ring_excluding_frozen_responses,135699,true,3.31088,3.673496,26.246447,47.768959,58.608589,55.758556,102.081123,122.050369,0.787393,1.433069,1.758258,1.672757,3.062434,3.661511,0.467951,37.958944,17.612525,2.155224,6.858407,69.402387,20.597613,69.402387,azimuth_dominant,1116.782104,1162.911499,5.153071,3.67353,4.945295,127.6,3.828,false,near_range_bottom_display,R21R11BF00006,2,true,true,89,75-105,3,1.4,0.042928,0
GM_RM019,R21B00008,R21B00008,R21R1F00007,28,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000028.png,"1096,1203,1150,1233","1096,1203,1150,1233","1036,1131,1192,1233",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1123,1218,116.789383,3.503681,-15.392807,-0.265435,-0.964129,0.964129,-0.265435,1620,1620,92890,44,1748,local_ring_excluding_frozen_responses,23549,true,-3.789033,2.744915,9.403252,17.674553,22.592808,14.532143,31.773438,39.529278,0.282098,0.530237,0.677784,0.435964,0.953203,1.185878,0.556268,12.508197,6.351887,1.96921,0.633383,73.97381,16.02619,73.97381,azimuth_dominant,1126.652222,1220.924561,3.391009,2.744931,4.678865,97.6,2.928,false,near_range_bottom_display,R21R11BF00007,1,false,false,90,,3,1.4,2.22393,0
GM_RM019,R21B00009,R21B00009,R21R1F00008,28,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000028.png,"1084,1131,1114,1149","1084,1131,1114,1149","1006,1131,1192,1233",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1099,1140,198.376813,5.951304,-16.096153,-0.27725,-0.960798,0.960798,-0.27725,540,540,32068,50,572,local_ring_excluding_frozen_responses,6397,true,2.340758,-1.169011,4.177907,8.260038,11.161587,7.834585,15.927264,20.324955,0.125337,0.247801,0.334848,0.235038,0.477818,0.609749,0.51861,6.169844,3.421691,1.803157,13.74503,60.158817,29.841183,60.158817,azimuth_dominant,1097.227783,1138.075073,6.021631,-1.169056,2.616504,181.6,5.448,false,near_range_bottom_display,R21R11BF00008,1,false,false,90,,3,1.4,2.772898,0
GM_RM019,R21B00010,R21B00010,R21R1F00009,28,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000028.png,"1006,1131,1024,1143","1006,1131,1024,1143","1006,1131,1192,1203",local_response_unit_not_complete_vehicle,PROJECT_CONFIRMED,40,0.03,1154,1330.6,project_confirmed_fan_center_px_1154_0_1330_6,false,false,false,sar_gray+local_response_units+boundary_variant_families+project_confirmed_calibration_only,1015,1137,238.331618,7.149949,-35.67741,-0.583221,-0.812314,0.812314,-0.583221,216,216,11233,40,1000,local_ring_excluding_frozen_responses,2739,true,0.538931,1.198426,2.916105,7.769008,10.72707,5.707174,10.685112,13.143032,0.087483,0.23307,0.321812,0.171215,0.320553,0.394291,0.727087,4.21417,3.016785,1.396908,16.619287,37.703304,52.296696,37.703304,azimuth_dominant,1015.65918,1135.863281,7.166206,1.198419,1.31402,187.6,5.628,false,near_range_bottom_display,R21R11BF00009,1,false,false,90,,3,1.4,2.922526,0
