failure_id,pair_id,scene,thread_id,split_role,failure_type,time_error,azimuth_error,radial_error,visibility_state,dominant_layer,notes
WGV35A_FAIL_001,WGV35A_PAIR_0173,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,test,radial_miss,0.3333,2.517,120.4975,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,radial_miss,holdout failure; no annotation modification
WGV35A_FAIL_002,WGV35A_PAIR_0204,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,external_scene_test,azimuth_miss;radial_miss,0.0833,9.9725,256.4464,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_003,WGV35A_PAIR_0205,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,external_scene_test,azimuth_miss;radial_miss,0.25,12.7186,262.4874,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_004,WGV35A_PAIR_0206,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,external_scene_test,azimuth_miss;radial_miss,0.0833,19.6172,238.4773,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_005,WGV35A_PAIR_0207,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,external_scene_test,azimuth_miss;radial_miss,0.25,19.873,253.2225,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_006,WGV35A_PAIR_0208,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,external_scene_test,azimuth_miss;radial_miss,0.5,12.6077,238.2681,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_007,WGV35A_PAIR_0209,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,external_scene_test,radial_miss,0.5,1.0132,281.7394,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,radial_miss,holdout failure; no annotation modification
WGV35A_FAIL_008,WGV35A_PAIR_0210,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,external_scene_test,azimuth_miss;radial_miss,0.25,18.1834,274.2814,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_009,WGV35A_PAIR_0211,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,external_scene_test,azimuth_miss;radial_miss,0.0833,17.5133,272.3104,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_010,WGV35A_PAIR_0212,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,external_scene_test,azimuth_miss;radial_miss,0.5,13.2407,268.3871,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_011,WGV35A_PAIR_0213,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,external_scene_test,azimuth_miss;radial_miss,0.4167,13.2658,258.7801,visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_012,WGV35A_PAIR_0214,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,external_scene_test,azimuth_miss;radial_miss;edge_truncation_failure,0.4167,14.1665,267.9751,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
WGV35A_FAIL_013,WGV35A_PAIR_0215,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,external_scene_test,azimuth_miss;radial_miss;edge_truncation_failure,0.3333,13.7392,272.1175,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,azimuth_miss,holdout failure; no annotation modification
