relation_id,scene,source_auto_node_id,target_auto_node_id,source_tracklet_segment_id,target_tracklet_segment_id,time_gap_frames,center_distance_px,bottom_center_distance_px,motion_extrapolation_error_px,normalized_motion_error,bbox_area_ratio,bbox_aspect_ratio_delta,appearance_cosine,appearance_evidence_status,source_edge_contact_ratio,target_edge_contact_ratio,source_competitor_count,target_competitor_count,candidate_score_not_selector,pre_competition_status,relation_status,supporting_evidence,conflicting_evidence,uncertainty_sources,competitor_ids,decision_reason_code
REL_GM_RM011_00001,GM_RM011,AUTO_GM_RM011_0002,AUTO_GM_RM011_0003,GM_RM011__botsort__raw__bs_0002__seg_001,GM_RM011__botsort__raw__bs_0004__seg_001,6,300.540125,336.326207,368.327128,0.917065,20.951388,1.519948,0.737848,appearance_unreliable,0.000000,0.000000,0,0,0.735354,ambiguous_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent,bbox_size_jump,appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00002,GM_RM011,AUTO_GM_RM011_0002,AUTO_GM_RM011_0004,GM_RM011__botsort__raw__bs_0002__seg_001,GM_RM011__botsort__raw__bs_0001__seg_002,13,305.264672,340.307803,471.946775,1.172265,20.740835,1.534704,0.728218,appearance_unreliable,0.000000,0.000000,0,0,0.703713,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent,bbox_size_jump,medium_forward_gap;appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00003,GM_RM011,AUTO_GM_RM011_0002,AUTO_GM_RM011_0005,GM_RM011__botsort__raw__bs_0002__seg_001,GM_RM011__botsort__raw__bs_0001__seg_003,15,268.535991,308.638652,475.340621,1.715368,19.811699,1.384483,0.834052,appearance_support,0.000000,0.000000,0,0,0.639526,ambiguous_continuity,ambiguous_continuity,appearance_cosine_support,bbox_size_jump,medium_forward_gap;motion_extrapolation_weak,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00004,GM_RM011,AUTO_GM_RM011_0002,AUTO_GM_RM011_0006,GM_RM011__botsort__raw__bs_0002__seg_001,GM_RM011__botsort__raw__bs_0009__seg_001,16,725.111222,740.316727,861.619881,2.538041,3.612721,0.089949,0.792011,appearance_unreliable,0.000000,0.000000,0,0,0.463181,blocked_continuity,blocked_continuity,,motion_extrapolation_conflict;bbox_size_jump;blocked_by_combined_evidence,medium_forward_gap;appearance_unreliable,,motion_and_size_conflict
REL_GM_RM011_00005,GM_RM011,AUTO_GM_RM011_0002,AUTO_GM_RM011_0007,GM_RM011__botsort__raw__bs_0002__seg_001,GM_RM011__botsort__raw__bs_0011__seg_001,20,675.235310,692.246681,866.743690,2.934372,7.238521,0.235311,0.746450,appearance_unreliable,0.000000,0.000000,0,0,0.398562,blocked_continuity,blocked_continuity,,motion_extrapolation_conflict;bbox_size_jump;blocked_by_combined_evidence,medium_forward_gap;appearance_unreliable,,motion_and_size_conflict
REL_GM_RM011_00006,GM_RM011,AUTO_GM_RM011_0002,AUTO_GM_RM011_0008,GM_RM011__botsort__raw__bs_0002__seg_001,GM_RM011__botsort__raw__bs_0013__seg_001,36,728.457515,736.334127,1112.334852,4.295141,2.662851,0.059596,0.622974,appearance_conflict,0.000000,0.000000,0,0,0.352902,blocked_continuity,blocked_continuity,bbox_size_compatible,long_forward_gap;motion_extrapolation_conflict;appearance_cosine_conflict;blocked_by_combined_evidence,,,appearance_and_motion_conflict
REL_GM_RM011_00007,GM_RM011,AUTO_GM_RM011_0002,AUTO_GM_RM011_0009,GM_RM011__botsort__raw__bs_0002__seg_001,GM_RM011__botsort__raw__bs_0015__seg_001,49,487.960472,515.383587,1153.860474,2.791289,22.980469,1.165805,0.706548,appearance_unreliable,0.000000,0.000000,0,0,0.483974,blocked_continuity,blocked_continuity,,long_forward_gap;motion_extrapolation_conflict;bbox_size_jump;blocked_by_combined_evidence,appearance_unreliable,,motion_and_size_conflict
REL_GM_RM011_00008,GM_RM011,AUTO_GM_RM011_0002,AUTO_GM_RM011_0010,GM_RM011__botsort__raw__bs_0002__seg_001,GM_RM011__botsort__raw__bs_0009__seg_002,51,168.042504,232.148927,1036.435109,3.080976,15.063681,0.660226,0.708783,appearance_unreliable,0.000000,0.000000,0,0,0.505296,not_candidate,not_candidate,,long_forward_gap;motion_extrapolation_conflict;bbox_size_jump;not_candidate_under_fixed_policy,appearance_unreliable,,insufficient_time_motion_appearance_support
REL_GM_RM011_00009,GM_RM011,AUTO_GM_RM011_0001,AUTO_GM_RM011_0004,GM_RM011__botsort__raw__bs_0001__seg_001,GM_RM011__botsort__raw__bs_0001__seg_002,2,58.399491,57.549487,35.866124,0.053954,1.120948,0.035877,0.865023,appearance_support,0.000000,0.000000,0,0,0.960187,strong_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;appearance_cosine_support;bbox_size_compatible,,one_source_multiple_successors,AUTO_GM_RM011_0004;AUTO_GM_RM011_0005;AUTO_GM_RM011_0010;AUTO_GM_RM011_0009;AUTO_GM_RM011_0006;AUTO_GM_RM011_0007;AUTO_GM_RM011_0008,candidate_competition_margin_too_small
REL_GM_RM011_00010,GM_RM011,AUTO_GM_RM011_0001,AUTO_GM_RM011_0005,GM_RM011__botsort__raw__bs_0001__seg_001,GM_RM011__botsort__raw__bs_0001__seg_003,4,96.033087,95.767665,49.738383,0.094083,1.173518,0.114343,0.878618,appearance_support,0.000000,0.000000,0,0,0.946955,strong_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;appearance_cosine_support;bbox_size_compatible,,one_source_multiple_successors,AUTO_GM_RM011_0004;AUTO_GM_RM011_0005;AUTO_GM_RM011_0010;AUTO_GM_RM011_0009;AUTO_GM_RM011_0006;AUTO_GM_RM011_0007;AUTO_GM_RM011_0008,candidate_competition_margin_too_small
REL_GM_RM011_00011,GM_RM011,AUTO_GM_RM011_0001,AUTO_GM_RM011_0006,GM_RM011__botsort__raw__bs_0001__seg_001,GM_RM011__botsort__raw__bs_0009__seg_001,5,374.530689,374.614562,433.298586,0.734923,6.435423,1.588776,0.883118,appearance_support,0.000000,0.000000,0,0,0.782299,ambiguous_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;appearance_cosine_support,bbox_size_jump,,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00012,GM_RM011,AUTO_GM_RM011_0001,AUTO_GM_RM011_0007,GM_RM011__botsort__raw__bs_0001__seg_001,GM_RM011__botsort__raw__bs_0011__seg_001,9,323.192249,323.162862,429.098221,0.801662,3.211898,1.263515,0.800194,appearance_unreliable,0.000000,0.000000,0,0,0.772378,ambiguous_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent,bbox_size_jump,appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00013,GM_RM011,AUTO_GM_RM011_0001,AUTO_GM_RM011_0008,GM_RM011__botsort__raw__bs_0001__seg_001,GM_RM011__botsort__raw__bs_0013__seg_001,25,380.014829,383.102864,673.489614,1.384680,8.731013,1.558423,0.671853,appearance_conflict,0.000000,0.000000,0,0,0.670349,ambiguous_continuity,ambiguous_continuity,,appearance_cosine_conflict;bbox_size_jump,medium_forward_gap;motion_extrapolation_weak,,partial_support_with_competition_or_state_uncertainty
