sar_frame,split,physical_vehicle_id,gt_visible_fraction,gt_mask_contact_ratio,gt_boundary_contact_ratio,mask_observability_status,planned_anchor_class,mask_metadata_source,plan_stage_does_not_read_sar_intensity
315,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
317,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
319,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
321,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
323,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
325,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
327,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
331,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
332,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
333,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
334,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
335,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
336,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
337,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
338,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
339,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
340,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
341,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
342,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
343,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
344,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
345,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
346,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
347,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
348,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
349,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
350,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
351,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
352,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
353,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
354,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
