atom_a,atom_b,sar_frame,physical_or_geometry_distance,azimuth_difference,radial_difference,orientation_difference,blank_gap,energy_ratio,possible_relation,all_pair_constraint_pass,transitive_merge_risk
A8A_F027_001,A8A_F027_002,27,36.835409,6.64996,29.785416,1.473665,0,14.804838,unresolved,true,false
A8A_F027_001,A8A_F027_003,27,89.446277,3.252642,89.032547,22.441346,60,2.375751,core_to_endpoint,false,true
A8A_F027_002,A8A_F027_003,27,59.82406,3.397318,59.247131,20.967682,6,6.231645,unresolved,true,false
A8A_F028_001,A8A_F028_002,28,52.738098,0.652013,52.68515,69.037181,0,110.88272,unresolved,true,false
A8A_F028_001,A8A_F028_003,28,41.452325,6.941741,31.849121,70.948502,6,9.268563,unresolved,true,false
A8A_F028_001,A8A_F028_004,28,106.616886,25.824708,5.308487,85.826998,84.852814,1.48855,unresolved,false,true
A8A_F028_001,A8A_F028_005,28,147.192281,38.045207,25.993668,41.105656,104.785495,8.207495,unrelated,false,true
A8A_F028_001,A8A_F028_006,28,145.891454,36.547278,86.297607,29.353516,106.150836,2.03331,unrelated,false,true
A8A_F028_001,A8A_F028_007,28,123.819455,3.988937,123.300568,36.337234,96,17.968078,unrelated,false,true
A8A_F028_001,A8A_F028_008,28,137.074685,30.581861,99.248169,17.985438,112.08925,1.000694,unrelated,false,true
A8A_F028_002,A8A_F028_003,28,32.984888,7.593754,20.836029,1.911321,0,11.963312,unresolved,true,false
A8A_F028_002,A8A_F028_004,28,112.289699,26.476721,57.993637,16.789817,18,74.490443,unresolved,true,false
A8A_F028_002,A8A_F028_005,28,128.355125,37.393194,26.691483,27.931524,18,13.509935,unresolved,false,false
A8A_F028_002,A8A_F028_006,28,107.26373,35.895266,33.612457,81.609303,0,54.533106,unresolved,true,false
A8A_F028_002,A8A_F028_007,28,71.563117,4.64095,70.615417,32.699947,6,6.171095,unresolved,true,false
A8A_F028_002,A8A_F028_008,28,96.954808,31.233873,46.563019,87.022618,18,110.805825,unresolved,true,false
A8A_F028_003,A8A_F028_004,28,81.640682,18.882967,37.157608,14.878495,48,6.226573,unresolved,true,false
A8A_F028_003,A8A_F028_005,28,158.251989,44.986948,5.855453,29.842846,120,1.12928,unrelated,false,true
A8A_F028_003,A8A_F028_006,28,140.248617,43.489019,54.448486,79.697982,102.528045,4.558362,unrelated,false,true
A8A_F028_003,A8A_F028_007,28,91.783141,2.952804,91.451447,34.611268,60,1.938604,unresolved,false,true
A8A_F028_003,A8A_F028_008,28,95.951834,23.64012,67.399048,88.93394,72,9.262136,unresolved,false,true
A8A_F028_004,A8A_F028_005,28,239.803447,63.869915,31.302155,44.721341,216,5.513753,unrelated,false,true
A8A_F028_004,A8A_F028_006,28,216.746257,62.371986,91.606094,64.819486,196.540072,1.365967,unrelated,false,true
A8A_F028_004,A8A_F028_007,28,142.910849,21.835771,128.609055,49.489764,102.176318,12.070862,unrelated,false,true
A8A_F028_004,A8A_F028_008,28,105.63366,4.757153,104.556656,76.187565,85.906926,1.487517,unresolved,false,true
A8A_F028_005,A8A_F028_006,28,60.481068,1.497929,60.30394,70.459173,30.594117,4.036519,side_to_endpoint,true,false
A8A_F028_005,A8A_F028_007,28,146.912812,42.034144,97.3069,4.768422,99.859902,2.189228,core_to_side,false,true
A8A_F028_005,A8A_F028_008,28,204.219579,68.627068,73.254501,59.091094,174.928557,8.201803,unrelated,false,true
A8A_F028_006,A8A_F028_007,28,97.058185,40.536216,37.00296,65.69075,60,8.83686,core_to_endpoint,false,true
A8A_F028_006,A8A_F028_008,28,158.325716,67.129139,12.950562,11.368079,138.130373,2.0319,unrelated,false,true
A8A_F028_007,A8A_F028_008,28,61.802381,26.592923,24.052399,54.322672,24,17.955617,unresolved,true,false
A8A_F029_001,A8A_F029_002,29,164.048678,54.111837,54.452835,1.331638,96,89.558011,unrelated,false,true
A8A_F029_001,A8A_F029_003,29,111.306869,44.014204,6.514267,54.716315,42,21.084807,unresolved,false,false
A8A_F029_001,A8A_F029_004,29,97.394074,34.858648,25.093201,58.026904,0,120.430906,unresolved,true,false
A8A_F029_001,A8A_F029_005,29,80.910766,31.533812,6.726227,87.160466,0,47.108399,unresolved,true,false
A8A_F029_001,A8A_F029_006,29,56.481953,22.915014,10.554886,48.883733,0,35.657721,unresolved,true,false
A8A_F029_001,A8A_F029_007,29,96.04874,39.234875,61.143433,16.281091,0,92.049972,unresolved,false,false
A8A_F029_001,A8A_F029_008,29,97.04131,13.922888,94.809769,73.822804,6,78.422835,unresolved,true,false
A8A_F029_002,A8A_F029_003,29,56.875021,10.097633,47.938568,53.384677,30,4.247514,unresolved,true,false
A8A_F029_002,A8A_F029_004,29,259.856899,88.970486,29.359634,59.358542,236.753036,1.344725,unrelated,false,true
A8A_F029_002,A8A_F029_005,29,241.319773,85.645649,47.726608,88.492105,218.979451,1.901105,unrelated,false,true
A8A_F029_002,A8A_F029_006,29,214.101896,77.026852,65.007721,47.552095,195.345847,2.511602,unrelated,false,true
A8A_F029_002,A8A_F029_007,29,120.352055,14.876963,115.596268,14.949452,80.721744,1.027825,unresolved,false,true
A8A_F029_002,A8A_F029_008,29,164.350365,40.188949,149.262604,75.154442,140.584494,1.141989,unrelated,false,true
A8A_F029_003,A8A_F029_004,29,204.850484,78.872852,18.578934,67.256781,180,5.711738,unrelated,false,true
A8A_F029_003,A8A_F029_005,29,185.80291,75.548016,0.21196,38.123219,162,2.234234,unrelated,false,true
A8A_F029_003,A8A_F029_006,29,158.373675,66.929218,17.069153,5.832582,138,1.691157,unrelated,false,true
A8A_F029_003,A8A_F029_007,29,68.308051,4.779329,67.6577,38.435224,18.973666,4.365701,unresolved,true,false
A8A_F029_003,A8A_F029_008,29,110.989606,30.091316,101.324036,51.460881,76.367532,3.7194,unresolved,false,true
A8A_F029_004,A8A_F029_005,29,20.597892,3.324837,18.366974,29.133562,0,2.556464,unresolved,true,false
A8A_F029_004,A8A_F029_006,29,47.554988,11.943634,35.648087,73.089363,24,3.377415,unresolved,true,false
A8A_F029_004,A8A_F029_007,29,167.813498,74.093523,86.236633,74.307995,138,1.308321,unrelated,false,true
A8A_F029_004,A8A_F029_008,29,142.150171,48.781537,119.902969,15.7959,119.549153,1.535661,unrelated,false,true
A8A_F029_005,A8A_F029_006,29,27.561488,8.618797,17.281113,43.9558,6,1.321128,unresolved,true,false
A8A_F029_005,A8A_F029_007,29,147.257915,70.768686,67.869659,76.558443,120,1.954003,unrelated,false,true
A8A_F029_005,A8A_F029_008,29,121.909212,45.4567,101.535995,13.337662,102.528045,1.664731,unrelated,false,true
A8A_F029_006,A8A_F029_007,29,120.763875,62.149889,50.588547,32.602643,96,2.581488,unrelated,false,true
A8A_F029_006,A8A_F029_008,29,98.978316,36.837903,84.254883,57.293462,80.498447,2.199323,unresolved,false,true
A8A_F029_007,A8A_F029_008,29,44.075916,25.311986,33.666336,89.896105,13.416408,1.173765,unresolved,true,false
A8A_F030_001,A8A_F030_002,30,164.639472,53.636873,60.76001,1.058095,90,158.36798,unresolved,false,true
A8A_F030_001,A8A_F030_003,30,110.937497,43.865978,11.763077,53.659418,42,23.201891,unresolved,false,false
A8A_F030_001,A8A_F030_004,30,98.25571,36.135912,24.198898,87.869423,6,71.947068,unresolved,false,false
A8A_F030_001,A8A_F030_005,30,80.273252,32.035048,6.29039,85.098449,0,46.846764,unresolved,true,false
A8A_F030_001,A8A_F030_006,30,55.541236,23.037085,10.1707,49.673863,0,34.974639,unresolved,true,false
A8A_F030_001,A8A_F030_007,30,92.754022,39.011208,56.637032,21.706396,0,123.566383,unresolved,false,false
A8A_F030_001,A8A_F030_008,30,94.958149,13.9294,92.774231,77.127985,30,114.435494,unresolved,true,false
A8A_F030_002,A8A_F030_003,30,57.481838,9.770895,48.996933,52.601323,30,6.82565,unresolved,true,false
A8A_F030_002,A8A_F030_004,30,261.520953,89.772785,36.561111,88.927518,235.915239,2.201174,unrelated,false,true
A8A_F030_002,A8A_F030_005,30,241.865231,85.671921,54.46962,84.040354,213.063371,3.380553,unrelated,false,true
A8A_F030_002,A8A_F030_006,30,214.749439,76.673958,70.93071,48.615768,189.451841,4.52808,unrelated,false,true
A8A_F030_002,A8A_F030_007,30,122.073378,14.625666,117.397041,20.648302,80.721744,1.281643,unresolved,false,true
A8A_F030_002,A8A_F030_008,30,167.827593,39.707473,153.534241,76.06989,144.499135,1.383906,unrelated,false,true
A8A_F030_003,A8A_F030_004,30,205.764176,80.00189,12.435822,38.471159,186,3.100914,unrelated,false,true
A8A_F030_003,A8A_F030_005,30,185.684632,75.901026,5.472687,31.439031,162,2.019092,unrelated,false,true
A8A_F030_003,A8A_F030_006,30,158.378485,66.903063,21.933777,3.985554,138,1.507405,unrelated,false,true
A8A_F030_003,A8A_F030_007,30,69.083883,4.854771,68.400108,31.953021,21.633308,5.325703,unresolved,true,false
A8A_F030_003,A8A_F030_008,30,113.764756,29.936578,104.537308,23.468567,84.852814,4.932162,unresolved,false,true
A8A_F030_004,A8A_F030_005,30,21.136576,4.100864,17.908508,7.032128,6,1.535796,unresolved,true,false
A8A_F030_004,A8A_F030_006,30,48.165219,13.098827,34.369598,42.456714,30,2.057121,unresolved,true,false
A8A_F030_004,A8A_F030_007,30,166.127036,75.14712,80.83593,70.42418,138,1.717462,unrelated,false,true
A8A_F030_004,A8A_F030_008,30,139.737409,50.065312,116.973129,15.002592,121.49074,1.590551,unrelated,false,true
A8A_F030_005,A8A_F030_006,30,27.412133,8.997963,16.46109,35.424586,6,1.33945,unresolved,true,false
A8A_F030_005,A8A_F030_007,30,144.990912,71.046255,62.927422,63.392052,114,2.637672,unrelated,false,true
A8A_F030_005,A8A_F030_008,30,119.386345,45.964448,99.064621,7.970464,96.932967,2.442762,unrelated,false,true
A8A_F030_006,A8A_F030_007,30,118.715304,62.048292,46.466331,27.967467,90,3.533028,unresolved,false,true
A8A_F030_006,A8A_F030_008,30,97.082421,36.966485,82.603531,27.454122,78.230429,3.271956,unresolved,false,true
A8A_F030_007,A8A_F030_008,30,45.780444,25.081807,36.137199,55.421588,16.970563,1.079791,unresolved,true,false
A8A_F031_001,A8A_F031_002,31,111.867811,44.380393,18.75322,53.436135,42,17.892029,unresolved,false,false
A8A_F031_001,A8A_F031_003,31,94.790512,35.744924,25.068878,77.623519,6,60.445465,unresolved,true,false
A8A_F031_001,A8A_F031_004,31,63.265097,26.704286,0.098999,25.088869,0,13.467598,unresolved,true,false
A8A_F031_002,A8A_F031_003,31,204.520297,80.125317,6.315659,24.187384,186,3.378346,unrelated,false,true
A8A_F031_002,A8A_F031_004,31,170.826105,71.084679,18.654221,78.525004,132,1.328524,unrelated,false,true
A8A_F031_003,A8A_F031_004,31,34.278348,9.040638,24.969879,77.287612,6,4.488214,unresolved,true,false
A8A_F032_001,A8A_F032_002,32,55.919691,4.302711,54.365356,5.35769,0,13.571223,unresolved,true,false
A8A_F032_001,A8A_F032_003,32,157.050099,43.760981,12.849915,59.977891,120,1.077981,unrelated,false,true
A8A_F032_001,A8A_F032_004,32,142.774554,33.962032,51.500122,58.867526,102.176318,7.994246,unrelated,false,true
