edge_id,sar_frame,source_response_unit_id,target_response_unit_id,edge_type,shared_core_atoms,accepted_graph_links,center_distance_px,bbox_gap_px,spatial_relation,candidate_reason_cn,edge_state
R21R11E00001,27,R21B00001,R21B00002,accepted_graph_link_candidate,,R21GE00001,54.744863,6,range_stack_side_axis,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
R21R11E00002,28,R21B00007,R21B00008,accepted_graph_link_candidate,,R21GE00011,51.78803,0,overlapping_or_touching,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
R21R11E00003,29,R21B00012,R21B00013,accepted_graph_link_candidate,,R21GE00017,60.671245,6,range_stack_side_axis,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
R21R11E00004,30,R21B00016,R21B00017,accepted_graph_link_candidate,,R21GE00020,61.092144,6,range_stack_side_axis,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
R21R11E00005,30,R21B00016,R21B00019,accepted_graph_link_candidate,,R21GE00022,78.5,24,range_stack_side_axis,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
R21R11E00006,30,R21B00016,R21B00023,accepted_graph_link_candidate,,R21GE00020;R21GE00022,60.101997,6,range_stack_side_axis,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
R21R11E00007,30,R21B00017,R21B00019,accepted_graph_link_candidate,,R21GE00025,54.332311,12,side_by_side_endpoint_axis,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
R21R11E00008,30,R21B00017,R21B00022,accepted_graph_link_candidate,,R21GE00020;R21GE00025,40.660177,0,overlapping_or_touching,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
R21R11E00009,30,R21B00019,R21B00021,accepted_graph_link_candidate,,R21GE00022;R21GE00025,59.751569,0,overlapping_or_touching,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
R21R11E00010,31,R21B00024,R21B00025,accepted_graph_link_candidate,,R21GE00030,53.303377,0,overlapping_or_touching,accepted graph link 不能合并为边界族，但可保留为同目标候选关系。,same_object_candidate
