source_file,field_name,semantic_meaning,used_in_anchor_audit,used_in_anchor_initialization,used_in_propagation_runtime,used_in_stop_rule,used_in_response_extraction,used_in_metric_evaluation,runtime_or_eval_only,first_code_location,notes
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,pair_id,pair id,true,true,true,false,false,false,runtime_identifier,load_context:251; build_intervals:481-490; propagate_interval:525-540,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,scene,scene,true,false,false,false,false,false,anchor_pool_filter,load_context:251,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,optical_frame,optical frame,true,true,true,false,false,false,runtime_identifier,load_context:251; build_intervals:481-490; propagate_interval:525-540,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,sar_frame,sar frame,true,true,true,false,false,false,runtime_identifier,load_context:251; build_intervals:481-490; propagate_interval:525-540,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,optical_thread_id,optical thread id,false,false,false,false,false,false,not_used,,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,optical_fragment_id,optical fragment id,false,false,false,false,false,false,not_used,,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,optical_bbox_x1,optical bbox x1,true,false,false,false,false,false,visualization_only,optical_box:289-290; render_anchor_contact:768-775,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,optical_bbox_y1,optical bbox y1,true,false,false,false,false,false,visualization_only,optical_box:289-290; render_anchor_contact:768-775,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,optical_bbox_x2,optical bbox x2,true,false,false,false,false,false,visualization_only,optical_box:289-290; render_anchor_contact:768-775,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,optical_bbox_y2,optical bbox y2,true,false,false,false,false,false,visualization_only,optical_box:289-290; render_anchor_contact:768-775,
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,sar_bbox_x1,sar bbox x1,true,true,true,false,false,true,anchor_prior_and_future_endpoint,pair_box:285-286; propagate_interval:529-530; method_region:496-508; coverage:545-548,"Manual SAR bbox is used as both source anchor and target endpoint before P1/P2/P3 output; this is known-endpoint interpolation, not independent extrapolation."
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,sar_bbox_y1,sar bbox y1,true,true,true,false,false,true,anchor_prior_and_future_endpoint,pair_box:285-286; propagate_interval:529-530; method_region:496-508; coverage:545-548,"Manual SAR bbox is used as both source anchor and target endpoint before P1/P2/P3 output; this is known-endpoint interpolation, not independent extrapolation."
reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,sar_bbox_x2,sar bbox x2,true,true,true,false,false,true,anchor_prior_and_future_endpoint,pair_box:285-286; propagate_interval:529-530; method_region:496-508; coverage:545-548,"Manual SAR bbox is used as both source anchor and target endpoint before P1/P2/P3 output; this is known-endpoint interpolation, not independent extrapolation."
