blind_review_id,blind_frame_id,blind_object_id,review_object_type,visible_structure_cn,vehicle_part_support,vehicle_structure_support,background_structure_support,unresolved,decisive_reason_cn,alternative_explanation_cn,relation_to_other_objects_cn,visual_confidence,runtime_png
BRV_0001,BLIND_FRAME_001,BLIND_OBJECT_001,structure_candidate,"BLIND_OBJECT_001 / BLIND_FRAME_001: 底部绿色主体块清楚，左下孤立点和上部弱点构成宽三角，主体不是单条弧线。 候选角色=body_core_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=128.793914, W=100.111307；关系=single_or_unresolved_relation。",true,true,false,false,BLIND_OBJECT_001 的决定性盲审依据是：底部绿色主体块清楚，左下孤立点和上部弱点构成宽三角，主体不是单条弧线。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0002,BLIND_FRAME_002,BLIND_OBJECT_002,structure_candidate,"BLIND_OBJECT_002 / BLIND_FRAME_002: 下方主体块窄而亮，上部两个弱点只提供方向提示，整体仍偏局部闭合。 候选角色=body_core_candidate;unresolved_atom；支持像素轴 L=118.617288, W=110.025427；关系=single_or_unresolved_relation。",true,true,false,false,BLIND_OBJECT_002 的决定性盲审依据是：下方主体块窄而亮，上部两个弱点只提供方向提示，整体仍偏局部闭合。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0003,BLIND_FRAME_003,BLIND_OBJECT_003,structure_candidate,"BLIND_OBJECT_003 / BLIND_FRAME_003: 下方主体与上方斜向弱响应连成局部楔形，缺少右侧强背景弧线冲突。 候选角色=body_core_candidate;unresolved_atom；支持像素轴 L=117.638979, W=113.087242；关系=single_or_unresolved_relation。",true,true,false,false,BLIND_OBJECT_003 的决定性盲审依据是：下方主体与上方斜向弱响应连成局部楔形，缺少右侧强背景弧线冲突。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0004,BLIND_FRAME_004,BLIND_OBJECT_004,structure_candidate,"BLIND_OBJECT_004 / BLIND_FRAME_004: 底部主体、左下孤立点和上部弱点形成可见三角支撑，背景纹理不主导。 候选角色=body_core_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=123.908631, W=112.039951；关系=single_or_unresolved_relation。",true,true,false,false,BLIND_OBJECT_004 的决定性盲审依据是：底部主体、左下孤立点和上部弱点形成可见三角支撑，背景纹理不主导。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0005,BLIND_FRAME_005,BLIND_OBJECT_005,structure_candidate,"BLIND_OBJECT_005 / BLIND_FRAME_005: 只有两个端点热点和一段斜向弱线，可见端点部件但没有主体宽度。 候选角色=endpoint_hotspot_candidate;unresolved_atom；支持像素轴 L=144.453489, W=114.922235；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_005 的决定性盲审依据是：只有两个端点热点和一段斜向弱线，可见端点部件但没有主体宽度。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0006,BLIND_FRAME_006,BLIND_OBJECT_006,structure_candidate,"BLIND_OBJECT_006 / BLIND_FRAME_006: 图上主要是未分解斜向弱响应，没有稳定主体块或端点闭合。 候选角色=unresolved_atom；支持像素轴 L=131.424352, W=86.195488；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_006 的决定性盲审依据是：图上主要是未分解斜向弱响应，没有稳定主体块或端点闭合。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0007,BLIND_FRAME_007,BLIND_OBJECT_007,structure_candidate,"BLIND_OBJECT_007 / BLIND_FRAME_007: 底部端点簇与右侧主体块靠近，形成主体-端点局部组合。 候选角色=body_core_candidate;endpoint_hotspot_candidate;unresolved_atom；支持像素轴 L=144.695396, W=106.384034；关系=core_to_endpoint_candidate。",true,true,false,false,BLIND_OBJECT_007 的决定性盲审依据是：底部端点簇与右侧主体块靠近，形成主体-端点局部组合。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0008,BLIND_FRAME_008,BLIND_OBJECT_008,structure_candidate,"BLIND_OBJECT_008 / BLIND_FRAME_008: 底部端点和右侧主体在同一局部窗口内闭合，左右上方背景候选分离。 候选角色=body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom；支持像素轴 L=108.398862, W=78.66672；关系=core_to_endpoint_candidate。",true,true,false,false,BLIND_OBJECT_008 的决定性盲审依据是：底部端点和右侧主体在同一局部窗口内闭合，左右上方背景候选分离。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0009,BLIND_FRAME_008,BLIND_OBJECT_009,structure_candidate,"BLIND_OBJECT_009 / BLIND_FRAME_008: 上方横向细长亮带与 fan 弧向一致，缺少下方主体闭合。 候选角色=background_arc_candidate；支持像素轴 L=35.09073, W=7.154184；关系=background_arc_conflict。",false,false,true,false,BLIND_OBJECT_009 的决定性盲审依据是：上方横向细长亮带与 fan 弧向一致，缺少下方主体闭合。,如果后验发现它靠近目标，也只能说明背景弧线与目标区域混叠；盲审不能把横向弧线当作车体。,它比下方主体候选更亮或更长，但缺少主体-端点闭合，不能作为车辆解释。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0010,BLIND_FRAME_008,BLIND_OBJECT_010,structure_candidate,"BLIND_OBJECT_010 / BLIND_FRAME_008: 右上红色短横带独立成弧线，不与底部主体构成车辆宽度。 候选角色=background_arc_candidate；支持像素轴 L=25.403533, W=9.340987；关系=background_arc_conflict。",false,false,true,false,BLIND_OBJECT_010 的决定性盲审依据是：右上红色短横带独立成弧线，不与底部主体构成车辆宽度。,如果后验发现它靠近目标，也只能说明背景弧线与目标区域混叠；盲审不能把横向弧线当作车体。,它比下方主体候选更亮或更长，但缺少主体-端点闭合，不能作为车辆解释。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
