scene,item_id,item_type,current_status,visual_judgement,failure_cause,repairable,repair_action,post_repair_expected_level,sar_migration_use,risk_if_misused,negative_or_competing_case,needs_manual_review
GM_RM017,bs_0008_seg_001,unstable_tracklet,unstable_blocked,not safely confirmable as one target; dark edge fragments and competing vehicles remain,edge_truncation_competition_bad_tail_frames,uncertain,split_visible_state_subsegments_and_keep_only_review_context,review_only,manual_review_or_existence_hint_only,wrong dark vehicle may be attached,competing dark vehicles near edge,yes
GM_RM017,bs_0010_seg_001,unstable_tracklet,unstable_weak,white vehicle edge fragment is visually plausible but too partial for strong evidence,edge_contact_partial_crop_resnet_sensitivity,partial,drop_tiny_or_edge_only_frames_use_fit_frame_selection_optional_expanded_context_crop,weak_migration_evidence,existence_and_rough_edge_contact_timing_hint,partial optical front may be overused as full vehicle cue,less ambiguous than bs_0008,yes
GM_RM017,bs_0012_seg_001,unstable_tracklet,unstable_blocked,mixed left and right edge partial views do not close identity continuity,edge_truncation_possible_identity_ambiguity,no,split_or_manual_identity_audit_before_any_embedding_repair,review_only,manual_review_prompt_only,bad-frame removal could hide identity switch,edge-side and visible-state change,yes
GM_RM011,bs_0015_seg_001_to_seg_002,tracklet_gap,continuity_candidate,same white vehicle front and windshield continues across 2-frame gap,short_gap_partial_front_side_box,yes,bridge_as_candidate_edge_use_endpoint_fit_frames_add_partial_front_side_tag,continuity_candidate,time_continuity_hint_and_candidate_priority,front crop could be mistaken for whole vehicle constraint,no stronger competing successor seen,no
GM_RM011,bs_0061_seg_002_to_seg_003,tracklet_gap,continuity_candidate,same white vehicle front and windshield continues across 2-frame gap,short_gap_partial_front_box_edge_neighbor_present,yes,bridge_as_candidate_edge_use_fit_frames_keep_competitor_exclusion_note,continuity_candidate,time_continuity_hint_and_candidate_priority,left-edge neighbor could confuse if competitor tag ignored,contrast with bs_0061_to_bs_0064,no
GM_RM011,bs_0029_seg_001_to_seg_002,weak_evidence,weak_continuity_candidate,same right-edge white vehicle is plausible but later crop is very narrow,severe_edge_truncation,partial,use_only_frames_with_enough_visible_area_and_mark_edge_truncated,review_only,rough_existence_or_timing_hint_near_edge,tiny strip could be promoted into full vehicle cue,later frames collapse to edge strip,yes
GM_RM011,bs_0061_seg_001_to_seg_002,weak_evidence,weak_continuity_candidate,same white vehicle plausible after longer gap but part state changes,rear_side_to_front_windshield_transition_longer_gap,partial,add_part_state_transition_edge_validate_intermediate_frames_keep_weak,continuity_candidate,temporal_continuity_hint_not_hard_spatial_constraint,may bridge across unobserved part transition,weaker than bs_0061_seg_002_to_seg_003,yes
GM_RM011,bs_0044_seg_002_to_bs_0038_seg_002,weak_evidence,weak_continuity_candidate,same white vehicle plausible but boxes cover different vehicle parts,part_box_change_appearance_mismatch,partial,state_tag_before_as_upper_side_window_after_as_front_hood_use_state_compatible_comparison,weak_migration_evidence,candidate_priority_and_time_continuity_hint,different vehicle parts may be overread as identity,not a competition case like bs_0061_to_bs_0064,yes
GM_RM011,bs_0002_seg_001_to_bs_0007_seg_001,weak_evidence,weak_continuity_candidate,same white SUV plausible but crop changes from rear body to window strip,vehicle_part_box_change,partial,use_representative_fit_frames_add_vehicle_part_box_change_tag_validate_expanded_context,weak_migration_evidence,rough_continuity_and_candidate_priority,window strip could be overtrusted as whole car evidence,weaker than bs_0015,no
GM_RM011,bs_0061_seg_001_to_bs_0064_seg_001,competition_case,blocked_conflict,high appearance candidate points to left-edge competing vehicle not central white vehicle,appearance_only_candidate_without_competition_rejection,no,preserve_as_negative_comparator_require_same_target_region_before_any_upgrade,not_usable,reject_appearance_only_false_bridge,wrong target would propagate to SAR,central white vehicle remains separate from left-edge boxed car,no
GM_RM011,bs_0056_seg_001_to_bs_0061_seg_001,blocked_case,blocked_manual_review,relation switches from side-window strip to left-edge rear fragment or competing area,part_box_switch_and_competition,no,do_not_merge_use_as_negative_comparator_or_manual_review_case,review_only,manual_review_prompt_only,spatial closeness could create false bridge,competing area and part switch,yes
