review_id,experiment_id,sar_frame,component_id,assembly_id,visual_role,same_vehicle_response,background_response,uncertain,relation_to_previous_frame,transitive_merge_error,human_multimodal_judgement_cn,runtime_png,eval_png
VIS_001,ADJ_0204_TO_0205,27,src27_c001;src27_c001,src_27_assembly;src_27_assembly,compact_vehicle_core,true,false,false,source_or_anchor_window,false,白色 SUV 近距离响应核心位于扇形底部，主亮斑连续；边缘弱散射可解释为同车多热点，但横向远离的小亮点不应通过传递边并入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_002,ADJ_0204_TO_0205,28,C1C_ADJ_0204_TO_0205_28_c002;C1C_ADJ_0204_TO_0205_28_c003;C1C_ADJ_0204_TO_0205_28_c004,C1C_ADJ_0204_TO_0205_28_a001;C1C_ADJ_0204_TO_0205_28_a002;C1C_ADJ_0204_TO_0205_28_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,白色 SUV 近距离响应核心位于扇形底部，主亮斑连续；边缘弱散射可解释为同车多热点，但横向远离的小亮点不应通过传递边并入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_003,ADJ_0204_TO_0205,29,C1C_ADJ_0204_TO_0205_29_c002;C1C_ADJ_0204_TO_0205_29_c006;C1C_ADJ_0204_TO_0205_29_c007;C1C_ADJ_0204_TO_0205_29_c008,C1C_ADJ_0204_TO_0205_29_a001;C1C_ADJ_0204_TO_0205_29_a002;C1C_ADJ_0204_TO_0205_29_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,白色 SUV 近距离响应核心位于扇形底部，主亮斑连续；边缘弱散射可解释为同车多热点，但横向远离的小亮点不应通过传递边并入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_004,ADJ_0204_TO_0205,30,C1C_ADJ_0204_TO_0205_30_c001;C1C_ADJ_0204_TO_0205_30_c002;C1C_ADJ_0204_TO_0205_30_c006;C1C_ADJ_0204_TO_0205_30_c007;C1C_ADJ_0204_TO_0205_30_c008,C1C_ADJ_0204_TO_0205_30_a001;C1C_ADJ_0204_TO_0205_30_a002;C1C_ADJ_0204_TO_0205_30_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,白色 SUV 近距离响应核心位于扇形底部，主亮斑连续；边缘弱散射可解释为同车多热点，但横向远离的小亮点不应通过传递边并入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_005,ADJ_0204_TO_0205,31,C1C_ADJ_0204_TO_0205_31_c001;C1C_ADJ_0204_TO_0205_31_c005;C1C_ADJ_0204_TO_0205_31_c007;C1C_ADJ_0204_TO_0205_31_c010;C1C_ADJ_0204_TO_0205_31_c011,C1C_ADJ_0204_TO_0205_31_a001;C1C_ADJ_0204_TO_0205_31_a002;C1C_ADJ_0204_TO_0205_31_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,白色 SUV 近距离响应核心位于扇形底部，主亮斑连续；边缘弱散射可解释为同车多热点，但横向远离的小亮点不应通过传递边并入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_006,ADJ_0205_TO_0206,32,C1C_ADJ_0205_TO_0206_32_c001;C1C_ADJ_0205_TO_0206_32_c003;C1C_ADJ_0205_TO_0206_32_c005,C1C_ADJ_0205_TO_0206_32_a001;C1C_ADJ_0205_TO_0206_32_a002;C1C_ADJ_0205_TO_0206_32_a003,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,true,白色 SUV 长间隔中局部亮斑分散，部分回波靠近底部核心但远侧点状响应缺少连续车辆轮廓，不能确认同车。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_007,ADJ_0205_TO_0206,40,C1C_ADJ_0205_TO_0206_40_c007;C1C_ADJ_0205_TO_0206_40_c008;C1D_ADJ_0205_TO_0206_ADJ_0205_TO_0206_c1d_32_01_40_c001,C1C_ADJ_0205_TO_0206_40_a001;C1C_ADJ_0205_TO_0206_40_a002;C1D_ADJ_0205_TO_0206_40_ADJ_0205_TO_0206_c1d_32_01_a001,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,true,白色 SUV 长间隔中局部亮斑分散，部分回波靠近底部核心但远侧点状响应缺少连续车辆轮廓，不能确认同车。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_008,ADJ_0205_TO_0206,46,C1C_ADJ_0205_TO_0206_46_c010;C1D_ADJ_0205_TO_0206_ADJ_0205_TO_0206_c1d_32_01_46_c001;C1D_ADJ_0205_TO_0206_ADJ_0205_TO_0206_c1d_32_01_46_c006,C1C_ADJ_0205_TO_0206_46_a001;C1D_ADJ_0205_TO_0206_46_ADJ_0205_TO_0206_c1d_32_01_a001;C1D_ADJ_0205_TO_0206_46_ADJ_0205_TO_0206_c1d_32_01_a002,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,true,白色 SUV 长间隔中局部亮斑分散，部分回波靠近底部核心但远侧点状响应缺少连续车辆轮廓，不能确认同车。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_009,ADJ_0205_TO_0206,60,C1D_ADJ_0205_TO_0206_ADJ_0205_TO_0206_c1d_32_01_60_c001;C1D_ADJ_0205_TO_0206_ADJ_0205_TO_0206_c1d_32_01_60_c005;C1D_ADJ_0205_TO_0206_ADJ_0205_TO_0206_c1d_32_02_60_c003,C1D_ADJ_0205_TO_0206_60_ADJ_0205_TO_0206_c1d_32_01_a001;C1D_ADJ_0205_TO_0206_60_ADJ_0205_TO_0206_c1d_32_01_a002;C1D_ADJ_0205_TO_0206_60_ADJ_0205_TO_0206_c1d_32_02_a001,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,true,白色 SUV 长间隔中局部亮斑分散，部分回波靠近底部核心但远侧点状响应缺少连续车辆轮廓，不能确认同车。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_010,ADJ_0206_TO_0207,77,C1D_ADJ_0205_TO_0206_ADJ_0205_TO_0206_c1d_32_01_77_c011;C1D_ADJ_0205_TO_0206_ADJ_0205_TO_0206_c1d_32_01_77_c019;C1D_ADJ_0205_TO_0206_ADJ_0205_TO_0206_c1d_32_02_77_c002;src77_c001;src77_c003;src77_c004,C1D_ADJ_0205_TO_0206_77_ADJ_0205_TO_0206_c1d_32_01_a001;C1D_ADJ_0205_TO_0206_77_ADJ_0205_TO_0206_c1d_32_02_a001;src_77_assembly,uncertain_split_or_background,false,false,true,source_or_anchor_window,true,白色 SUV 长间隔中局部亮斑分散，部分回波靠近底部核心但远侧点状响应缺少连续车辆轮廓，不能确认同车。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
