item_id,source_kind,source_path,status,record_count,gm_rm017_count,frame_or_range,runtime_or_eval_role,key_finding,notes
DOC01,required_doc,docs/OTY2_SESSION_START_HERE.md,present,,,,protocol_boundary,"read_before_task; no final box, selector, ranking, or GT leakage into holdout generation",
DOC02,required_doc,docs/OTY2_OPTICAL_STREAM_GENERALIZATION_PROTOCOL.md,present,,,,protocol_boundary,"read_before_task; no final box, selector, ranking, or GT leakage into holdout generation",
DOC03,required_doc,docs/OTY2_OPTICAL_STREAM_MECHANISM_ADJUSTMENT_DESIGN.md,present,,,,protocol_boundary,"read_before_task; no final box, selector, ranking, or GT leakage into holdout generation",
DOC04,required_doc,docs/OTY2_POINT_TO_STRUCTURE_OPTICAL_SAR_VEHICLE_RESPONSE_FRAMEWORK.md,present,,,,protocol_boundary,"read_before_task; no final box, selector, ranking, or GT leakage into holdout generation",
DOC05,required_doc,docs/OTY2_GENERATION_FREEZE_AND_GT_ASSISTED_ANALYSIS_BOUNDARY.md,present,,,,protocol_boundary,"read_before_task; no final box, selector, ranking, or GT leakage into holdout generation",
SRC01,paired_annotations,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv,present,204,188,optical=145-212;sar=302-442,calibration_gt_and_later_eval_only,target_thread=oty1t_obj_GM_RM017_bytetrack_bt_0010; target_paired_sar=315;317;319;321;323;325;327;331-394,GT centers are not scattering-center truth; used only for calibration/evaluation phases.
SRC02,frame_map,reports\oty2\samples\oty2_object_alignment_frame_map_sample.csv,present,120,106,alignment_mode=frame_ratio_hypothesis,runtime_safe_temporal_mapping_hypothesis,exact timestamp metadata is unavailable; current source is frame-count ratio audit only,
SRC03,temporal_window,reports\oty2\samples\oty2_object_sar_temporal_windows_sample.csv,present,27,6,N005 optical=121-129;sar=249-274,temporal_window_only_no_sar_band,"N005 real optical range is 121-129; SAR range comes from P0 frame-ratio temporal-window source, not exact timestamp truth",sar_frame_mapping_uses_optical_time_times_50_not_optical_frame_times_2;no_sar_image_content_or_spatial_search_used
SRC04,optical_timeline_graph_node,reports\oty2\samples\oty2_optical_timeline_graph_nodes_20260705_175222.csv,present,18,5,121-129,manual_non_vehicle_control_for_calibration_and_counterexample,"GM_RM017_N005=non_vehicle_exclusion; Foreground barrier or temporary structure, not a vehicle referent.",N005 identity is not used by holdout generation.
SRC05,optical_timeline_graph_edge,reports\oty2\samples\oty2_optical_timeline_graph_edges_20260705_175222.csv,present,10,2,GM_RM017_N005->GM_RM017_N005,manual_non_vehicle_exclusion_control,"Box follows a foreground barrier or temporary structure, not a vehicle.",Unary exclusion edge for non-vehicle track content.
SRC06,image_inventory,D:\profile\research\data\GM_RM017\GM_RM017_frames,present,368,368,0-367,runtime_safe_optical_frame_inventory,"sample_size=(800, 600)",
SRC07,image_inventory,D:\profile\research\data\GM_RM017\GM_RM017_SARframes_gray,present,766,766,0-765,runtime_safe_sar_gray_frame_inventory,"sample_size=(2308, 1334); grid_matches_2308x1334=True",Coordinate audit uses fan center from scene_config and PX_TO_M=0.03 inherited from existing WGV3.6A R2.1 code path; final output remains SAR image-domain boxes/candidates.
