relation_outcome,meaning,allowed_use,forbidden_use,upgrade_requirement,blocking_conditions,example_wgv_source,notes
supports_vehicle_existence,Optical or SAR-side evidence supports that a vehicle-like object may exist in the reviewed window,Posthoc explanation and review prioritization,final annotation or identity truth,Independent SAR-internal vehicle-like evidence plus permission gate,background risk;competitor risk;mapping unresolved,GM_RM011 WGV14T001 with GT-local morphology,Existence support is not localization
supports_boundary,Evidence supports preserving a different-vehicle or context-only boundary,Boundary protection and conservative graph blocking,same-vehicle bridge or identity merge,Explicit independent boundary evidence in later protocol if relaxation is considered,boundary frame evidence missing;competitor unresolved,GM_RM011 M005;GM_RM011 M016,Boundary support can be a positive result
explains_support_shift,Optical state or SAR morphology explains why expected support may shift or expand,Mechanism diagnosis and future review planning,adjust runtime prior or final box,Later validated state-conditioned SAR-internal evidence,near-field truncation;edge contact;GT quality concern,GM_RM011 WGV18W001,Shift explanation remains posthoc
explains_detection_dropout,Temporal or morphology evidence explains a missing optical detection or weak observation,Posthoc dropout diagnosis,automatic recovery of labels or boxes,Independent SAR-internal temporal support plus optical gap audit,missing neighboring evidence;background reflector risk,dropout or no_oty_iou_match special pool,Do not mix into clean paired morphology
explains_visible_unboxed_gap,Optical evidence shows visible vehicle context not captured by current box stream,Failure diagnosis and object-stream recovery planning,create revised annotation or final box,Later optical review and SAR-internal evidence if used,unboxed vehicle is competitor;boundary unresolved,GM_RM011 long visible-unboxed gap,Gap explanation is not a new annotation
indicates_competition,Evidence shows multi-vehicle or multi-target competition,Block identity upgrade and prioritize competitor review,force one-to-one mapping or choose winner,Independent separation evidence in later protocol,same-color vehicles;ambiguous SAR multi-target signal,GM_RM011 M016;GM_RM017 weak windows,Competition is not noise to average away
indicates_background_risk,SAR or optical context suggests background or static reflector risk,Weaken mechanism claim and require rejection logic,declare vehicle-like support sufficient,Vehicle-vs-background SAR evidence closure,static hotspot;road edge;clutter;motion artifact,GM_RM017 posthoc overlap ambiguity,Negative logic is required for closure
weak_posthoc_support_only,Evidence is suggestive but limited to posthoc support,Review hint and mechanism vocabulary only,SAR consumption upgrade or identity claim,Independent SAR-internal evidence plus stronger optical boundary status,weak optical thread;ambiguous offset;mapping unresolved,GM_RM017 WGV14T001-WGV14T003,Default for weak optical threads with overlap
insufficient_evidence,Available sources do not support a mechanism relation,Block upgrade and record missing evidence,fill with assumptions or inferred identity,Required source recovery or visual evidence,missing direct azimuth source;missing SAR reference candidate,GM_RM011 direct azimuth source missing in WGV1.7,Insufficiency is explicit not ignored
contradiction,Evidence conflicts with the proposed relation,Stop relation and route to review or redesign,resolve by scoring or weighted fusion,Contradiction-specific evidence audit and later protocol,boundary conflict;state conflict;SAR morphology conflict,hypothetical bridge over GM_RM011 M005,Contradiction beats weak support
blocked_by_permission,Relation may look plausible but provenance forbids the use,Permission block and pre_sar_only status,consume as runtime prior or annotation,New protocol that changes permission with evidence,posthoc SAR evidence used as proof;weak thread upgraded,GM_RM017 posthoc overlap cannot upgrade weak identity,Permission is a hard gate
blocked_by_boundary,Known boundary or context-only edge prevents same-vehicle relation,Preserve edge as boundary and block bridge,relax boundary by color or temporal overlap,Independent boundary evidence plus later protocol,M005;M016;context_only edges,GM_RM011 WGV12M016,Boundary block remains even if nearby evidence exists
blocked_by_identity_risk,Identity risk is too high for consumption or upgrade,Block SAR consumption and graph relation upgrade,instantiate final object identity,Strong independent evidence and explicit review protocol,multi-vehicle competition;weak optical identity;blocked item,GM_RM017 WGV14V004,Blocked identity risk stays blocked
