region_id,pair_id,sar_frame,family,variant,comparison_group,area_ratio_to_gt,offset_axis,offset_value,offset_unit,scale_ratio,rotation_relative_to_gt_deg,region_area_px,region_area_m2,region_area_p0_convention_m2,total_energy,mean_energy,median_energy,energy_std,peak_energy,energy_quantile_90,energy_quantile_95,energy_quantile_99,high_energy_threshold,high_energy_pixel_count,high_energy_pixel_fraction,response_occupancy_ratio,component_count,component_count_per_m2,component_count_per_p0_convention_m2,peak_count,peak_count_per_m2,peak_count_per_p0_convention_m2,energy_centroid_x,energy_centroid_y,energy_centroid_range_px,energy_centroid_azimuth_px,energy_centroid_range_m,energy_centroid_azimuth_m,energy_centroid_range_p0_convention_m,energy_centroid_azimuth_p0_convention_m,principal_axis_deg,principal_axis_minus_gt_storage_axis_deg,principal_axis_minus_local_range_axis_deg,range_support_width_px,azimuth_support_width_px,range_energy90_width_px,azimuth_energy90_width_px,range_second_moment_width_px,azimuth_second_moment_width_px,range_support_width_m,azimuth_support_width_m,range_energy90_width_m,azimuth_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,range_support_width_p0_convention_m,azimuth_support_width_p0_convention_m,range_energy90_width_p0_convention_m,azimuth_energy90_width_p0_convention_m,near_far_energy_ratio,front_rear_energy_ratio,inside_gt_pixel_fraction,inside_gt_energy_fraction,inside_ring_energy_ratio,boundary_contact_ratio,mask_contact_ratio,visible_fraction,metric_extent_reliable,observation_status,crop_bbox,mask_definition,gt_file_opened_for_region_generation,final_detection_label
E0_REG_000315_0001,WGV35A_PAIR_0003,315,GT_ORIGINAL,gt_original,vehicle_reference,1,,0,,1,0,10295,,9.2655,418304,40.631763,40,7.750875,112,50,53,66,51,846,0.082176,0.082176,146,,15.75738,17,,1.834763,790.793002,941.155024,-0.402338,-0.486573,,,-0.01207,-0.014597,177.431418,177.431418,-49.617496,145.895885,141.687299,87.521635,105.396311,121.456229,137.541069,,,,,,,4.376877,4.250619,2.625649,3.161889,1.007718,1.012509,0.979116,0.980521,50.338243,0,0,1,false,fully_observed,"716,903,865,978",zero_value_proxy_only,true,
E0_REG_000315_0002,WGV35A_PAIR_0003,315,SCALE,uniform_scale_0.50,scale_response,0.25,,0,,0.5,0,2701,,2.4309,105870,39.196594,39,6.105108,64,46,48,53,51,78,0.028878,0.028878,34,,13.986589,2,,0.822741,789.94992,940.137697,0.916734,-0.410476,,,0.027502,-0.012314,-164.801101,-164.801101,-31.850015,60.44244,67.966469,54.158391,56.534801,71.840854,56.636686,,,,,,,1.813273,2.038994,1.624752,1.696044,0.910494,0.970958,1,1,,0,0,1,false,fully_observed,"752,920,829,961",zero_value_proxy_only,true,
E0_REG_000315_0003,WGV35A_PAIR_0003,315,SCALE,range_only_scale_0.50,scale_response,1.132958,,0,,0.5,-132.951086,11676,,10.5084,463212,39.67215,39,6.649144,78,47,51,58,51,595,0.050959,0.050959,156,,14.845267,12,,1.141944,790.020325,940.577997,0.54649,-0.658952,,,0.016395,-0.019769,148.042512,148.042512,-79.006402,74.498479,153.795492,58.980993,123.84154,75.284547,147.020113,,,,,,,2.234954,4.613865,1.76943,3.715246,0.96179,0.981003,0.628983,0.636516,1.751155,0,0,1,false,fully_observed,"707,858,875,1023",zero_value_proxy_only,true,
E0_REG_000315_0004,WGV35A_PAIR_0003,315,SCALE,azimuth_only_scale_0.50,scale_response,1.132958,,0,,0.5,-132.951086,11627,,10.4643,464943,39.988216,39,7.223933,112,48,51,61,51,711,0.061151,0.061151,166,,15.86346,17,,1.624571,791.125237,940.928165,-0.462668,-0.088824,,,-0.01388,-0.002665,-150.653447,-150.653447,-17.702361,150.391048,76.792986,111.976459,69.129393,134.082931,87.891381,,,,,,,4.511731,2.30379,3.359294,2.073882,1.034672,1.023576,0.6177,0.628952,1.695072,0,0,1,false,fully_observed,"709,857,872,1024",zero_value_proxy_only,true,
E0_REG_000315_0005,WGV35A_PAIR_0003,315,SCALE,storage_long_axis_only_scale_0.50,scale_response,0.5,,0,,0.5,0,5183,,4.6647,210332,40.581131,40,7.155984,78,50,52,62,51,395,0.076211,0.076211,79,,16.935709,11,,2.358137,790.082032,940.964699,0.221404,-0.877275,,,0.006642,-0.026318,174.319502,174.319502,-52.729412,88.458243,92.597047,62.866988,72.40622,78.541843,84.953343,,,,,,,2.653747,2.777911,1.88601,2.172187,0.970822,0.977046,0.985915,0.987073,76.356381,0,0,1,false,fully_observed,"752,903,829,978",zero_value_proxy_only,true,
E0_REG_000315_0006,WGV35A_PAIR_0003,315,SCALE,storage_short_axis_only_scale_0.50,scale_response,0.5,,0,,0.5,0,5365,,4.8285,210674,39.268219,39,6.445398,74,47,50,55,51,194,0.03616,0.03616,62,,12.840427,5,,1.035518,790.697732,940.201714,0.360338,0.093255,,,0.01081,0.002798,-173.788686,-173.788686,-40.8376,118.763704,114.104909,100.542367,90.331458,127.364006,111.326116,,,,,,,3.562911,3.423147,3.016271,2.709944,0.975896,1.007911,0.993103,0.99317,145.403058,0,0,1,false,fully_observed,"716,920,865,961",zero_value_proxy_only,true,
E0_REG_000315_0007,WGV35A_PAIR_0003,315,SCALE,uniform_scale_0.75,scale_response,0.5625,,0,,0.75,0,5777,,5.1993,229355,39.701401,40,6.506198,69,47,50,57,51,283,0.048987,0.048987,88,,16.925355,7,,1.346335,790.3008,940.43955,0.456716,-0.359329,,,0.013701,-0.01078,-170.392776,-170.392776,-37.44169,105.94522,111.754992,79.118834,78.035389,100.164176,87.764946,,,,,,,3.178357,3.35265,2.373565,2.341062,0.965911,1.000044,1,1,,0,0,1,false,fully_observed,"734,912,847,969",zero_value_proxy_only,true,
E0_REG_000315_0008,WGV35A_PAIR_0003,315,SCALE,range_only_scale_0.75,scale_response,1.699436,,0,,0.75,-132.951086,17367,,15.6303,687585,39.591465,39,6.672329,78,47,50,59,51,865,0.049807,0.049807,232,,14.842965,21,,1.343544,790.495607,940.473818,0.298898,-0.240091,,,0.008967,-0.007203,163.489157,163.489157,-63.559757,111.526251,153.244159,86.185381,116.905034,111.544075,151.165524,,,,,,,3.345788,4.597325,2.585561,3.507151,0.986488,1.000143,0.542293,0.553555,1.239917,0,0,1,false,fully_observed,"694,845,888,1036",zero_value_proxy_only,true,
E0_REG_000315_0009,WGV35A_PAIR_0003,315,SCALE,azimuth_only_scale_0.75,scale_response,1.699436,,0,,0.75,-132.951086,17400,,15.66,693468,39.854485,39,7.021018,112,48,51,60,51,995,0.057184,0.057184,241,,15.389527,21,,1.340996,791.005239,940.642619,-0.171903,0.017909,,,-0.005157,0.000537,-169.924983,-169.924983,-36.973897,149.485782,114.93312,112.985274,98.052886,139.811339,126.359299,,,,,,,4.484573,3.447994,3.389558,2.941587,1.013344,1.019871,0.538621,0.549643,1.220462,0,0,1,false,fully_observed,"695,844,886,1037",zero_value_proxy_only,true,
E0_REG_000315_0010,WGV35A_PAIR_0003,315,SCALE,storage_long_axis_only_scale_0.75,scale_response,0.75,,0,,0.75,0,7739,,6.9651,312743,40.411293,40,7.14764,78,48,52,62,51,582,0.075204,0.075204,118,,16.941609,14,,2.010021,790.120687,941.042073,0.138433,-0.901703,,,0.004153,-0.027051,174.691768,174.691768,-52.357146,120.634495,124.019719,74.977605,88.106734,95.788406,111.671823,,,,,,,3.619035,3.720592,2.249328,2.643202,0.981079,0.987323,0.985915,0.98681,74.816485,0,0,1,false,fully_observed,"734,903,847,978",zero_value_proxy_only,true,
