response_track_id,init_frame,last_frame,support_frames,consecutive_support_frames,missing_frames,reappearance_count,status,terminated_frame,last_response_x,last_response_y,relative_to_target_x,relative_to_target_y,same_motion_supported
RT_D1_0001,360,394,35,35,0,0,visible,,1386.505339,958.378964,72.160046,12.148649,true
RT_D1_0002,360,394,35,35,0,0,visible,,1283.648266,965.403137,-25.971042,17.204469,true
RT_D1_0003,360,394,33,21,0,1,visible,,1395.857763,993.965476,83.841013,49.293923,true
RT_D1_0004,360,394,34,21,0,1,visible,,1338.183828,900.737208,22.591869,-42.188511,true
RT_D1_0005,360,394,30,9,0,4,visible,,1381.735726,968.799347,77.029346,31.223964,true
RT_D1_0006,360,394,35,35,0,0,visible,,1275.485668,944.31086,-43.347921,-14.605408,true
RT_D1_0007,360,394,27,11,0,7,visible,,1365.898975,955.2694,46.756299,10.437801,true
RT_D1_0008,360,394,29,2,0,4,visible,,1326.15069,956.553209,25.44134,-13.393354,true
RT_D1_0009,360,394,26,7,0,7,visible,,1396.693827,1011.22963,88.957923,63.374297,true
RT_D1_0010,360,360,1,0,9,0,terminated,369,1146.233211,941.831502,64.673211,0.004502,false
RT_D1_0011,360,394,32,21,0,3,visible,,1290.042788,923.31539,-22.888843,-21.772168,true
RT_D1_0012,364,394,26,14,0,4,motion_shell_candidate,,1243.865242,919.728625,-68.430941,-29.897183,true
RT_D1_0013,366,394,20,13,0,4,motion_shell_candidate,,1228.876256,931.629825,-78.996791,-13.946554,true
RT_D1_0014,369,394,18,3,0,4,motion_shell_candidate,,1379.007874,930.485039,69.982961,-16.839283,true
RT_D1_0015,376,394,12,1,0,3,motion_shell_candidate,,1230.74175,949.200861,-49.871815,4.653365,true
RT_D1_0016,382,387,4,0,7,1,motion_shell_candidate,,1247.5,924.537975,-17.744069,-30.568246,true
RT_D1_0017,384,392,3,0,2,2,motion_shell_candidate,,1240.341047,949.990634,-39.537033,-4.085796,true
RT_D1_0018,388,391,2,0,3,1,motion_shell_candidate,,1296.864466,964.944699,6.784455,15.192664,false
