path_id,control_type,control_index,control_component_id,control_sar_frame,control_azimuth_center,control_radial_pixel_center,control_radial_band,control_static_pressure,control_response_score
WGV34A_PATH_0000001,temporal_control_distribution,1,WGV33D_MAIN_F0024_C000710,24,-39.0255,178,R1,0.44737136,2.950195
WGV34A_PATH_0000001,temporal_control_distribution,2,WGV33D_MAIN_F0025_C000746,25,-38.483,178,R1,0.44401019,3.011719
WGV34A_PATH_0000001,temporal_control_distribution,3,WGV33D_MAIN_F0027_C000822,27,-38.4807,198,R1,0.70178597,4.371745
WGV34A_PATH_0000001,temporal_control_distribution,4,WGV33D_MAIN_F0028_C000864,28,-38.0147,198,R1,0.827664,3.423828
WGV34A_PATH_0000001,temporal_control_distribution,5,WGV33D_MAIN_F0030_C000929,30,-35.9646,210,R1,0.81494914,3.886719
WGV34A_PATH_0000001,temporal_control_distribution,6,WGV33D_MAIN_F0031_C000952,31,-54.9822,190,R1,0.41119179,5.630859
WGV34A_PATH_0000001,temporal_control_distribution,7,WGV33D_MAIN_F0031_C000955,31,-37.0763,210.8002,R1,1,3.748047
WGV34A_PATH_0000001,temporal_control_distribution,8,WGV33D_MAIN_F0032_C000980,32,-36.8741,170,R1,0.43692749,3.744629
WGV34A_PATH_0000001,temporal_control_distribution,9,WGV33D_MAIN_F0032_C000981,32,-37.5048,206.9573,R1,1,2.95459
WGV34A_PATH_0000001,temporal_control_distribution,10,WGV33D_MAIN_F0033_C001004,33,-41.9946,146,R1,0.43097122,4.699219
WGV34A_PATH_0000001,temporal_control_distribution,11,WGV33D_MAIN_F0033_C001006,33,-36.2732,169.0458,R1,0.4375553,3.192383
WGV34A_PATH_0000001,temporal_control_distribution,12,WGV33D_MAIN_F0034_C001039,34,-41.9817,146,R1,0.43097122,4.558594
WGV34A_PATH_0000001,temporal_control_distribution,13,WGV33D_MAIN_F0034_C001041,34,-37.9659,190,R1,0.45000272,3.089844
WGV34A_PATH_0000001,temporal_control_distribution,14,WGV33D_MAIN_F0034_C001042,34,-36.9528,166,R1,0.43022329,2.648438
WGV34A_PATH_0000001,temporal_control_distribution,15,WGV33D_MAIN_F0035_C001063,35,-54.9937,254,R1,0.41490426,3.813477
WGV34A_PATH_0000001,temporal_control_distribution,16,WGV33D_MAIN_F0035_C001066,35,-35.9926,174,R1,0.43695469,3.963867
WGV34A_PATH_0000001,temporal_control_distribution,17,WGV33D_MAIN_F0039_C001144,39,-56.4322,166,R1,0.42535719,4.676432
WGV34A_PATH_0000001,temporal_control_distribution,18,WGV33D_MAIN_F0040_C001168,40,-55.7781,163.7347,R1,0.42777891,5.58538
WGV34A_PATH_0000001,temporal_control_distribution,19,WGV33D_MAIN_F0041_C001209,41,-55.3001,163.0911,R1,0.42528149,4.421596
WGV34A_PATH_0000001,temporal_control_distribution,20,WGV33D_MAIN_F0042_C001240,42,-53.989,159.959,R1,0.42741174,3.494141
WGV34A_PATH_0000002,temporal_control_distribution,1,WGV33D_MAIN_F0026_C000783,26,-31.1247,198.6585,R1,1,2.810221
WGV34A_PATH_0000002,temporal_control_distribution,2,WGV33D_MAIN_F0027_C000822,27,-38.4807,198,R1,0.70178597,4.371745
WGV34A_PATH_0000002,temporal_control_distribution,3,WGV33D_MAIN_F0027_C000823,27,-33.0229,173.6766,R1,0.61014847,2.942801
