sar_frame,cx,cy,fan_center_x,fan_center_y,range_px_corrected,range_m_corrected,within_40m_domain,legacy_absolute_range_m_grid,legacy_within_40m_domain,failure_reason
315,790.875,940.529,1154,1330.6,532.930718,15.987922,true,36.86557,true,
317,796.4825,941.214,1154,1330.6,528.621055,15.858632,true,36.989747,true,
319,813.8,939.398,1154,1330.6,518.435189,15.553056,true,37.286259,true,
321,826.9845,944.068,1154,1330.6,506.306354,15.189191,true,37.651706,true,
323,835.794,943.7485,1154,1330.6,500.908316,15.027249,true,37.819196,true,
325,853.0945,939.369,1154,1330.6,493.564398,14.806932,true,38.067912,true,
327,860.0895,944.6445,1154,1330.6,485.123726,14.553712,true,38.326185,true,
331,890.023,941.182,1154,1330.6,470.457474,14.113724,true,38.860881,true,
332,898.926,944.3575,1154,1330.6,462.867167,13.886015,true,39.113823,true,
333,903.311,939.939,1154,1330.6,464.177759,13.925333,true,39.108956,true,
334,907.7895,942.629,1154,1330.6,459.500933,13.785028,true,39.260261,true,
335,922.34,938.917,1154,1330.6,455.062554,13.651877,true,39.484789,true,
336,921.75,940.5815,1154,1330.6,453.932256,13.617968,true,39.508037,true,
337,931.1845,941.426,1154,1330.6,448.445258,13.453358,true,39.724662,true,
338,939.9,941.11,1154,1330.6,444.456151,13.333685,true,39.902256,true,
339,943.9145,943.403,1154,1330.6,440.519505,13.215585,true,40.036052,false,
340,950.81,945.983,1154,1330.6,434.99013,13.049704,true,40.237186,false,
341,954.2055,941.303,1154,1330.6,437.572847,13.127185,true,40.210739,false,
342,960.6925,941.6285,1154,1330.6,434.357707,13.030731,true,40.356349,false,
343,970.145,940.871,1154,1330.6,430.919197,12.927576,true,40.543527,false,
344,977.092,940.874,1154,1330.6,427.998593,12.839958,true,40.693456,false,
345,980.185,940.116,1154,1330.6,427.421816,12.822654,true,40.744603,false,
346,989.475,940.1555,1154,1330.6,423.692557,12.710777,true,40.947012,false,
347,995.919,940.452,1154,1330.6,420.957319,12.62872,true,41.093481,false,
348,1000.25,943.5,1154,1330.6,416.515873,12.495476,true,41.250734,false,
349,1006.863,944.274,1154,1330.6,413.396994,12.40191,true,41.411156,false,
350,1018.893,940.828,1154,1330.6,412.524076,12.375722,true,41.604931,false,
351,1017.529,941.4945,1154,1330.6,412.343818,12.370315,true,41.588453,false,
352,1027.3575,946.583,1154,1330.6,404.360457,12.130814,true,41.908645,false,
353,1032.996,944.2655,1154,1330.6,404.841097,12.145233,true,41.986263,false,
354,1040.45,944.803,1154,1330.6,402.160326,12.06481,true,42.162424,false,
355,1045.6575,942.1155,1154,1330.6,403.309192,12.099276,true,42.2242,false,
356,1052.196,942.44,1154,1330.6,401.288226,12.038647,true,42.376628,false,
357,1063.929,940.219,1154,1330.6,400.63713,12.019114,true,42.595317,false,
358,1069.6455,943.937,1154,1330.6,395.757447,11.872723,true,42.797695,false,
359,1072.523,943.8065,1154,1330.6,395.281815,11.858454,true,42.859872,false,
360,1081.56,941.827,1154,1330.6,395.464283,11.863928,true,43.02475,false,
361,1090.856,942.248,1154,1330.6,393.451955,11.803559,true,43.243708,false,
362,1092.105,942.314,1154,1330.6,393.188261,11.795648,true,43.273365,false,
363,1107.7095,939.297,1154,1330.6,394.031532,11.820946,true,43.57028,false,
364,1112.883,941.254,1154,1330.6,391.511067,11.745332,true,43.726661,false,
365,1113.7395,942.0465,1154,1330.6,390.633755,11.719013,true,43.761633,false,
366,1129.813,941.987,1154,1330.6,389.364963,11.680949,true,44.129754,false,
367,1132.548,943.3995,1154,1330.6,387.794295,11.633829,true,44.219914,false,
368,1139.548,942.787,1154,1330.6,388.082186,11.642466,true,44.369756,false,
369,1135.602,942.273,1154,1330.6,388.762582,11.662877,true,44.268762,false,
370,1150.939,943.927,1154,1330.6,386.685116,11.600553,true,44.655267,false,
371,1152.9075,943.743,1154,1330.6,386.858543,11.605756,true,44.697448,false,
372,1167.105,941.444,1154,1330.6,389.376596,11.681298,true,44.984506,false,
373,1172.077,943.364,1154,1330.6,387.657707,11.629731,true,45.136793,false,
374,1179.7,944.002,1154,1330.6,387.451292,11.623539,true,45.32713,false,
375,1182.299,946.874,1154,1330.6,384.768081,11.543042,true,45.441844,false,
376,1180.0355,945.461,1154,1330.6,386.018,11.58054,true,45.362344,false,
377,1204.215,944.267,1154,1330.6,389.582768,11.687483,true,45.908567,false,
378,1195.374,945.4285,1154,1330.6,387.387264,11.621618,true,45.721752,false,
379,1211.993,942.7205,1154,1330.6,392.19089,11.765727,true,46.063913,false,
380,1209.306,943,1154,1330.6,391.525879,11.745776,true,46.005467,false,
381,1220.1195,943.178,1154,1330.6,393.023656,11.79071,true,46.264984,false,
382,1217.126,941.929,1154,1330.6,393.763937,11.812918,true,46.171023,false,
383,1241.6965,942,1154,1330.6,398.372484,11.951175,true,46.757425,false,
384,1231.5515,941.773,1154,1330.6,396.485398,11.894562,true,46.511181,false,
385,1253.75,941.4055,1154,1330.6,401.774092,12.053223,true,47.035306,false,
386,1254.202,941.113,1154,1330.6,402.16982,12.065095,true,47.040883,false,
387,1256.961,941.473,1154,1330.6,402.518061,12.075542,true,47.113588,false,
