sar_frame,segment,prior_position_x,prior_position_y,predicted_position_x,predicted_position_y,observation_supported_position_x,observation_supported_position_y,posterior_position_x,posterior_position_y,position_correction_x,position_correction_y,position_correction_norm_px,prior_velocity_x,prior_velocity_y,posterior_velocity_x,posterior_velocity_y,uncertainty_before,uncertainty_after,last_update_source,used_response_track_ids,rejected_response_track_ids,current_response_association_count,cap_triggered,frame_observation_complete,max_sar_frame_read,gt_file_opened,evaluation_file_opened,future_frame_read
361,burn_in,1081.56,941.827,1090.597,939.8475,1096.059217,949.013481,1093.246175,944.293001,2.649175,4.445501,5.174998,9.037,-1.9795,9.778769,-0.73476,45.418706,32.701468,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009,RT_D1_0010;RT_D1_0011,9,false,true,361,false,false,false
362,burn_in,1093.246175,944.293001,1103.024944,943.558241,1108.941449,949.514909,1105.894449,946.447225,2.869505,2.888984,4.07189,9.778769,-0.73476,10.58223,0.074156,41.101468,29.593057,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0011,RT_D1_0009;RT_D1_0010,9,false,true,362,false,false,false
363,burn_in,1105.894449,946.447225,1116.476679,946.521381,1121.400688,950.423267,1118.741723,948.316249,2.265044,1.794868,2.889978,10.58223,0.074156,11.216443,0.576719,37.453057,26.966201,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0009,RT_D1_0008;RT_D1_0010;RT_D1_0011,8,false,true,363,false,false,false
364,burn_in,1118.741723,948.316249,1129.958166,948.892967,1124.265142,957.496073,1127.054724,953.280551,-2.903442,4.387584,5.261261,11.216443,0.576719,10.403479,1.805242,34.340201,24.724945,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011,RT_D1_0010,10,false,true,364,false,false,false
365,burn_in,1127.054724,953.280551,1137.458203,955.085793,1134.640084,954.788595,1136.091415,954.941652,-1.366788,-0.144141,1.374367,10.403479,1.805242,10.020778,1.764883,31.724945,22.84196,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0008;RT_D1_0009;RT_D1_0011,RT_D1_0007;RT_D1_0010;RT_D1_0012,9,false,true,365,false,false,false
366,burn_in,1136.091415,954.941652,1146.112193,956.706535,1142.124579,956.649181,1143.97882,956.675851,-2.133374,-0.030684,2.133594,10.020778,1.764883,9.423434,1.756291,29.84196,21.486211,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012,RT_D1_0010,11,false,true,366,false,false,false
367,burn_in,1143.97882,956.675851,1153.402254,958.432142,1147.883089,951.170245,1150.366713,954.438099,-3.03554,-3.994043,5.016661,9.423434,1.756291,8.573482,0.637959,28.486211,20.510072,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013,RT_D1_0010,12,false,true,367,false,false,false
368,burn_in,1150.366713,954.438099,1158.940196,955.076058,1158.156813,952.728866,1158.54067,953.87899,-0.399525,-1.197068,1.261979,8.573482,0.637959,8.461615,0.30278,27.510072,19.807252,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012,RT_D1_0007;RT_D1_0010;RT_D1_0013,10,false,true,368,false,false,false
369,burn_in,1158.54067,953.87899,1167.002286,954.18177,1164.29487,954.318615,1165.513207,954.257035,-1.489079,0.075265,1.49098,8.461615,0.30278,8.044673,0.323854,26.807252,19.301221,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013,RT_D1_0010,12,false,true,369,false,false,false
370,burn_in,1165.513207,954.257035,1173.55788,954.580889,1168.530084,955.431005,1170.792592,955.048453,-2.765288,0.467564,2.804538,8.044673,0.323854,7.270393,0.454772,26.301221,18.936879,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014,,13,false,true,370,false,false,false
