background_track_id,first_frame,last_frame,fixed_coordinate_mean_x,fixed_coordinate_mean_y,position_variance,support_observation_count,support_unique_frame_count,support_frame_ids,missing_frames,shape_variation,energy_variation,conflicting_vehicle_motion_frames,background_state,threshold_source
BG_D1_R1_0001,361,362,966.957479,817.856619,6.24044,2,2,361;362,32,3.5,238,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0002,361,361,1032.97772,812.942333,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0003,361,361,1223.659008,813.52237,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0004,361,361,1248.136416,812.978035,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0005,361,361,1219.479365,815.188889,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0006,361,361,1026.683453,816.624301,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0007,361,362,1196.906958,819.206615,1.745299,2,2,361;362,32,11,678,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0008,361,362,1140.470714,819.48819,13.471473,2,2,361;362,32,2.5,143.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0009,361,361,951.902284,818.714467,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0010,361,361,937.986231,819.003442,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0011,361,361,959.193377,820.394441,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0012,361,361,1151.360584,821.30365,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0013,361,362,1184.960827,821.769701,7.276624,2,2,361;362,32,1.5,86.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0014,361,361,1192.286136,824.740413,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0015,361,361,1252.362911,824.304088,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0016,361,361,1159.202847,827.762278,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0017,361,361,1019.675985,827.29352,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0018,361,364,1169.521403,836.415146,8.721975,4,4,361;362;363;364,30,24.45915,1530.672299,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0019,361,361,1024.704412,832.929412,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0020,361,362,1072.633372,833.079855,15.412727,2,2,361;362,32,1,58.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0021,361,365,1182.3818,836.088885,5.911054,5,5,361;362;363;364;365,29,15.144636,954.805404,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0022,361,366,1204.712038,834.275111,6.949317,4,4,361;362;363;366,28,15.795569,1069.204611,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0023,361,361,1153.856153,837.437897,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0024,361,365,1193.759412,834.805441,6.929398,4,4,361;363;364;365,29,17.109939,1116.259938,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0025,361,370,1246.105344,838.026844,20.564525,7,7,361;362;363;364;368;369;370,24,40.921029,3098.880107,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0026,361,368,1235.120783,839.891304,25.596683,5,5,361;362;363;367;368,26,53.888774,3896.199974,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0027,361,362,1213.034747,851.01369,4.305678,2,2,361;362,32,42,2676,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0028,361,361,1144.464332,840.856031,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0029,361,361,985.881471,842.47139,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0030,361,362,1160.112734,840.761964,8.615427,2,2,361;362,32,1.5,103.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0031,361,363,1038.008925,854.445151,17.087223,2,2,361;363,31,4.5,336.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0032,361,364,1181.770707,854.062844,7.154019,2,2,361;364,30,8.5,490.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0033,361,363,1109.25145,850.885706,26.86852,3,3,361;362;363,31,1.699673,91.502277,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0034,361,361,1155.034803,853.62297,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0035,361,364,1228.374068,851.975563,6.133592,4,4,361;362;363;364,30,44.682211,3224.588685,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
