fragment_id,scene_id,frame_start,frame_end,detector_source,source_candidate_node_ids,vehicle_description,body_coverage_summary,identity_safety_status,accepted_status,review_required,split_reason,not_final_box_flag,not_SAR_ready_flag,note
GM_RM011_WGF001,GM_RM011,0,4,yolo26l,GM_RM011_Y26N001,nearfield white SUV lower-body observation,large_lower_vehicle_body_proxy=5/5;multi_box_competition=yes,identity_safe_local_observation,accepted,no,none,yes,yes,accepted means diagnostic working-graph fragment only;not final identity;not SAR-ready
GM_RM011_WGF002,GM_RM011,8,10,yolo26l,GM_RM011_Y26N002,nearfield white SUV body-visible transition fragment,large_lower_vehicle_body_proxy=3/3;multi_box_competition=yes,identity_safe_local_candidate,review_required,yes,part_state_transition_after_gap_5_7,yes,yes,YOLO26l improves baseline strip but same-vehicle relation still needs human review
GM_RM011_WGF003,GM_RM011,13,16,yolo26l,GM_RM011_Y26N003,white vehicle front or windshield local fragment,large_lower_vehicle_body_proxy=4/4;multi_box_competition=yes,identity_safe_local_observation,accepted,no,none,yes,yes,short local fragment can be used in diagnostic graph;not final
GM_RM011_WGF004,GM_RM011,18,25,yolo26l,GM_RM011_Y26N004,white vehicle local continuation before large jump zone,large_lower_vehicle_body_proxy=8/8;split_from_Y26N004,identity_safe_local_observation,accepted,no,split_before_26_30_center_jump_zone,yes,yes,Y26N004 is not accepted unsplit;only 18-25 is kept as local fragment
GM_RM011_WGF005,GM_RM011,26,30,yolo26l,GM_RM011_Y26N004,ambiguous switching zone inside old Y26N004,large_jump_zone=26_30;max_center_jump_over_497px,identity_switch_zone,blocked,yes,center_jumps_26_27_27_28_29_30,yes,yes,blocked diagnostic item;do not use as same-vehicle fragment without human split review
GM_RM011_WGF006,GM_RM011,31,35,yolo26l,GM_RM011_Y26N004,post-switch nearfield white vehicle fragment candidate,large_lower_vehicle_body_proxy=5/5;split_from_Y26N004,identity_safe_local_candidate,review_required,yes,possible_independent_vehicle_or_pose_change_after_jump,yes,yes,requires human check of 18-35 transition before any same-vehicle edge
GM_RM011_WGF007,GM_RM011,135,137,yolo26l,GM_RM011_Y26N005,left or near-side white vehicle fragment before occlusion switch,large_lower_vehicle_body_proxy=3/3;multi_box_competition=yes,identity_safe_local_candidate,review_required,yes,split_before_137_138_center_jump,yes,yes,do not merge with later black or right-edge subject without review
GM_RM011_WGF008,GM_RM011,138,150,yolo26l,GM_RM011_Y26N005,occlusion or competing-subject middle fragment,large_lower_vehicle_body_proxy=13/13;multi_box_competition=yes,occlusion_switch_risk,blocked,yes,137_138_center_jump_and_white_black_subject_switch_risk,yes,yes,blocked as single identity;keep as temporal context evidence only
GM_RM011_WGF009,GM_RM011,151,161,yolo26l,GM_RM011_Y26N005,right-edge white vehicle reappearance or thin subject fragment,large_lower_vehicle_body_proxy=6/11;multi_box_competition=yes,identity_safe_local_candidate,review_required,yes,split_after_150_151_area_ratio_jump,yes,yes,may be related to white vehicle but detector-only cannot decide
GM_RM011_WGF010,GM_RM011,164,166,yolo26l,GM_RM011_Y26N006,thin right-edge crop fragment,large_lower_vehicle_body_proxy=0/3;thin_crop=yes,thin_crop_review,review_required,yes,thin_edge_crop_not_identity_safe,yes,yes,kept for diagnostic review only;not same-vehicle evidence by itself
